,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,900.85,751.09,1004,895.86,1110,1180,1309,1511,1555,1422,1373,1445,1385,1152,1052,1169,1169,1124,1124
1,Other Revenue,-149.68,149.68,-,156.62,-60.83,60.83,-,105.44,-50.01,50.01,-,124.07,-75.24,75.24,-,31.86,31.86,25.61,25.61
2,Revenue,751.17,900.77,1004,1052,1049,1240,1309,1616,1505,1472,1373,1569,1309,1227,1052,1201,1201,1150,1150
3,Revenue Growth (YoY),-28.39%,-27.38%,-23.32%,-34.87%,-30.31%,-15.72%,-4.66%,3.02%,14.97%,19.93%,30.50%,30.60%,9.01%,6.71%,-8.51%,-,-,-,-
4,Cost of Revenue,594.42,786.8,862.7,933.74,898.61,1053,1092,1433,1143,1220,1130,1383,1098,1048,851.81,971.03,971.03,925.15,925.15
5,Gross Profit,156.75,113.97,141.21,118.74,150.43,187.54,216.75,182.51,362.7,252.1,242.63,185.6,211.2,179.19,200.39,230.05,230.05,224.94,224.94
6,"Selling, General & Admin",84.14,86.06,82.11,96.33,102.92,131.31,112.79,126.8,117.34,109.28,99.07,108.19,103.4,105.13,83.83,105.39,105.39,105.21,105.21
7,Research & Development,3.45,3.77,4.94,6.3,11.28,15.91,13.75,16.71,28.78,17.14,14.68,19.22,19.33,16.12,15.9,12.18,12.18,14.79,14.79
8,Other Operating Expenses,-3.6,14.91,1.3,38.26,-4.52,8.76,-15.28,43.43,0.08,-12.67,-2.96,25.52,-1.35,0.88,5.56,7.18,7.18,7.43,7.43
