,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,4711,4584,7894,8301,10084,-,-,-
1,Market Cap Growth,-44.79%,-44.79%,-21.72%,-,-,-,-,-
2,Enterprise Value,5237,4808,7949,8378,9909,-,-,-
3,Last Close Price,8.79,9.00,15.50,16.30,19.80,-,-,-
4,PE Ratio,67.41,69.02,-60.02,-,-,-,-,-
5,PS Ratio,5.79,5.93,11.59,13.80,17.29,-,-,-
6,PB Ratio,2.99,3.06,5.43,5.87,6.29,-,-,-
7,P/TBV Ratio,16.91,16.91,5.43,15.40,6.31,-,-,-
8,P/FCF Ratio,-,-,-83.42,-,-,-,-,-
9,P/OCF Ratio,-,-,-385.89,-,-,-,-,-
10,EV/Sales Ratio,6.77,6.22,11.67,13.93,16.99,-,-,-
11,EV/EBITDA Ratio,75.68,73.70,-,-,-,-,-,-
12,EV/EBIT Ratio,245.76,225.62,-,-,-,-,-,-
13,EV/FCF Ratio,-46.64,-,-84.00,-,-,-,-,-
14,Debt / Equity Ratio,0.48,0.48,0.31,0.23,0.21,0.19,0.17,-
15,Debt / FCF Ratio,-,-,-4.73,-,-,-,-,-
16,Return on Capital Employed (ROCE),1.00%,1.00%,-,-,-,-,-,-
17,Earnings Yield,1.41%,1.45%,-1.67%,-3.88%,-3.72%,-,-,-
18,FCF Yield,-2.38%,-2.45%,-1.20%,-2.86%,-3.17%,-,-,-
19,Buyback Yield / Dilution,-1.06%,-,-2.13%,-2.15%,-1.00%,-7.58%,-,-
20,Total Shareholder Return,-1.06%,-,-2.13%,-2.15%,-1.00%,-7.58%,-,-
