,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,172.12,201.85,249.97,233.5,312.24,531.7,-
1,Short-Term Investments,-,-,-,-,100,81.86,-
2,Cash & Short-Term Investments,172.12,201.85,249.97,233.5,412.24,613.56,-
3,Cash Growth,-31.14%,-13.55%,-39.36%,-61.94%,-,-,-
4,Accounts Receivable,346.42,276.2,208.34,212.12,139.03,107.27,-
5,Other Receivables,-,16.92,-,14.61,5.3,18.29,-
6,Receivables,346.42,293.12,208.34,226.74,144.33,125.55,-
7,Inventory,177.98,165.29,160.33,143.63,140.88,98.84,-
8,Other Current Assets,52.5,52.75,49.48,242.81,65,101.9,-
9,Total Current Assets,749.03,713.01,668.12,846.68,762.45,939.85,-
10,"Property, Plant & Equipment",607.84,627.11,605.48,582.69,576.36,521.56,-
11,Other Intangible Assets,1139,1,810.78,4.6,6.33,8.13,-
12,Long-Term Deferred Charges,-,949.51,-,726.9,646.88,557.87,-
13,Other Long-Term Assets,52.07,32.77,58.8,41.69,33.36,79.19,-
14,Total Assets,2548,2323,2143,2203,2025,2107,-
15,Accounts Payable,245.25,223.16,174.95,163.51,121.56,158.96,-
16,Accrued Expenses,-,173.48,-,174.84,122.52,69.58,-
17,Short-Term Debt,-,23.82,-,22.98,-,-,-
18,Current Portion of Long-Term Debt,177.42,144.02,101.36,60.36,26.68,10,-
19,Current Portion of Leases,2.45,3.57,6.29,8.38,9.98,10.02,-
20,Current Unearned Revenue,-,12.35,-,7.02,3.39,1.29,-
21,Other Current Liabilities,130.51,72.95,245.39,34.58,29.21,10.63,-
22,Total Current Liabilities,555.63,653.35,527.99,471.67,313.34,260.48,-
23,Long-Term Debt,476.81,228.32,185,210,225,240,-
24,Long-Term Leases,5.57,6.18,8.04,-,1.32,4.5,-
25,Long-Term Unearned Revenue,5.53,3,-,-,-,1.8,-
26,Long-Term Deferred Tax Liabilities,-,-,0.24,-,-,-,-
27,Other Long-Term Liabilities,113.09,112.67,112.38,102.51,77.16,48.13,-
28,Total Liabilities,1157,1004,833.64,784.18,616.83,554.92,-
29,Common Stock,509.28,509.28,509.28,509.28,498.58,498.58,-
30,Additional Paid-In Capital,1329,1329,1329,1329,1162,1162,-
31,Retained Earnings,-569.92,-631.11,-634.78,-511.06,-331.54,-176.1,-
32,Comprehensive Income & Other,122.95,112.25,105.59,90.71,79.62,67.32,-
33,Shareholders' Equity,1392,1320,1310,1418,1409,1552,-
34,Total Liabilities & Equity,2548,2323,2143,2203,2025,2107,-
35,Total Debt,662.25,405.91,300.68,301.72,262.98,264.52,-
36,Net Cash (Debt),-490.12,-204.06,-50.71,-68.23,149.26,349.04,-
37,Net Cash Per Share,-0.96,-0.40,-0.10,-0.14,0.30,0.71,-
38,Filing Date Shares Outstanding,509.28,509.28,509.28,509.28,498.58,498.58,463.43
39,Total Common Shares Outstanding,509.28,509.28,509.28,509.28,498.58,498.58,463.43
40,Working Capital,193.4,59.66,140.13,375,449.11,679.37,-
41,Book Value Per Share,2.73,2.59,2.57,2.79,2.83,3.11,-
42,Tangible Book Value,252.32,1319,498.75,1414,1402,1544,-
43,Tangible Book Value Per Share,0.50,2.59,0.98,2.78,2.81,3.10,-
44,Buildings,-,126.38,-,121.38,121.38,121.21,-
45,Machinery,-,625.81,-,563.21,518.68,470,-
46,Construction In Progress,-,77.46,-,40.8,47.8,12.44,-
