,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,362.94,356.9,261.23,295.27,220.69,146.61,12.09
1,Revenue Growth (YoY),38.93%,20.87%,18.37%,101.40%,1724.79%,-,-
2,Cost of Revenue,80.31,106.15,103.02,88.31,73.42,48.88,3.31
3,Gross Profit,282.63,250.75,158.22,206.96,147.27,97.73,8.78
4,"Selling, General & Admin",158.55,164.55,143.67,158.03,138.39,72.12,24.09
5,Research & Development,85.8,104.65,126.03,231.28,169.06,120.01,111.56
6,Operating Expenses,244.34,269.2,269.7,389.31,307.45,192.13,135.65
7,Operating Income,38.28,-18.45,-111.48,-182.35,-160.18,-94.4,-126.87
8,Interest Expense,-12.6,-7.83,-6.26,-6.79,-6.62,-6.02,-5.58
9,Interest & Investment Income,0.27,0.09,1.07,1.68,3.89,4.68,4.42
10,Currency Exchange Gain (Loss),-,-,-,2.38,-,1.16,-1.16
11,Other Non Operating Income (Expenses),35.72,26.09,-2.6,6.62,9.62,-2.98,1.33
12,EBT Excluding Unusual Items,61.67,-0.1,-119.27,-178.45,-153.3,-97.56,-127.86
13,Gain (Loss) on Sale of Assets,-,-,-,-,-,0.07,-0.07
14,Pretax Income,61.67,-0.1,-119.27,-178.45,-153.3,-97.49,-127.93
15,Income Tax Expense,-,-0.24,0.24,-,-,-,-
16,Net Income,61.67,0.14,-119.51,-178.45,-153.3,-97.49,-127.93
17,Net Income to Common,61.67,0.14,-119.51,-178.45,-153.3,-97.49,-127.93
18,Shares Outstanding (Basic),509,509,509,499,499,494,463
19,Shares Outstanding (Diluted),509,509,509,499,499,494,463
20,Shares Change (YoY),-,2.13%,2.15%,1.00%,7.58%,-,-
21,EPS (Basic),0.12,0.00,-0.23,-0.36,-0.31,-0.20,-0.28
22,EPS (Diluted),0.12,0.00,-0.23,-0.36,-0.31,-0.20,-0.28
23,Free Cash Flow,-108.33,3.82,-89.71,-129.8,-153.33,-138.66,-215.35
24,Free Cash Flow Per Share,-0.21,0.01,-0.18,-0.26,-0.31,-0.28,-0.46
25,Operating Margin,10.55%,-5.17%,-42.68%,-61.76%,-72.58%,-64.39%,-1049.02%
26,Profit Margin,16.99%,0.04%,-45.75%,-60.44%,-69.46%,-66.50%,-1057.77%
27,Free Cash Flow Margin,-29.85%,1.07%,-34.34%,-43.96%,-69.48%,-94.58%,-1780.63%
28,EBITDA,65.72,-5,-71.34,-163.83,-128.74,-76.3,-112.42
29,D&A For EBITDA,27.44,13.45,40.14,18.52,31.44,18.1,14.45
30,EBIT,38.28,-18.45,-111.48,-182.35,-160.18,-94.4,-126.87
31,Advertising Expenses,-,-,-,-,-,-,3.75
