,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,43.34,121.86,108.06,122.72,98.13,125.84,149.27,86.37,132.38,238.38
1,Revenue Growth (YoY),-59.89%,-0.70%,10.11%,-2.48%,-34.26%,45.70%,12.76%,-63.77%,-34.94%,70.12%
2,Cost of Revenue,47.25,98.22,127.28,121.68,85.36,119.37,132.89,130.84,118.52,221.38
3,Gross Profit,-3.91,23.64,-19.22,1.05,12.78,6.47,16.39,-44.48,13.86,17
4,"Selling, General & Admin",7.97,9.58,6.71,6.38,6.03,6.34,5.87,7.78,5.89,10.02
5,Operating Expenses,7.22,9.19,7.19,6.25,5.33,6.34,6.57,9.33,5.89,10.02
6,Operating Income,-11.13,14.46,-26.41,-5.2,7.45,0.14,9.82,-53.8,7.97,6.98
7,Interest Expense,-,-0,-0.01,-,-,-,-,-0,-0,-0
8,Interest & Investment Income,0.59,1.25,1.41,1.55,0.19,0.03,0.08,0.15,0.58,1.15
9,Other Non Operating Income (Expenses),0.05,-,0.01,-0.01,0.07,0.05,0.02,-0.01,-,0.18
10,EBT Excluding Unusual Items,-10.49,15.7,-24.99,-3.66,7.7,0.22,9.91,-53.67,8.55,8.3
11,Gain (Loss) on Sale of Assets,-,-0.04,-,0.04,-,-0.01,-,0.4,0.05,0.01
12,Other Unusual Items,-,0,0.01,0.01,1.12,0.01,0.01,0.96,1.98,-
13,Pretax Income,-10.49,15.66,-24.99,-3.61,8.82,0.22,9.91,-52.31,10.58,8.31
14,Income Tax Expense,-,-,-,-,-,-,-,-3.09,1.31,0.81
15,Net Income,-10.49,15.66,-24.99,-3.61,8.82,0.22,9.91,-49.22,9.28,7.5
16,Net Income to Common,-10.49,15.66,-24.99,-3.61,8.82,0.22,9.91,-49.22,9.28,7.5
17,Net Income Growth,-,-,-,-,-11.03%,-,6.88%,-,-60.30%,-63.79%
18,Shares Outstanding (Basic),620,620,620,620,620,620,620,620,620,620
19,Shares Outstanding (Diluted),620,620,620,620,620,620,620,620,620,620
20,Shares Change (YoY),-,-,-,-,-,-,-,-0.00%,4.13%,33.33%
21,EPS (Basic),-0.02,0.03,-0.04,-0.01,0.01,0.00,0.02,-0.08,0.01,0.01
22,EPS (Diluted),-0.02,0.03,-0.04,-0.01,0.01,0.00,0.02,-0.08,0.01,0.01
23,EPS Growth,-,-,-,-,-11.04%,-,6.88%,-,-61.87%,-72.84%
24,Free Cash Flow,-11.89,-2.72,-25.5,15.09,21.57,20.34,-13.06,-32.73,39.14,2.4
25,Free Cash Flow Per Share,-0.02,-0.00,-0.04,0.02,0.03,0.03,-0.02,-0.05,0.06,0.00
26,Dividend Per Share,-,-,-,-,-,-,0.065,-,-,-
27,Operating Margin,-25.67%,11.86%,-24.44%,-4.24%,7.59%,0.11%,6.58%,-62.29%,6.02%,2.93%
28,Profit Margin,-24.21%,12.85%,-23.12%,-2.94%,8.99%,0.18%,6.64%,-56.99%,7.01%,3.15%
29,Free Cash Flow Margin,-27.43%,-2.23%,-23.60%,12.29%,21.98%,16.16%,-8.75%,-37.89%,29.57%,1.01%
30,EBITDA,-10.81,14.76,-26.13,-4.76,7.79,0.5,10.27,-51.93,10.37,8.77
31,D&A For EBITDA,0.31,0.3,0.28,0.44,0.34,0.37,0.45,1.87,2.41,1.79
32,EBIT,-11.13,14.46,-26.41,-5.2,7.45,0.14,9.82,-53.8,7.97,6.98
