,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,350.09,455.59,425.6,501.56,444.75,322.7,633.9,403.5,198.87,209.18,-,225.8,309.86,309.86,232.37,232.37
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10
2,Trading Asset Securities,460.54,436.26,506.8,425.12,493.28,595.25,288.1,517.84,155.79,74.97,-,167.05,60.61,60.61,10,10
3,Cash & Short-Term Investments,810.63,891.86,932.4,926.68,938.03,917.94,922,921.34,354.66,284.15,392.85,392.85,370.47,370.47,252.37,252.37
4,Cash Growth,-13.58%,-2.84%,1.13%,0.58%,164.49%,223.05%,134.69%,134.53%,-4.27%,-23.30%,55.67%,55.67%,-,-,-,-
5,Accounts Receivable,308.74,312.08,237.74,267.53,253.16,276.64,231.55,259.37,211.37,226.75,-,224.74,192.35,192.35,192.74,192.74
6,Other Receivables,8.39,4.87,7.07,7.83,9.31,6.01,6.47,7.32,5.2,7.9,-,7.99,-,-,13.92,13.92
7,Receivables,317.13,316.95,244.81,275.36,262.47,282.64,238.02,266.69,216.58,234.65,-,232.73,192.35,192.35,206.67,206.67
8,Inventory,664.69,566.1,669.74,638.45,736.29,703.28,726.56,644.58,724.67,742.78,-,790.24,659.57,659.57,670.08,670.08
9,Other Current Assets,67.95,61.38,61.22,47.42,61.41,59.44,50.84,48.9,46.6,44.41,-,47.94,58.75,58.75,39.11,39.11
10,Total Current Assets,1860,1836,1908,1888,1998,1963,1937,1882,1343,1306,-,1464,1281,1281,1168,1168
11,"Property, Plant & Equipment",86.13,89.04,91.94,89.03,75.59,73.81,75.31,78.13,79.08,81.85,-,83.11,90.48,90.48,84.98,84.98
12,Other Intangible Assets,29.32,27.03,27.43,27.83,28.16,27.7,27.86,28.2,26.78,26.85,-,25.6,24.06,24.06,24.57,24.57
13,Long-Term Accounts Receivable,-,6.08,-,3.84,-,9.37,-,8.95,-,-,-,3.72,-,-,-,-
14,Long-Term Deferred Tax Assets,5.36,7.75,4.85,4.85,5.41,5.46,6.86,6.51,7.54,8.31,-,8.4,6.75,6.75,8.75,8.75
15,Long-Term Deferred Charges,0.17,0.1,0.13,0.13,0.17,0.23,0.33,0.43,0.5,0.46,-,0.62,0.84,0.84,-,-
16,Other Long-Term Assets,17.36,3.83,6.09,3.31,9.34,1.48,4.94,0.64,8.4,7.2,-,5.37,10.73,10.73,7.21,7.21
17,Total Assets,1999,1970,2039,2017,2117,2081,2053,2004,1465,1431,-,1591,1414,1414,1294,1294
18,Accounts Payable,235.8,227.77,230.65,253.84,292.63,289.12,230.51,237.24,222.01,202.94,-,290.34,289.69,289.69,261.45,261.45
19,Accrued Expenses,30.91,106.82,20.12,123.63,29.29,114.68,18.77,135.29,20.84,115.38,-,145.27,132.94,132.94,98.3,98.3
20,Current Portion of Leases,4.06,3.66,2.3,3.24,1.29,1.29,1.29,1.29,0.88,0.91,-,1.15,-,-,-,-
21,Current Income Taxes Payable,4.67,4.01,3.38,3.95,4.87,1.38,5.25,0.83,8.42,6.19,-,7.03,7.59,7.59,6.92,6.92
22,Current Unearned Revenue,307.88,293.08,394.48,335.57,436.47,427.24,488.02,394.95,480.61,481.49,-,554.06,533.26,533.26,539.35,539.35
23,Other Current Liabilities,101.16,35.33,110.48,29.11,117.19,40.02,123.52,56.4,131.07,55.52,-,82.38,73.78,73.78,65.11,65.11
24,Total Current Liabilities,684.49,670.68,761.4,749.34,881.73,873.73,867.35,825.99,863.84,862.43,-,1080,1037,1037,971.13,971.13
25,Long-Term Leases,0.99,1.82,4.25,3.44,0.22,0.45,0.73,0.96,0.48,0.54,-,0.77,-,-,-,-
26,Long-Term Unearned Revenue,1.49,1.67,1.85,2.05,1.33,0.96,1.05,1.14,1.32,1.33,-,1.27,1.02,1.02,1.13,1.13
27,Long-Term Deferred Tax Liabilities,-,-,-,-,0.68,0.13,-,1.39,0.06,0.02,-,0.33,0.11,0.11,0,0
28,Other Long-Term Liabilities,8.97,9.22,7.67,7.87,8.74,8.6,7.68,7.59,5.95,9.03,-,8.16,6.57,6.57,9.67,9.67
29,Total Liabilities,695.93,683.39,775.18,762.7,892.7,883.87,876.81,837.07,871.65,873.35,-,1091,1045,1045,981.92,981.92
30,Common Stock,108.41,108.41,108.41,108.41,108.41,108.41,108.41,108.41,81.31,81.31,-,81.31,81.31,81.31,81.31,81.31
31,Additional Paid-In Capital,666.06,666.06,666.06,666.06,666.06,666.06,666.06,666.06,141.9,141.9,-,141.9,141.9,141.9,141.9,141.9
32,Retained Earnings,512.39,496.6,473.76,465.01,434.97,408.5,387.08,379.28,356.98,321.49,-,264.86,133.76,133.76,76.65,76.65
33,Comprehensive Income & Other,15.94,15.66,15.18,14.72,14.73,14.54,14.36,13.55,12.97,12.62,-,11.73,12.07,12.07,11.95,11.95
34,Shareholders' Equity,1303,1287,1263,1254,1224,1198,1176,1167,593.15,557.32,499.81,499.81,369.04,369.04,311.81,311.81
35,Total Liabilities & Equity,1999,1970,2039,2017,2117,2081,2053,2004,1465,1431,-,1591,1414,1414,1294,1294
36,Total Debt,5.06,5.48,6.55,6.68,1.5,1.74,2.02,2.25,1.36,1.45,1.92,1.92,-,-,-,-
37,Net Cash (Debt),805.57,886.37,925.84,920,936.52,916.2,919.98,919.09,353.3,282.7,390.93,390.93,370.47,370.47,252.37,252.37
38,Net Cash Growth,-13.98%,-3.26%,0.64%,0.10%,165.08%,224.09%,135.33%,135.11%,-4.63%,-23.69%,54.91%,54.91%,-,-,-,-
39,Net Cash Per Share,7.55,8.22,8.46,8.58,8.51,8.70,8.26,10.27,4.27,3.61,4.69,4.84,4.54,4.54,3.11,3.11
40,Filing Date Shares Outstanding,108.41,108.41,108.41,108.41,108.41,108.41,108.41,108.41,81.31,81.31,83.39,81.31,81.31,81.31,81.31,81.31
41,Total Common Shares Outstanding,108.41,108.41,108.41,108.41,108.41,108.41,108.41,108.41,81.31,81.31,83.39,81.31,81.31,81.31,81.31,81.31
42,Working Capital,1176,1166,1147,1139,1116,1090,1070,1056,478.67,443.56,-,383.52,243.87,243.87,197.09,197.09
43,Book Value Per Share,12.02,11.87,11.65,11.57,11.29,11.05,10.85,10.77,7.30,6.85,6.15,6.15,4.54,4.54,3.84,3.84
44,Tangible Book Value,1273,1260,1236,1226,1196,1170,1148,1139,566.38,530.47,474.21,474.21,344.98,344.98,287.23,287.23
45,Tangible Book Value Per Share,11.75,11.62,11.40,11.31,11.03,10.79,10.59,10.51,6.97,6.52,5.83,5.83,4.24,4.24,3.53,3.53
46,Buildings,-,87.95,-,85.76,-,83.38,-,83.38,-,83.38,-,83.38,83.38,83.38,-,-
47,Machinery,-,148.82,-,139.79,-,133.81,-,132.57,-,132.08,-,127.28,122.94,122.94,-,-
48,Construction In Progress,-,1.24,-,5.45,-,0.7,-,0.45,-,0.06,-,0.04,2.15,2.15,-,-
