,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,151.8,405.09,188.19,308.24,251.71,398.88,166.02,345.9,290.59,418.49,144.83,425.99,330.82,330.82,239.87,239.87
1,Other Revenue,-4.76,4.76,-,16.09,-7.53,7.53,-,17.47,-8.84,8.84,-,19.95,-,-,-,-
2,Revenue,147.04,409.85,188.19,324.34,244.18,406.41,166.02,363.36,281.75,427.33,144.83,445.95,330.82,330.82,239.87,239.87
3,Revenue Growth (YoY),-39.78%,0.84%,13.36%,-10.74%,-13.33%,-4.89%,14.63%,-18.52%,-14.83%,29.17%,-39.62%,85.91%,-,-,-,-
4,Cost of Revenue,93.4,311.27,141.35,258,177.11,297.96,125.78,295.68,206.72,336.72,108.62,349.84,236.16,236.16,169.61,169.61
5,Gross Profit,53.65,98.58,46.84,66.34,67.07,108.45,40.24,67.68,75.02,90.61,36.21,96.1,94.66,94.66,70.26,70.26
6,"Selling, General & Admin",20.2,22.77,24.18,19.44,21.4,32.76,22.87,32.72,18.84,27.57,21.31,31.71,34.98,34.98,20.86,20.86
7,Research & Development,20.78,21.48,18.43,22.78,19.45,15.13,16.11,22.23,14.93,13.98,13.11,24.46,15.66,15.66,12.28,12.28
8,Other Operating Expenses,-4.01,3.18,1.67,-2.53,0.95,2.11,1.99,9.34,0.6,-0.69,0.17,10.69,2.34,2.34,1.61,1.61
9,Operating Expenses,36.68,48.3,43.66,41.16,41.76,51.14,39.77,65.79,34.01,41.86,28.98,67.16,52.35,52.35,34.16,34.16
10,Operating Income,16.96,50.28,3.19,25.18,25.31,57.31,0.47,1.89,41.02,48.75,7.23,28.94,42.31,42.31,36.1,36.1
11,Interest Expense,-0.04,-0.06,-0.06,-0.24,-0.02,-0.02,-0.02,-0.04,-0,-0.03,-0.01,-0.04,-,-,-0.08,-0.08
12,Interest & Investment Income,4.31,4.44,4.43,5.37,3.45,5.1,4.8,1.97,0.9,1.05,1.05,1.73,0.91,0.91,0.82,0.82
13,Currency Exchange Gain (Loss),-0.14,0.14,-,0.92,-0.75,0.75,-,5.03,-3.33,3.33,-,0.39,-0.22,-0.22,-,-
14,Other Non Operating Income (Expenses),-0.08,-0.19,-0.31,-1.03,0.89,-0.42,1.13,-7.22,5.46,0.56,1.05,-1.37,-0.61,-0.61,0.44,0.44
15,EBT Excluding Unusual Items,21.01,54.62,7.24,30.19,28.89,62.71,6.38,1.63,44.05,53.66,9.32,29.65,42.39,42.39,37.28,37.28
16,Gain (Loss) on Sale of Investments,0.28,-0.23,0.49,-2.18,1.66,0.49,0.5,0.72,0.24,0.12,0.04,0.36,0.35,0.35,0,0
17,Gain (Loss) on Sale of Assets,-0.11,-0.02,-0.04,0.08,-0.01,0.07,-,-0.01,-0.02,0.02,-,0,0.02,0.02,-0.02,-0.02
18,Asset Writedown,0.83,4.53,-4.55,1.84,-1.83,0.02,-0.02,5.27,-5.24,4.34,-4.36,7.58,1.2,1.2,-1.2,-1.2
19,Other Unusual Items,-3.17,3.87,5.18,3.27,-,-,-,15.95,0.3,-0.3,-,13.34,2.87,2.87,0.77,0.77
20,Pretax Income,18.84,62.77,8.33,33.19,28.72,63.29,6.86,23.55,39.33,57.84,4.99,50.94,46.84,46.84,36.83,36.83
21,Income Tax Expense,3.05,3.07,-0.43,3.15,2.25,7.18,-0.94,1.25,3.84,7.05,-0.85,4.8,6.08,6.08,4.49,4.49
22,Earnings From Continuing Operations,15.79,59.7,8.76,30.04,26.47,56.11,7.8,22.3,35.49,50.79,5.84,46.14,40.75,40.75,32.34,32.34
23,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.67,-0.67
24,Net Income,15.79,59.7,8.76,30.04,26.47,56.11,7.8,22.3,35.49,50.79,5.84,46.14,40.75,40.75,31.68,31.68
25,Net Income to Common,15.79,59.7,8.76,30.04,26.47,56.11,7.8,22.3,35.49,50.79,5.84,46.14,40.75,40.75,31.68,31.68
26,Net Income Growth,-40.34%,6.39%,12.32%,34.71%,-25.41%,10.48%,33.57%,-51.67%,-12.92%,24.62%,-81.57%,45.66%,-,-,-,-
27,Shares Outstanding (Basic),107,108,109,107,110,105,111,90,83,78,83,81,82,82,81,81
28,Shares Outstanding (Diluted),107,108,109,107,110,105,111,90,83,78,83,81,82,82,81,81
29,Shares Change (YoY),-3.02%,2.46%,-1.72%,19.85%,32.94%,34.26%,33.57%,10.75%,1.50%,-3.86%,2.67%,-0.50%,-,-,-,-
30,EPS (Basic),0.15,0.55,0.08,0.28,0.24,0.53,0.07,0.25,0.43,0.65,0.07,0.57,0.50,0.50,0.39,0.39
31,EPS (Diluted),0.15,0.55,0.08,0.28,0.24,0.53,0.07,0.25,0.43,0.65,0.07,0.57,0.50,0.50,0.39,0.39
32,EPS Growth,-38.48%,3.84%,14.29%,12.40%,-43.90%,-17.71%,0%,-56.36%,-14.20%,29.62%,-82.05%,46.39%,-,-,-,-
33,Free Cash Flow,-89.49,-0.9,3.41,57.79,24.79,-27.84,6.53,2.32,49.63,16.98,-74.4,29.66,55.18,55.18,9.61,9.61
34,Free Cash Flow Per Share,-0.84,-0.01,0.03,0.54,0.23,-0.26,0.06,0.03,0.60,0.22,-0.89,0.37,0.68,0.68,0.12,0.12
35,Dividend Per Share,-,-,-,0.340,-,-,-,0.320,-,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,6.25%,-,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,36.48%,24.05%,24.89%,20.45%,27.47%,26.68%,24.24%,18.63%,26.63%,21.20%,25.00%,21.55%,28.61%,28.61%,29.29%,29.29%
38,Operating Margin,11.54%,12.27%,1.69%,7.76%,10.37%,14.10%,0.28%,0.52%,14.56%,11.41%,4.99%,6.49%,12.79%,12.79%,15.05%,15.05%
39,Profit Margin,10.74%,14.57%,4.65%,9.26%,10.84%,13.81%,4.70%,6.14%,12.60%,11.88%,4.03%,10.35%,12.32%,12.32%,13.21%,13.21%
40,Free Cash Flow Margin,-60.86%,-0.22%,1.81%,17.82%,10.15%,-6.85%,3.93%,0.64%,17.61%,3.97%,-51.37%,6.65%,16.68%,16.68%,4.01%,4.01%
41,EBITDA,20.47,54.25,6.7,28.69,28.97,60.94,4.13,5.55,44.74,52.5,10.95,32.67,46.13,46.13,39.81,39.81
42,EBITDA Margin,13.92%,13.24%,3.56%,8.85%,11.86%,14.99%,2.49%,1.53%,15.88%,12.29%,7.56%,7.33%,13.94%,13.94%,16.60%,16.60%
43,D&A For EBITDA,3.51,3.97,3.51,3.51,3.66,3.64,3.66,3.66,3.73,3.75,3.73,3.73,3.81,3.81,3.71,3.71
44,EBIT,16.96,50.28,3.19,25.18,25.31,57.31,0.47,1.89,41.02,48.75,7.23,28.94,42.31,42.31,36.1,36.1
45,EBIT Margin,11.54%,12.27%,1.69%,7.76%,10.37%,14.10%,0.28%,0.52%,14.56%,11.41%,4.99%,6.49%,12.79%,12.79%,15.05%,15.05%
46,Effective Tax Rate,16.18%,4.89%,-,9.50%,7.83%,11.34%,-,5.32%,9.76%,12.19%,-,9.42%,12.99%,12.99%,12.19%,12.19%
47,Revenue as Reported,147.04,409.85,188.19,324.34,244.18,406.41,166.02,363.36,281.75,427.33,144.83,445.95,330.82,330.82,239.87,239.87
