,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2572,2294,2151,2238,2899,2946,2665,2756,2656,-,-,-,-,-,-,-,-
1,Market Cap Growth,-22.15%,-22.15%,-19.28%,-18.80%,9.14%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1767,1408,1225,1301,1962,2030,1745,2402,2303,-,-,-,-,-,-,-,-
3,Last Close Price,23.73,21.16,19.84,20.30,26.30,26.73,24.17,24.68,23.79,-,-,-,-,-,-,-,-
4,PE Ratio,22.39,20.07,17.21,18.43,24.07,26.15,21.90,23.68,23.21,-,-,-,-,-,-,-,-
5,Forward PE,18.98,16.93,15.87,13.00,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,2.39,2.14,1.84,1.92,2.54,2.50,2.19,2.23,2.18,-,-,-,-,-,-,-,-
7,PB Ratio,1.97,1.76,1.67,1.77,2.31,2.41,2.23,2.34,2.28,-,-,-,-,-,-,-,-
8,P/TBV Ratio,1.80,1.80,1.71,1.81,2.36,2.46,2.28,2.40,2.33,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,38.48,47.31,508.93,-,36.52,-485.17,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,26.17,33.58,335.87,-,34.46,1567.35,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.65,1.32,1.05,1.12,1.72,1.72,1.43,1.94,1.89,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,16.10,12.78,10.33,10.38,15.99,20.39,15.12,22.47,20.24,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,19.09,14.72,11.78,11.72,18.13,23.89,17.33,26.08,23.29,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-60.54,-,-,22.37,32.03,350.68,-,31.84,-420.64,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-
16,Debt / EBITDA Ratio,0.05,0.06,0.02,0.24,0.05,0.01,0.01,0.12,0.08,0.01,0.01,0.04,0.01,-,-,-,-
17,Debt / FCF Ratio,-,-,-,0.11,0.11,0.26,-,0.03,-0.41,0.06,0.05,-,0.01,-,-,-,-
18,Asset Turnover,0.30,0.82,0.37,0.63,0.47,0.79,0.33,0.84,0.78,-,-,-,0.94,0.98,0.74,-,
19,Inventory Turnover,1.15,0.61,2.01,0.86,1.50,0.98,1.67,0.73,1.73,1.13,-,-,-,1.43,1.42,1.01,-
20,Quick Ratio,1.65,1.65,1.80,1.55,1.60,1.36,1.37,1.34,1.44,0.66,0.60,-,0.58,0.54,0.54,0.47,0.47
21,Current Ratio,2.72,2.72,2.74,2.51,2.52,2.27,2.25,2.23,2.28,1.55,1.51,-,1.36,1.24,1.24,1.20,1.20
22,Return on Equity (ROE),4.88%,18.73%,2.78%,9.70%,8.74%,18.91%,2.66%,10.13%,24.68%,38.43%,4.67%,-,44.17%,47.89%,41.49%,-,
23,Return on Assets (ROA),2.14%,6.27%,0.39%,3.05%,3.01%,6.93%,0.06%,0.27%,7.08%,-,-,-,7.48%,7.81%,6.98%,-,
24,Return on Capital (ROIC),3.26%,9.81%,0.63%,5.06%,5.22%,12.05%,0.10%,0.53%,17.78%,22.99%,3.60%,-,28.66%,31.07%,28.94%,-,
25,Return on Capital Employed (ROCE),7.04%,7.27%,8.00%,8.69%,8.54%,6.88%,8.34%,7.77%,8.39%,20.96%,22.39%,-,29.33%,41.63%,30.40%,22.38%,11.19%
26,Earnings Yield,4.44%,4.98%,5.81%,5.42%,4.15%,3.82%,4.57%,4.22%,4.31%,-,-,-,-,-,-,-,-
27,FCF Yield,-1.13%,-1.27%,3.96%,2.60%,2.11%,0.20%,1.15%,2.74%,-0.21%,-,-,-,-,-,-,-,-
28,Dividend Yield,1.43%,-,-,-,1.29%,-,-,-,1.35%,-,-,-,-,-,-,-,-
29,Payout Ratio,30.28%,-,57.97%,-,-,8.08%,58.01%,-,-,-,-,417.87%,-,24.13%,24.13%,-,-
30,Buyback Yield / Dilution,-3.63%,3.02%,-2.46%,1.72%,-19.85%,-32.94%,-34.26%,-33.57%,-10.75%,-1.50%,3.86%,-2.67%,0.50%,-,-,-,-
31,Total Shareholder Return,-2.21%,3.02%,-2.46%,1.72%,-18.56%,-32.94%,-34.26%,-33.57%,-9.41%,-1.50%,3.86%,-2.67%,0.50%,-,-,-,-
