,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,775,1011,1160,1488,2480,2449,3845,6387,6015,6511,6782,Upgrade
1,Market Cap Growth,-32.08%,-32.08%,-53.25%,-39.24%,-35.48%,-61.65%,-36.08%,-1.90%,-11.31%,-4.87%,-20.43%,Upgrade
2,Enterprise Value,3192,3592,3747,4039,5021,4807,5985,8304,7520,6991,7795,Upgrade
3,Last Close Price,0.13,0.16,0.19,0.24,0.40,0.40,0.62,1.03,0.97,1.05,1.09,Upgrade
4,PE Ratio,33.26,-,-235.65,-,-,-,-,-,-,-,-,Upgrade
5,PS Ratio,0.81,1.16,1.42,2.96,3.49,2.13,3.39,7.39,8.58,3.97,2.87,Upgrade
6,PB Ratio,0.22,0.28,0.31,0.42,0.67,0.64,0.89,1.33,1.09,0.95,0.91,Upgrade
7,P/TBV Ratio,0.28,0.28,0.32,0.43,0.68,0.65,0.90,1.35,1.11,0.97,0.93,Upgrade
8,P/FCF Ratio,4.75,6.19,6.98,-25.79,-,-,-,-,-,-,-155.29,Upgrade
9,P/OCF Ratio,5.69,5.69,6.35,-30.26,-,-,-,-,-,-,23.56,Upgrade
10,PEG Ratio,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,Upgrade
11,EV/Sales Ratio,3.34,4.12,4.59,8.03,7.06,4.17,5.27,9.61,10.73,4.26,3.30,Upgrade
12,EV/EBITDA Ratio,15.17,32.80,49.58,-56.05,-,-,-,-,-,-,29.87,Upgrade
13,EV/FCF Ratio,19.55,22.00,22.54,-69.99,-,-,-,-,-,-,-178.49,Upgrade
14,Debt / Equity Ratio,0.70,0.70,0.72,0.77,0.72,0.69,0.58,0.48,0.38,0.30,0.27,Upgrade
15,Debt / FCF Ratio,15.30,15.30,16.02,-46.96,-,-,-,-,-,-,-46.80,Upgrade
16,Earnings Yield,8.73%,6.69%,-0.42%,-20.44%,-24.48%,-40.31%,-30.96%,-32.78%,-32.50%,-9.72%,-2.81%,Upgrade
17,FCF Yield,21.07%,16.16%,14.33%,-3.88%,-11.49%,-14.04%,-10.34%,-7.04%,-11.72%,-5.23%,-0.64%,Upgrade
18,Buyback Yield / Dilution,-0.00%,-,-,0.00%,-,-,-0.00%,0.13%,0.33%,0.85%,0.73%,Upgrade
19,Total Shareholder Return,-0.00%,-,-,0.00%,-,-,-0.00%,0.13%,0.33%,0.85%,0.73%,Upgrade
