,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Revenue,2243693,1716603,1815353,1979796,2303029,2306830,2059961,2966157,3226935,3462918,2879173,3052675,2556455,2565396,2322338,2341879,2314877,1940474,1726386,2130321,Upgrade
1,Revenue Growth (YoY),-2.58%,-25.59%,-11.87%,-33.25%,-28.63%,-33.38%,-28.45%,-2.83%,26.23%,34.99%,23.98%,30.35%,10.44%,32.20%,34.52%,9.93%,24.85%,15.87%,11.33%,12.31%,Upgrade
2,Cost of Revenue,1822074,1446160,1456156,1595004,1860337,1986093,1671969,2685336,2671231,2573796,2331214,2433985,2065100,2066271,1880494,1892066,1790009,1495562,1380991,1737338,Upgrade
3,Gross Profit,421620,270442,359197,384792,442691,320737,387992,280821,555705,889122,547959,618690,491355,499125,441845,449812,524868,444912,345396,392983,Upgrade
4,"Selling, General & Admin",453947,340564,345467,239399,346526,615750,401468,387736,460734,610047,396671,429845,414657,278716,316096,407332,388930,351977,317928,394590,Upgrade
5,Operating Expenses,453947,340564,345467,239399,346526,615750,401468,387736,460734,610047,396671,429845,414657,278716,316096,407332,388930,351977,317928,394590,Upgrade
6,Operating Income,-32328,-70121,13730,145394,96165,-295013,-13476,-106915,94971,279075,151288,188846,76698,220409,125749,42481,135939,92935,27467,-1607,Upgrade
7,Interest Expense,-31662,-26491,-28395,-1127435,-50940,-1157023,-103246,-84596,-57266,-54149,-48639,-85476,-43979,-46613,-41259,-30919,-32677,-34185,-31531,-34748,Upgrade
8,Interest & Investment Income,28579,59790,34826,-,45641,-,1172920,-,11281,6407,27310,-,70112,48784,14354,2680,18045,14553,12730,8317,Upgrade
9,Earnings From Equity Investments,44587,61362,18376,28882,30793,13184,2433,68301,-34905,38467,32217,73353,27834,-36330,45614,48660,25237,44027,54063,61167,Upgrade
10,Currency Exchange Gain (Loss),4551,-7356,2804,12429,-1424,13587,-3389,19341,2907,-8632,4934,28903,12975,1101,7741,12163,5408,2705,213.44,3552,Upgrade
11,Other Non Operating Income (Expenses),1658,-6721,3009,-736277,-5210,13937,-4846,2823,3420,11999,-14997,1485,-237.68,-894.43,-1982,3830,1978,-167.47,367.85,7017,Upgrade
12,EBT Excluding Unusual Items,15386,10463,44351,-1677008,115025,-1411328,1050396,-101047,20408,273166,152113,207110,143402,186456,150217,78896,153929,119867,63311,43698,Upgrade
13,Gain (Loss) on Sale of Investments,0.03,-0.03,-,1129184,0.05,2161427,-1044714,122499,39673,-1.83,0.91,-,-,-,-,-,0.67,209.23,-135.13,13759,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,-,87.48,-,-,-,3788,-,-,-,644.74,-,-,-,-,-,-,-,-,Upgrade
15,Pretax Income,15386,10463,44351,-547736,115025,750099,5682,25240,60080,273164,152114,207755,143402,186456,150217,78896,153930,120076,63176,57457,Upgrade
16,Income Tax Expense,-6110,-497.59,22696,-36383,33095,34877,156297,19886,30037,55034,30986,42121,18170,-41058,15306,2460,33300,34726,15355,16974,Upgrade
17,Earnings From Continuing Operations,21496,10961,21655,-511353,81930,715223,-150615,5354,30043,218130,121128,165634,125232,227515,134911,76436,120630,85351,47821,40483,Upgrade
18,Minority Interest in Earnings,2898,-9198,-12126,-18554,-8257,203185,-168377,19963,-5719,-12017,-14282,-33536,-10809,22421,-40965,-27035,-16395,-46475,-36599,-52599,Upgrade
19,Net Income,24394,1763,9529,-529907,73672,918408,-318992,25317,24325,206113,106846,132098,114423,249935,93946,49402,104234,38875,11222,-12116,Upgrade
20,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,13500,-,-,-,13500,-,-,-,17901,8401,-,8401,-,-,Upgrade
21,Net Income to Common,24394,1763,9529,-529907,73672,918408,-332492,25317,24325,206113,93346,132098,114423,249935,76045,41001,104234,30475,11222,-12116,Upgrade
22,Net Income Growth,-66.89%,-99.81%,-,-,202.87%,345.58%,-,-80.83%,-78.74%,-17.53%,13.73%,167.40%,9.77%,542.92%,737.16%,-,398.16%,-11.49%,95.27%,-,Upgrade
23,Shares Outstanding (Basic),260,257,258,262,258,257,257,259,256,252,252,252,252,252,252,227,226,226,226,232,Upgrade
24,Shares Outstanding (Diluted),260,257,258,262,258,257,257,259,256,252,252,252,252,252,252,227,226,226,226,232,Upgrade
25,Shares Change (YoY),0.75%,0.08%,0.48%,1.33%,0.60%,2.21%,2.24%,2.88%,1.72%,0.00%,-0.02%,10.99%,11.31%,11.24%,11.23%,-2.21%,0.22%,-,-,2.44%,Upgrade
26,EPS (Basic),94.00,6.85,36.87,-2020.99,286.00,3570.46,-1292.62,97.84,95.00,819.00,371.03,525.20,454.55,993.14,302.22,180.93,460.91,134.71,49.60,-52.28,Upgrade
27,EPS (Diluted),94.00,6.65,36.87,-2021.21,286.00,3570.46,-1292.62,97.42,95.00,819.00,370.93,524.94,454.55,993.14,302.22,180.26,460.91,134.55,49.60,-52.36,Upgrade
