,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,9021,3836,3504,1728,7344,3630,2296,1564,4096,4096,1996,2048,3082,3082,1822,2073
1,Other Revenue,-,-48.53,48.53,-,104.46,-54.84,54.84,-,24.41,24.41,38,-,34.15,34.15,30.69,37.83
2,Revenue,9021,3788,3553,1728,7449,3575,2351,1564,4121,4121,2034,2048,3116,3116,1852,2111
3,Revenue Growth (YoY),21.11%,5.93%,51.09%,10.50%,80.75%,-13.24%,15.57%,-23.66%,32.26%,32.26%,9.84%,-2.96%,-,-,-,-
4,Cost of Revenue,-7660,3225,3047,1388,6379,3160,2003,1110,3223,3223,1462,1517,2317,2317,1350,1285
5,Gross Profit,16681,562.63,505.38,339.86,1069,415.16,347.97,453.44,897.47,897.47,572.36,531.24,798.62,798.62,501.8,826.29
6,"Selling, General & Admin",-800.74,270.26,213.6,316.88,661.58,255.82,199.53,245.91,341.84,341.84,248.85,241.55,272.05,272.05,242.41,223.18
7,Research & Development,-550.64,177.51,185.83,187.3,187.66,251.09,243.21,189.7,238.4,238.4,168.82,122.7,150.54,150.54,131.15,109.66
8,Other Operating Expenses,15989,-102.84,44.44,-38.68,244.98,-147.05,-61.54,-60.5,55.68,55.68,-99.23,-39.47,-26.95,-26.95,-5.15,-60.56
9,Operating Expenses,14647,348.64,435.11,461.16,1067,349.85,398.93,364.55,634.93,634.93,354.25,353.19,416.94,416.94,387.44,267.72
10,Operating Income,2035,213.99,70.28,-121.3,1.71,65.31,-50.96,88.88,262.54,262.54,218.11,178.04,381.68,381.68,114.36,558.58
11,Interest Expense,-677.77,-26.95,-16.15,-18,-28.3,-20.14,-22.55,-30.22,-28.65,-28.65,-2.06,-111.2,-33.37,-33.37,-29.26,-15.19
12,Interest & Investment Income,61.1,99.97,94.9,482.9,986.45,161.26,462.96,486.16,214.36,214.36,47.31,680.62,39.75,39.75,461.95,47.79
13,Currency Exchange Gain (Loss),-,-0.33,0.33,-,4.11,-6.04,6.04,-,3.49,3.49,16.74,-,0.07,0.07,-0.09,-0.36
14,Other Non Operating Income (Expenses),21.07,-5.42,-12.21,-2.63,-98.24,6.71,22.26,-4.61,-6.31,-6.31,-33.62,24.69,26.66,26.66,-65.38,-2.25
15,EBT Excluding Unusual Items,1439,281.26,137.14,340.97,865.74,207.09,417.75,540.21,445.42,445.42,246.48,772.16,414.79,414.79,481.59,588.57
16,Gain (Loss) on Sale of Investments,-29.98,20.58,7.7,1.7,-2.95,-18.98,-44.62,22.17,-28.02,-28.02,-10.58,-7.73,16.37,16.37,-7.03,13.38
17,Gain (Loss) on Sale of Assets,1.64,-1.68,-0.03,0.06,0.06,0.09,0.06,-,0.02,0.02,0.08,0.01,0.23,0.23,0.75,-0.96
18,Asset Writedown,23.08,-15.57,0.06,-7.58,8.79,-8.73,0.79,-5.75,-28.09,-28.09,-10.35,0.53,-15.78,-15.78,-22.55,-42.72
19,Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-,0.45,0.45,-,-
20,Other Unusual Items,-2.93,-43.01,45.95,-,417.72,0.52,-0.52,-,57.93,57.93,0.42,-,5.74,5.74,-3.91,-0.73
21,Pretax Income,1431,241.58,190.82,335.15,1289,180,373.47,556.63,447.27,447.27,226.06,764.98,421.81,421.81,448.85,557.55
22,Income Tax Expense,258.93,-9.7,23.03,69.38,313.4,-33.75,39.12,74.14,22.38,22.38,23.71,164.17,41.13,41.13,87.59,77.01
23,Earnings From Continuing Operations,1172,251.28,167.79,265.78,975.95,213.75,334.35,482.49,424.89,424.89,202.35,600.81,380.67,380.67,361.26,480.54
24,Minority Interest in Earnings,-0,0,-,-,-0,-,-,-,0.07,0.07,-1.27,-4.06,-0,-0,-0,0
