,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,5541,7346,9871,11547,9221,7693,7570,9098,9098,8743,2678,3980,3980,-,-
1,Short-Term Investments,-,-,200.42,-,-,-,815.06,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,3110,2642,1035,35.86,132.83,835.22,1731,1166,1166,272.53,81.64,76.94,76.94,-,-
3,Cash & Short-Term Investments,8651,8651,10188,10906,11583,9354,9343,9301,10264,10264,9015,2760,4057,4057,-,1895
4,Cash Growth,-25.31%,-7.51%,9.05%,17.26%,12.84%,-8.87%,3.63%,237.04%,153.02%,153.02%,-,45.59%,-,-,-,-
5,Accounts Receivable,-,8158,6576,6755,6480,4428,4191,4279,4521,4521,3806,3688,3811,3811,-,-
6,Other Receivables,-,379.77,392.83,591.18,638.47,639.96,778.09,796.97,678.48,678.48,607.22,851.06,186.23,186.23,-,-
7,Receivables,-,8538,6969,7346,7118,5068,4969,5076,5199,5199,4413,4539,3997,3997,-,-
8,Inventory,-,6341,4632,4227,3087,3774,3212,1924,1636,1636,1969,1479,1528,1528,-,-
9,Prepaid Expenses,-,-,49.52,-,-,-,95.94,-,-,-,4.85,-,9.05,9.05,-,-
10,Other Current Assets,-,1645,1051,1282,1067,2161,1177,2320,890.17,890.17,1253,801.74,690.1,690.1,-,-
11,Total Current Assets,-,25175,22890,23762,22855,20356,18796,18622,17990,17990,16655,9579,10281,10281,-,-
12,"Property, Plant & Equipment",-,5937,5687,5357,5416,5777,4923,5176,5194,5194,4634,4185,5154,5154,-,-
13,Long-Term Investments,-,1347,1305,1255,1241,1131,1058,313.74,295.46,295.46,219.77,208.7,191.49,191.49,-,-
14,Other Intangible Assets,-,836.59,776.72,702.72,715.78,792.78,785.44,366.22,375.24,375.24,279.63,279.07,284.27,284.27,-,-
15,Long-Term Accounts Receivable,-,-,2506,-,1882,-,1578,-,1445,1445,1071,-,1080,1080,-,-
16,Long-Term Deferred Tax Assets,-,880.08,790.44,702.14,718.71,831.64,769.35,754.51,745.16,745.16,728.93,597.3,682.09,682.09,-,-
17,Long-Term Deferred Charges,-,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.11,0.11,1.86,2.77,3.71,3.71,-,-
18,Other Long-Term Assets,-,2920,352.16,2510,547.16,2209,413.44,1854,370.45,370.45,343.29,1467,122.07,122.07,-,-
19,Total Assets,-,37095,34307,34288,33376,31098,28323,27086,26415,26415,23934,16319,17799,17799,-,-
20,Accounts Payable,-,9651,8272,9312,10132,8236,6313,6387,6548,6548,4152,4013,4754,4754,-,-
21,Accrued Expenses,-,301.84,876.01,237.81,1044,264.8,402.38,180.15,497.24,497.24,512.67,245.43,554.98,554.98,-,-
22,Short-Term Debt,-,205.13,300.19,670.59,770.57,1172,1615,2490,3089,3089,3160,2085,2659,2659,-,-
23,Current Portion of Long-Term Debt,-,547.83,1132,1143,1331,1089,322.18,-,23.6,23.6,41.99,53.2,87.17,87.17,-,-
24,Current Portion of Leases,-,-,42.37,-,25.02,-,-,-,-,-,-,-,-,-,-,-
25,Current Income Taxes Payable,-,375.93,125.81,171.58,149.26,122.78,49.44,76.34,58.09,58.09,18.83,30.74,94.2,94.2,-,-
26,Current Unearned Revenue,-,5067,3721,3344,2705,3381,3379,2425,2150,2150,2461,2253,2546,2546,-,-
27,Other Current Liabilities,-,4223,3403,3851,2917,3286,3114,2787,2073,2073,2312,2190,1768,1768,-,-
28,Total Current Liabilities,-,20372,17872,18731,19073,17552,15195,14345,14439,14439,12659,10871,12463,12463,-,-
29,Long-Term Debt,-,3758,3794,2376,1135,1522,1310,808.5,614,614,795.58,805.13,1342,1342,-,-
30,Long-Term Leases,-,42.63,42.3,41.44,58.67,-,-,-,-,-,-,-,-,-,-,-
