,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,34226,37572,35132,29683,33166,34416,36112,38229,37302,34840,43737,47954,-,-,-,-,-
1,Market Cap Growth,9.17%,9.17%,-2.71%,-22.35%,-11.09%,-1.22%,-17.43%,-20.28%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,30129,33475,30254,23008,27595,28846,30015,32226,32289,29150,38725,48142,-,-,-,-,-
3,Last Close Price,28.13,30.88,28.85,24.84,26.96,27.98,29.36,31.50,30.25,28.25,35.46,39.30,-,-,-,-,-
4,PE Ratio,18.22,20.24,21.15,18.29,18.53,17.15,24.81,22.94,24.33,21.14,27.28,30.76,-,-,-,-,-
5,Forward PE,14.81,15.13,14.04,12.02,13.04,14.55,16.13,16.02,15.87,16.43,20.51,-,-,-,-,-,-
6,PS Ratio,1.87,2.08,2.13,1.82,2.20,2.30,3.11,3.14,3.15,2.83,3.86,4.65,-,-,-,-,-
7,PB Ratio,2.72,2.99,2.79,2.42,2.59,2.69,3.07,3.30,3.18,3.12,3.91,4.64,-,-,-,-,-
8,P/TBV Ratio,3.20,3.20,2.99,2.58,2.74,2.85,3.29,3.54,3.29,3.22,4.05,4.77,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-24.51,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,-,18.00,25.01,-,45.92,31.51,-,-,-,-,-,-
11,EV/Sales Ratio,1.67,1.85,1.83,1.41,1.83,1.93,2.59,2.65,2.73,2.37,3.42,4.67,-,-,-,-,-
12,EV/EBITDA Ratio,11.44,12.65,49.37,52.59,-,60.07,42.09,35.45,27.84,23.50,28.81,33.25,-,-,-,-,-
13,EV/EBIT Ratio,13.71,15.23,183.71,1437.82,-,274.87,82.06,-,38.81,31.64,37.22,41.52,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-,-20.38,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.36,0.36,0.36,0.43,0.33,0.26,0.32,0.28,0.28,0.33,0.33,0.39,0.65,1.05,1.05,-,1.20
16,Debt / EBITDA Ratio,1.73,0.53,3.53,6.61,-,6.67,6.41,16.00,4.82,2.71,2.71,3.30,2.93,2.28,2.28,-,1.07
17,Debt / FCF Ratio,-,-,-,-,-,-,-2.57,-,-,-,-,-,-,-3.26,-1.98,-,-
18,Asset Turnover,-,0.42,0.41,0.20,0.92,0.48,0.34,0.23,0.62,0.65,0.40,0.48,0.70,-,-,-,
19,Inventory Turnover,-,-,2.35,2.75,1.52,7.44,3.62,3.12,2.49,7.88,7.15,3.39,4.04,6.06,-,-,-
20,Quick Ratio,-,-,0.84,0.96,0.97,0.98,0.82,0.94,1.00,1.07,1.07,1.06,0.67,0.65,0.65,-,-
21,Current Ratio,-,-,1.24,1.28,1.27,1.20,1.16,1.24,1.30,1.25,1.25,1.32,0.88,0.82,0.82,-,-
22,Return on Equity (ROE),37.27%,8.08%,5.35%,8.30%,31.78%,7.32%,11.48%,16.86%,15.20%,15.79%,10.90%,57.27%,39.28%,-,-,-,
23,Return on Assets (ROA),-,1.50%,0.51%,-0.90%,0.01%,0.55%,-0.46%,0.83%,2.48%,2.61%,2.71%,2.61%,5.36%,-,-,-,
24,Return on Capital (ROIC),29.69%,3.08%,1.01%,-1.83%,0.03%,1.07%,-0.85%,1.48%,4.40%,4.49%,5.00%,5.77%,11.98%,-,-,-,
25,Return on Capital Employed (ROCE),-,-,0.98%,0.10%,-,0.73%,2.70%,-,6.53%,7.69%,8.69%,10.28%,19.38%,26.92%,19.76%,-,-
26,Earnings Yield,5.42%,4.94%,4.73%,5.47%,5.40%,5.83%,4.03%,4.36%,4.11%,4.73%,3.67%,3.25%,-,-,-,-,-
27,FCF Yield,-,-16.79%,-14.98%,-11.96%,-7.74%,-4.08%,-5.35%,-3.84%,-5.34%,-2.32%,-0.36%,-,-,-,-,-,
28,Dividend Yield,2.15%,-,-,-,-,2.11%,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,11.87%,429.37%,5.01%,2.14%,9.38%,158.91%,5.48%,6.29%,6.29%,11.21%,4.56%,8.57%,8.57%,8.98%,3.82%
30,Buyback Yield / Dilution,0.91%,4.72%,-0.99%,-1.39%,-0.95%,-6.89%,-0.84%,-17.07%,-20.39%,-18.70%,-18.70%,-2.16%,-1.21%,-,-,-,-
31,Total Shareholder Return,3.06%,4.72%,-0.99%,-1.39%,-0.95%,-4.78%,-0.84%,-17.07%,-20.39%,-18.70%,-18.70%,-2.16%,-1.21%,-,-,-,-
