,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,291989,307989,271990,324850,328500,350400,354050,277400,248200,368650,365000,540200,518300,562100,332150,372300,321200,255500,259150,219000,292000,Upgrade
1,Market Cap Growth,-12.10%,-12.10%,-23.18%,17.11%,32.35%,-4.95%,-3.00%,-48.65%,-52.11%,-34.42%,9.89%,45.10%,61.36%,120.00%,28.17%,70.00%,10.00%,12.90%,-7.79%,-1.24%,23.93%,Upgrade
2,Enterprise Value,-308242,-337419,-227163,-295810,-117386,-62643,-109918,-131792,-134437,-241195,-327752,-221094,-99996,44231,-204897,91271,204091,122586,71087,265102,490465,Upgrade
3,PE Ratio,22.83,42.42,95.07,-212.30,-,43.60,30.87,19.22,17.98,31.75,44.46,58.57,42.76,26.61,17.63,21.68,688.85,-,-32.20,-,1596.91,Upgrade
4,PS Ratio,0.06,0.06,0.05,0.07,0.07,0.09,0.09,0.06,0.05,0.08,0.08,0.13,0.13,0.14,0.08,0.10,0.09,0.08,0.08,0.07,0.08,Upgrade
5,PB Ratio,0.59,0.62,0.55,0.67,0.68,0.72,0.73,0.55,0.50,0.75,0.75,1.08,1.05,1.14,0.68,0.77,0.67,0.55,0.55,0.47,0.61,Upgrade
6,P/FCF Ratio,-,-,-,-,1.70,1.14,-,-2.32,-0.66,-,-,-,1.17,1.28,-,1.42,0.95,0.98,-,0.39,1.26,Upgrade
7,P/OCF Ratio,-,-,-,-,1.45,1.05,-,-3.45,-0.74,-,-,-,1.17,1.23,-,1.40,0.90,0.88,-,0.37,1.12,Upgrade
8,EV/Sales Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,-,0.02,0.06,0.04,0.02,0.08,0.14,Upgrade
9,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,1.07,-,1.74,6.71,2.56,1.86,-,8.87,Upgrade
10,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.82,-23.60,-,-19.73,-,25.66,Upgrade
