,Fiscal Quarter,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Revenue,1262447,1514672,985962,1517001,1056430,850505,957799,1129697,1100785,1156805,1214115,1042015,986580,813376,1237454,1095636,837951,724324,800055,979053,Upgrade
1,Revenue Growth (YoY),19.50%,78.09%,2.94%,34.28%,-4.03%,-26.48%,-21.11%,8.41%,11.58%,42.22%,-1.89%,-4.89%,17.74%,12.29%,54.67%,11.91%,5.42%,-8.15%,-12.85%,-8.55%,Upgrade
2,Operations & Maintenance,17485,-,-,17095,-,-,-,22445,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,"Selling, General & Admin",102892,115254,107064,105321,105606,113170,105385,133553,88563,112203,92421,117437,89630,114870,102171,112618,86605,85371,79383,87564,Upgrade
4,Other Operating Expenses,1142162,1398823,881909,1404851,956283,744156,854413,973074,1013733,1046012,1125701,927706,899533,696878,1130842,980038,754551,636564,731481,877093,Upgrade
5,Total Operating Expenses,1262539,1514077,988973,1527266,1061888,857325,959798,1129072,1102296,1158214,1218122,1045143,989163,811748,1233013,1092657,841156,721934,810865,964656,Upgrade
6,Operating Income,-92.19,595.22,-3011,-10265,-5459,-6820,-1999,625.38,-1511,-1409,-4006,-3128,-2583,1628,4442,2979,-3205,2390,-10810,14397,Upgrade
7,Interest Expense,-481.02,-528.85,-621.6,-704.08,-576.82,-396.29,-175.3,-6.41,-,-2.59,-,97.44,-,-12.51,-109.26,-916.03,-223.24,306.47,-1239,441.67,Upgrade
8,Interest Income,6827,6522,4925,5268,6996,8272,6725,5723,6364,6260,6708,6989,4877,4306,1857,2976,2597,1258,444.41,493.68,Upgrade
9,Net Interest Expense,6346,5993,4304,4564,6419,7876,6550,5717,6364,6257,6708,7087,4877,4293,1747,2060,2373,1565,-794.67,935.35,Upgrade
10,Currency Exchange Gain (Loss),252.63,-,-,292.42,-,-,-,334.06,-,-,-0.7,27.23,-4,3.25,0.75,-1926,-169.69,164.48,5.22,-3111,Upgrade
11,Other Non-Operating Income (Expenses),-29.17,-8.62,-12.14,-6.59,169.2,0.01,0.68,-82.4,569.97,1.77,1057,88.02,-14.4,140.1,16.79,6542,3.59,-140.02,0,-1382,Upgrade
12,EBT Excluding Unusual Items,6478,6579,1280,-5415,1129,1055,4551,6594,5423,4850,3758,4074,2276,6064,6206,9655,-997.95,3979,-11599,10839,Upgrade
13,Pretax Income,6478,6579,1280,-5415,1129,1055,4551,6594,5423,4850,3758,4074,2276,6064,6206,9655,-997.95,3979,-11599,10839,Upgrade
14,Income Tax Expense,1223,1316,256.06,-1133,274.56,182.84,910.21,1425,1136,1012,751.69,1095,1390,1213,301.52,125.4,400,795.79,-795.79,-,Upgrade
15,Earnings From Continuing Ops.,5255,5264,1024,-4282,854.88,872.33,3641,5169,4287,3838,3007,2979,885.59,4852,5905,9530,-1398,3183,-10804,10839,Upgrade
16,Net Income,5255,5264,1024,-4282,854.88,872.33,3641,5169,4287,3838,3007,2979,885.59,4852,5905,9530,-1398,3183,-10804,10839,Upgrade
17,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,2500,-,-,-,2500,-,-,-,45,-,-,-,24,Upgrade
18,Net Income to Common,5255,5264,1024,-4282,854.88,872.33,3641,2669,4287,3838,3007,479.4,885.59,4852,5905,9485,-1398,3183,-10804,10815,Upgrade
19,Net Income Growth,514.68%,503.38%,-71.87%,-,-80.06%,-77.27%,21.09%,73.49%,384.11%,-20.89%,-49.08%,-68.74%,-,52.41%,-,-12.08%,-,-,-,195.28%,Upgrade
20,Shares Outstanding (Basic),40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,Upgrade
21,Shares Outstanding (Diluted),40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,Upgrade
22,Shares Change (YoY),-0.00%,-0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.67%,31.67%,Upgrade
23,EPS (Basic),131.37,131.59,25.61,-107.04,21.37,21.81,91.02,66.72,107.18,95.95,75.17,11.98,22.14,121.29,147.62,237.12,-34.95,79.58,-270.09,270.37,Upgrade
24,EPS (Diluted),131.37,131.59,25.61,-107.20,21.37,21.81,91.02,66.63,107.18,95.95,75.17,11.90,22.14,121.29,147.62,237.12,-34.95,79.58,-270.09,270.37,Upgrade
25,EPS Growth,514.70%,503.41%,-71.87%,-,-80.06%,-77.27%,21.09%,459.74%,384.11%,-20.89%,-49.08%,-94.98%,-,52.41%,-,-12.30%,-,-,-,139.96%,Upgrade
26,Free Cash Flow,-128606,-,-269319,101045,73812,-104143,122681,214113,-439416,-17036,-133215,183548,70475,-69231,258364,178576,112501,-287790,335815,99039,Upgrade
27,Free Cash Flow Per Share,-3215.28,-,-6732.98,2526.13,1845.29,-2603.57,3067.01,5352.83,-10985.39,-425.90,-3330.38,4588.71,1761.87,-1730.77,6459.10,4464.39,2812.53,-7194.75,8395.37,2475.97,Upgrade
28,Dividend Per Share,-,-,-,-,-,-,-,273.750,-,-,-,273.750,-,-,-,-,-,-,-,-,Upgrade
29,Profit Margin,0.42%,0.35%,0.10%,-0.28%,0.08%,0.10%,0.38%,0.24%,0.39%,0.33%,0.25%,0.05%,0.09%,0.60%,0.48%,0.87%,-0.17%,0.44%,-1.35%,1.10%,Upgrade
30,Free Cash Flow Margin,-10.19%,-,-27.32%,6.66%,6.99%,-12.24%,12.81%,18.95%,-39.92%,-1.47%,-10.97%,17.61%,7.14%,-8.51%,20.88%,16.30%,13.43%,-39.73%,41.97%,10.12%,Upgrade
31,EBITDA,8808,10474,6461,43.73,1089,5199,7839,14647,4187,8940,5605,13594,6543,10425,14842,9710,7800,20107,-7182,27212,Upgrade
32,EBITDA Margin,0.70%,0.69%,0.66%,0.00%,0.10%,0.61%,0.82%,1.30%,0.38%,0.77%,0.46%,1.30%,0.66%,1.28%,1.20%,0.89%,0.93%,2.78%,-0.90%,2.78%,Upgrade
