,Fiscal Quarter,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,116629,344727,323913,440119,425865,218803,427228,356352,382637,489745,523566,573511,618296,517869,537047,252177,231151,95245,193449,72565,Upgrade
1,Short-Term Investments,510121,327200,210100,212621,52100,209600,52100,53643,-,120100,186100,187975,-,-,-,99446,-,108100,-,1418,Upgrade
2,Accounts Receivable,383076,482946,386156,455091,381853,306982,309871,338680,333870,332274,334550,314889,292878,293937,366633,455638,331078,306444,333366,387924,Upgrade
3,Other Receivables,8098,9185,18033,4298,11364,10903,16309,7050,12628,16514,17669,8961,15902,9945,14356,12707,8770,15919,6877,16964,Upgrade
4,Inventory,20790,26861,58209,55808,36161,45675,81213,36190,54193,66639,40038,94424,26331,25499,31173,36262,16753,43807,33888,38891,Upgrade
5,Prepaid Expenses,18290,4516,6687,3226,7316,6394,6608,5168,5174,4817,4770,2623,3515,2980,3301,2499,9192,4666,8973,1773,Upgrade
6,Other Current Assets,94406,81740,62598,66783,54872,77427,81793,76946,83330,89883,85553,78699,66273,72845,82977,77464,95833,101914,85910,85873,Upgrade
7,Total Current Assets,1151411,1277175,1065695,1237946,969531,875784,975123,874028,871833,1119971,1192246,1261082,1023195,923075,1035487,936193,692777,676096,662462,605408,Upgrade
8,"Property, Plant & Equipment",243184,250727,268172,277595,283323,287963,299384,308814,318556,297209,295822,305223,319711,327875,336355,342715,358720,373425,383154,384956,Upgrade
9,Other Intangible Assets,316.45,2097,2199,1914,1950,1986,2027,2090,2170,2255,2339,2422,2506,2590,2687,2905,3105,3030,2557,2917,Upgrade
10,Long-Term Investments,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,Upgrade
11,Other Long-Term Assets,250223,257334,244738,272267,269010,271788,285431,261723,261246,263302,270550,261432,256875,260696,258139,258954,264106,269344,273856,278980,Upgrade
12,Total Assets,1655134,1797332,1590805,1799722,1533814,1447521,1571965,1456656,1463805,1692738,1770957,1840159,1612287,1524236,1642667,1550767,1328708,1331893,1332029,1282261,Upgrade
13,Accounts Payable,963456,1101619,898803,1093898,810397,735447,833932,754147,782775,972291,1060616,1150109,902499,837728,980818,833965,620179,632368,732010,522675,Upgrade
14,Accrued Expenses,20733,14038,12077,23017,20407,41930,26453,27435,15284,44198,36634,44397,58440,50991,26690,30696,15794,32489,18064,24423,Upgrade
15,Short-Term Debt,-,5560,5560,-,-,-,-,-,-,-,16915,191.69,-,-,-,70595,114042,70431,5385,139367,Upgrade
16,Current Portion of Long-Term Debt,5560,-,-,5560,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Current Unearned Revenue,864.03,864.03,864.03,864.03,648.02,864.03,864.03,864.03,-,648.02,-,864.03,864.03,864.03,864.03,864.03,-,864.03,-,864.03,Upgrade
18,Current Income Taxes Payable,1096,1221,-,-,878.84,2211,-,676.2,-,970.03,841.86,1709,625.14,175.14,1033,-,1479,-,-,-,Upgrade
19,Other Current Liabilities,9003,16524,2999,7262,8777,1899,12006,7158,3618,17257,3727,17140,33354,24744,32858,24500,5249,19368,5216,9044,Upgrade
20,Total Current Liabilities,1000712,1139826,920303,1130601,841107,782352,873255,790280,801677,1035363,1118733,1214411,995781,914501,1042263,960619,756743,755520,760675,696374,Upgrade
21,Long-Term Debt,20960,20960,29300,26520,32080,15360,15360,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
22,Long-Term Unearned Revenue,18094,18310,18742,18958,19390,19390,19657,19822,20953,20521,20521,20737,21169,21169,21385,21601,23113,22033,23113,22465,Upgrade
23,Other Long-Term Liabilities,119223,127347,138081,140289,153601,143666,161535,148036,147827,147759,132730,109045,102380,96494,92709,87202,80289,81094,78938,82520,Upgrade
24,Total Liabilities,1158990,1306443,1106427,1316368,1046178,960768,1069806,958139,970456,1203643,1271984,1344193,1119329,1032164,1156357,1069422,860145,858647,862726,801358,Upgrade
25,Common Stock,399985,399985,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,Upgrade
26,Additional Paid-In Capital,19717,19717,19717,19717,19717,19717,19717,19717,19717,19717,19717,19717,19717,19717,19717,19717,19717,19717,19717,19717,Upgrade
27,Retained Earnings,76442,71188,99661,98637,102918,102035,117441,113800,108631,104378,114256,111249,108241,107355,101593,96628,83846,88529,84586,96186,Upgrade
28,Total Common Equity,496145,490890,484378,483354,487635,486752,502158,498517,493348,489095,498973,495966,492958,492072,486310,481345,468563,473246,469303,480903,Upgrade
29,Shareholders' Equity,496145,490890,484378,483354,487635,486752,502158,498517,493348,489095,498973,495966,492958,492072,486310,481345,468563,473246,469303,480903,Upgrade
30,Total Liabilities & Equity,1655134,1797332,1590805,1799722,1533814,1447521,1571965,1456656,1463805,1692738,1770957,1840159,1612287,1524236,1642667,1550767,1328708,1331893,1332029,1282261,Upgrade
31,Total Debt,26520,26520,34860,32080,32080,15360,15360,-,-,-,16915,191.69,-,-,-,70595,114042,70431,5385,139367,Upgrade
32,Net Cash (Debt),600231,645407,499153,620660,445886,413043,463968,409995,382637,609845,692752,761294,618296,517869,537047,281029,117109,132914,188063,-65384,Upgrade
33,Net Cash Growth,34.62%,56.26%,7.58%,51.38%,16.53%,-32.27%,-33.03%,-46.15%,-38.11%,17.76%,28.99%,170.90%,427.97%,289.63%,185.57%,-,-,-,-,-,Upgrade
34,Net Cash Per Share,15006.32,16135.78,12478.83,15516.51,11147.14,10326.08,11599.21,10249.88,9565.94,15246.12,17318.79,19032.36,15457.40,12946.73,13426.17,7025.72,2927.73,3322.84,4701.58,-1634.60,Upgrade
35,Filing Date Shares Outstanding,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,Upgrade
36,Total Common Shares Outstanding,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,Upgrade
37,Working Capital,150699,137349,145392,107345,128424,93432,101868,83748,70156,84608,73513,46671,27414,8573,-6777,-24426,-63966,-79425,-98213,-90965,Upgrade
38,Book Value Per Share,12404.07,12272.70,12109.45,12083.84,12190.89,12168.81,12553.95,12462.93,12333.71,12227.38,12474.33,12399.16,12323.95,12301.81,12157.76,12033.63,11714.08,11831.16,11732.59,12022.57,Upgrade
39,Tangible Book Value,495828,488793,482179,481440,485686,484766,500131,496427,491179,486840,496635,493544,490452,489482,483623,478440,465459,470217,466747,477986,Upgrade
40,Tangible Book Value Per Share,12396.16,12220.26,12054.47,12036.00,12142.14,12119.16,12503.28,12410.68,12279.47,12171.01,12415.86,12338.60,12261.29,12237.06,12090.58,11961.00,11636.47,11755.42,11668.67,11949.65,Upgrade
41,Buildings,-,-,-,-,-,-,-,470054,-,-,-,434845,-,-,-,432068,-,464726,-,451559,Upgrade
42,Machinery,731568,-,-,728430,-,-,-,254573,-,-,-,243955,-,-,-,241540,-,244705,-,237220,Upgrade
43,Construction In Progress,2693,2628,2656,2656,2628,133.27,133.27,5.1,-,11811,1892,1827,925.7,685.69,335.69,1039,5719,4339,21174,15932,Upgrade
