,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,1194,866.12,621.46,847.69,1284,880.58,794.84,667.95,1054,781.72,834.9,549.19,644.8,434.87,646.47,325.45,537.76,187,378.15,378.15
1,Other Revenue,-,-37.82,37.82,-,63.16,-18.53,18.53,-,262.69,-39.24,39.24,-,71.21,-14.84,14.84,-,13.22,-2.24,1.12,1.12
2,Revenue,1194,828.3,659.28,847.69,1348,862.05,813.37,667.95,1317,742.48,874.15,549.19,716,420.03,661.31,325.45,550.98,184.76,379.28,379.28
3,Revenue Growth (YoY),-11.38%,-3.91%,-18.94%,26.91%,2.32%,16.10%,-6.95%,21.63%,83.94%,76.77%,32.18%,68.75%,29.95%,127.34%,74.36%,-14.19%,-,-,-,-
4,Cost of Revenue,1503,680.99,578.12,727.23,1430,763.58,722.53,548.56,1146,582.31,758.51,439.84,605.15,310.08,504.81,231.25,403.39,116.1,297.03,297.03
5,Gross Profit,-308.65,147.31,81.17,120.46,-82.19,98.47,90.84,119.39,171.32,160.17,115.64,109.34,110.85,109.95,156.5,94.2,147.59,68.66,82.24,82.24
6,"Selling, General & Admin",-171.42,64.42,52.69,54.31,70.72,64.07,46.81,53.7,68.86,60.94,56.26,52.4,62.18,39.12,52.97,32.09,44.46,25.84,30.22,30.22
7,Research & Development,-164.1,53.45,48.16,62.49,103.66,74.56,72.95,58.5,78.73,57.91,64.79,40.41,54.85,35.77,49.55,26.3,24.05,32.83,39.23,39.23
8,Other Operating Expenses,37.32,-24.35,0.61,-13.58,-1.49,-8.66,-17.16,-10.98,31.29,-14.37,-20.2,-24.12,12.08,-12.72,-6.64,-4.07,24.12,-27.96,-1.42,-1.42
9,Operating Expenses,-309.04,107.08,89.12,112.83,198.47,128.27,112.37,98.31,200.21,98.77,106.89,73.86,137.6,60.79,94.97,55.8,105.86,23.09,70.43,70.43
10,Operating Income,0.38,40.23,-7.96,7.63,-280.65,-29.81,-21.53,21.08,-28.9,61.4,8.75,35.49,-26.75,49.16,61.53,38.4,41.73,45.56,11.81,11.81
11,Interest Expense,-48.83,-2.48,-3.43,-2.16,-2.84,-2.14,-0.17,-1.14,-0.27,-0.33,-,-0.37,-0.27,-0.01,-0.17,-,-0.59,-1.3,-,-
12,Interest & Investment Income,8.08,17.62,16.96,14.25,13.56,11.06,10.87,9.19,5.12,5,6.97,5.81,3.32,0.47,-,0.31,1.96,-,1.26,1.26
13,Currency Exchange Gain (Loss),-,-1.12,1.12,-,4.4,-3.49,3.49,-,4.4,-1.43,1.43,-,-3.74,-0.67,0.67,-,-3.27,3.05,-1.52,-1.52
14,Other Non Operating Income (Expenses),-2.05,6.81,-3.27,1.24,-2.86,3.54,1.25,-1.4,-9.61,2.4,8.01,-2.89,-9.34,6.11,1.4,0.01,4,-3.36,-0.96,-0.96
15,EBT Excluding Unusual Items,-42.42,61.05,3.42,20.95,-268.4,-20.84,-6.09,27.73,-29.26,67.03,25.16,38.03,-36.79,55.06,63.42,38.72,43.83,43.95,10.59,10.59
16,Gain (Loss) on Sale of Investments,-2.17,0.61,1.59,-0.03,-0.47,0.09,0.14,0.18,-2.42,2.45,0.55,-0.68,-0.53,0.47,-0.54,0.08,0.86,-1.4,0.68,0.68
17,Gain (Loss) on Sale of Assets,0.12,-0.69,0.5,0.06,-0.46,0.11,-0.07,0,-0.23,-,0.01,-,-1.35,0,-0.02,-0.1,-3.91,-0.98,-0.11,-0.11
18,Asset Writedown,98.77,-98.77,1.83,-1.83,97.62,-97.62,6.94,-6.94,33.81,-33.81,0.5,-0.5,7.26,-7.26,0.95,-0.95,3.2,-3.23,-1.36,-1.36
19,Other Unusual Items,-3.3,-13.41,13.96,2.75,26.14,-0.53,0.53,-,48.61,-0.01,0.01,-,25.65,-0.12,0.12,-,42.65,-15.93,7.96,7.96
20,Pretax Income,51.01,-51.21,21.29,21.92,-145.58,-118.79,1.46,20.97,50.51,35.66,26.24,36.85,-5.75,48.15,63.93,37.75,86.62,22.41,17.77,17.77
21,Income Tax Expense,10.1,-8.07,23.13,-3.37,-29.46,-10.24,2.85,-0.93,-1.37,1.12,-0.17,0.62,2.91,1.1,6.82,2.61,10.9,-0.4,2.91,2.91
22,Earnings From Continuing Operations,40.9,-43.14,-1.85,25.28,-116.11,-108.54,-1.4,21.9,51.87,34.54,26.41,36.23,-8.66,47.04,57.11,35.14,75.73,22.81,14.86,14.86
23,Minority Interest in Earnings,0.34,-0.38,-0.31,0.36,-0.16,0.14,-,-,-,-,-,-,-,-,-,-,-,-1.57,0.79,0.79
24,Net Income,41.24,-43.52,-2.16,25.64,-116.27,-108.4,-1.4,21.9,51.87,34.54,26.41,36.23,-8.66,47.04,57.11,35.14,75.73,21.24,15.65,15.65
25,Net Income to Common,41.24,-43.52,-2.16,25.64,-116.27,-108.4,-1.4,21.9,51.87,34.54,26.41,36.23,-8.66,47.04,57.11,35.14,75.73,21.24,15.65,15.65
26,Net Income Growth,-,-,-,17.09%,-,-,-,-39.57%,-,-26.58%,-53.76%,3.11%,-,121.52%,264.97%,124.55%,-,-,-,-
27,Shares Outstanding (Basic),165,125,141,135,136,139,136,137,136,138,133,139,114,102,102,103,103,102,98,98
