,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,771.05,940.85,1057,1170,713.49,805.15,954.34,1659,895.59,1975,1736,1617,195.01,350.59,-,161.69,-,217.86,217.86
1,Trading Asset Securities,-,458.34,376.7,175.11,0.14,0.2,50.46,170.38,0.2,232.63,0.18,0.18,0.32,-,10.02,-,58.32,-,324.86,324.86
2,Cash & Short-Term Investments,1229,1229,1318,1233,1170,713.7,855.61,1125,1660,1128,1975,1737,1617,195.01,360.61,220.01,220.01,542.71,542.71,542.71
3,Cash Growth,5.06%,72.26%,53.99%,9.58%,-29.49%,-36.74%,-56.68%,-35.24%,2.62%,478.54%,447.71%,689.36%,635.04%,-64.07%,-33.55%,-59.46%,-,-,-,-
4,Accounts Receivable,-,1651,1446,1780,1722,1408,1238,1345,1274,1199,979.94,1078,993.04,803.01,769.07,-,727.31,-,511.96,511.96
5,Other Receivables,-,28.12,49.82,13.25,15.89,22.29,16.35,20.62,20.71,29.09,17.06,29.97,21.27,31.05,27.1,-,20.85,-,1.71,1.71
6,Receivables,-,1679,1496,1793,1738,1430,1254,1365,1295,1228,997,1108,1014,834.06,796.17,-,748.16,-,513.66,513.66
7,Inventory,-,2957,2889,2702,2904,3393,3512,3560,3434,3471,2980,2676,2460,1930,1487,-,1339,-,1062,1062
8,Other Current Assets,-,261.43,334.55,188.6,197.16,294.6,283.1,221.88,221.48,555.23,343.85,324.18,223.31,126.36,122.13,-,66.25,-,89.55,89.55
9,Total Current Assets,-,6127,6038,5916,6009,5831,5906,6272,6609,6382,6296,5845,5315,3085,2766,-,2374,-,2208,2208
10,"Property, Plant & Equipment",-,758.07,776.58,755.96,781.83,702.72,587.2,540.97,458.15,319.79,230.7,220.43,188.71,162.24,153.47,-,136.76,-,125.35,125.35
11,Long-Term Investments,-,200.35,186.05,197.98,185.01,170.91,184.63,131.28,124.57,125.4,10.89,8.72,9.27,9.68,9.17,-,10.67,-,-,-
12,Goodwill,-,6.31,6.31,6.31,6.31,4.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,-,87.94,90.94,95.07,95.67,80.54,68.72,66.35,65.55,36.2,25.06,24.62,25.55,26.04,26.91,-,25.24,-,22.79,22.79
14,Long-Term Accounts Receivable,-,-,10.95,-,2.32,-,28.94,-,23.75,-,19.66,-,29.08,-,-,-,10.1,-,-,-
15,Long-Term Deferred Tax Assets,-,63.97,56.1,70.71,67.29,45.32,29.92,32.83,33.59,20.29,22.26,11.26,10.92,11.15,9.32,-,8.5,-,9.63,9.63
16,Long-Term Deferred Charges,-,1.28,1.59,1.2,1.24,2.14,0.2,0.19,0.19,2.11,1.06,1.17,0.37,0.45,0.4,-,0.14,-,1.64,1.64
17,Other Long-Term Assets,-,34.25,19.3,24.66,12.51,94.21,85.98,104.02,60.62,80.06,33.05,48.01,9.06,39.42,37.15,-,4.05,-,10.01,10.01
18,Total Assets,-,7279,7185,7068,7161,6932,6891,7148,7376,6966,6638,6159,5588,3334,3002,-,2569,-,2378,2378
19,Accounts Payable,-,2043,1884,1825,2046,1811,1792,2132,2305,2255,1952,1725,1467,817.53,763.37,-,519.95,-,482.73,482.73
20,Accrued Expenses,-,76.72,115.84,57.32,163.18,98.69,99.13,63.38,141.92,77.89,70.22,40.18,81.48,62.51,49.36,-,49.95,-,46.5,46.5
21,Short-Term Debt,-,72.92,207.39,411.03,411.99,316.09,204.72,70.2,89.42,10,15.01,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,-,0.73,1.55,1.71,3.11,6.13,8.55,7.29,9.76,9.03,6.35,4.42,3.85,1.64,1.59,-,-,-,-,-
23,Current Income Taxes Payable,-,21.1,0.01,7.76,0.09,32.18,-,16.28,13.45,16.61,10.13,16.01,4.38,4.43,9.33,-,14.9,-,7.59,7.59
24,Current Unearned Revenue,-,2131,2117,2023,1985,1999,2035,2062,2046,1846,1821,1675,1403,1327,1115,-,992.54,-,896.91,896.91
