,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3700,3680,2853,2644,3126,4301,4828,5632,6340,5950,6166,7810,6910,13563,-,-,-,-,-,-,-
1,Market Cap Growth,-14.44%,-14.44%,-40.90%,-53.05%,-50.69%,-27.71%,-21.69%,-27.89%,-8.25%,-56.13%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2831,2810,1996,1948,2739,3914,4186,4588,5234,4844,4215,6081,6718,13371,-,-,-,-,-,-,-
3,Last Close Price,27.28,27.13,20.82,19.30,22.82,31.40,35.23,41.09,45.37,42.58,44.12,55.75,49.33,96.81,-,-,-,-,-,-,-
4,PE Ratio,181.87,173.57,-,-,-15.60,-,-,-,47.06,39.92,69.65,77.31,52.46,-,-,-,-,-,-,-,-
5,Forward PE,18.94,20.59,17.59,14.04,8.63,12.76,14.00,18.02,19.70,21.13,22.36,25.87,-,-,-,-,-,-,-,-,-
6,PS Ratio,1.09,1.04,0.77,0.71,0.81,1.17,1.32,1.59,1.76,1.71,2.14,3.05,2.94,6.39,-,-,-,-,-,-,-
7,PB Ratio,1.46,1.58,1.23,1.12,1.32,1.85,1.97,2.21,2.45,2.32,2.39,3.08,2.71,5.39,-,-,-,-,-,-,-
8,P/TBV Ratio,1.65,1.65,1.28,1.17,1.38,1.93,2.04,2.27,2.51,2.38,2.42,3.11,2.74,5.45,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,64.69,-5.81,-5.17,-,-,-,-679.97,-,-67.51,-55.17,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,7.22,14.44,-8.20,-8.70,-,-,-,18.39,-,-183.12,-123.00,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,0.80,0.80,0.54,0.52,0.71,1.06,1.14,1.30,1.45,1.39,1.46,2.38,2.86,6.30,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,31.06,28.91,-10.86,-7.54,-9.83,-,-,-,56.71,-,40.34,66.80,47.14,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,70.27,69.76,-8.29,-,-8.45,-,-,-,83.98,-,53.44,91.25,56.26,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,47.64,-5.09,-4.70,-,-,-,-553.57,-,-52.56,-53.64,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.15,0.15,0.15,0.19,0.23,0.19,0.13,0.08,0.03,0.04,0.01,0.01,0.00,0.00,0.00,0.00,-,-,-,-,-
16,Debt / EBITDA Ratio,3.90,6.79,1.68,8.76,6.55,-,-,-,0.69,-,0.08,0.35,0.04,-,0.01,0.01,-,-,-,-,-
17,Debt / FCF Ratio,-,-,-,11.18,-0.99,-0.52,-,-,-,-11.70,-,-0.21,-0.06,-,-,-0.02,-,-,-,-,-
18,Asset Turnover,-,0.46,0.37,0.48,0.76,0.50,0.46,0.37,0.73,0.44,0.55,0.37,0.64,0.53,-,-,-,-,0.64,-,
19,Inventory Turnover,-,-,0.93,0.83,1.04,1.82,0.88,0.82,0.63,1.33,0.72,1.07,0.69,1.10,0.73,-,-,-,-,1.12,-
20,Quick Ratio,-,-,0.65,0.64,0.68,0.62,0.49,0.50,0.56,0.63,0.55,0.75,0.81,0.87,0.46,0.59,-,0.60,-,0.72,0.72
21,Current Ratio,-,-,1.36,1.36,1.33,1.28,1.34,1.39,1.41,1.41,1.49,1.58,1.66,1.76,1.38,1.42,-,1.47,-,1.51,1.51
22,Return on Equity (ROE),7.03%,-7.36%,-0.31%,4.31%,-19.42%,-17.36%,-0.22%,3.40%,8.07%,5.40%,4.15%,5.72%,-1.95%,18.40%,23.98%,15.50%,34.57%,10.79%,7.03%,-,
23,Return on Assets (ROA),-,1.39%,-0.28%,0.27%,-9.96%,-1.08%,-0.77%,0.73%,-1.01%,2.26%,0.34%,1.51%,-1.50%,3.88%,-,-,-,-,1.24%,-,
24,Return on Capital (ROIC),0.04%,3.65%,-0.70%,0.67%,-25.33%,-2.69%,-1.98%,1.98%,-2.74%,5.94%,0.85%,3.49%,-3.75%,11.98%,16.12%,10.59%,11.91%,13.47%,3.49%,-,
25,Return on Capital Employed (ROCE),-,-,-8.67%,-,-12.37%,-,-,-,2.31%,-,2.93%,2.51%,4.53%,-,17.38%,17.79%,-,11.56%,-,2.57%,1.28%
26,Earnings Yield,0.57%,0.58%,-4.78%,-7.61%,-6.41%,-4.75%,-0.75%,1.90%,2.12%,2.51%,1.44%,1.29%,1.91%,0.96%,-,-,-,-,-,-,-
27,FCF Yield,-,12.89%,1.55%,-17.21%,-19.36%,-16.65%,-15.76%,-5.18%,-0.15%,-6.60%,-1.48%,-1.81%,-1.22%,-,-,-,-,-,-,-,
28,Dividend Yield,1.55%,-,1.06%,-,-,-,-,-,-,0.78%,-,-,-,0.31%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,8.41%,-,-,-,0.33%,2.85%,119.00%,-,-,-,-,-,1.31%,32.41%,-,-,-
30,Buyback Yield / Dilution,-3.16%,-21.01%,10.23%,-3.53%,1.40%,3.80%,-0.33%,-2.61%,1.80%,-23.93%,-35.21%,-30.83%,-34.84%,-10.32%,-0.50%,-3.94%,-5.67%,-,-,-,-
31,Total Shareholder Return,-1.61%,-21.01%,11.29%,-3.53%,1.40%,3.80%,-0.33%,-2.61%,1.80%,-23.15%,-35.21%,-30.83%,-34.84%,-10.01%,-0.50%,-3.94%,-5.67%,-,-,-,-
