,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,701,938,946,598,324,299,270,197,145,212,220
1,Market Cap Growth,56.94%,56.94%,192.31%,100.00%,20.00%,51.58%,85.71%,-6.86%,-33.96%,-39.29%,26.19%
2,Enterprise Value,731,871,957,661,238,322,196,136,52,106,134
3,Last Close Price,1.69,2.26,2.28,1.44,0.78,0.72,0.65,0.47,0.35,0.51,0.53
4,PE Ratio,17.74,23.72,52.52,43.79,10.50,9.80,8.30,5.73,4.05,10.80,295.67
5,Forward PE,-,9.63,9.63,9.63,9.63,9.63,9.63,9.63,9.63,9.63,9.63
6,PS Ratio,5.45,7.29,9.51,7.31,3.32,3.17,2.43,1.75,1.51,3.04,3.95
7,PB Ratio,2.17,2.91,3.08,2.10,1.09,1.02,0.93,0.73,0.58,0.98,1.10
8,P/TBV Ratio,2.90,2.90,3.08,2.10,1.09,1.02,0.93,0.73,0.58,0.98,1.10
9,P/FCF Ratio,-,-,7.42,-6.72,-,20.01,-,-8.39,-,-,9.62
10,P/OCF Ratio,-,-,7.33,-6.93,-,17.20,-,-9.03,-,-,9.59
11,EV/Sales Ratio,5.69,6.77,9.62,8.08,2.44,3.42,1.77,1.21,0.54,1.53,2.40
12,EV/EBITDA Ratio,15.49,18.76,40.83,48.02,7.38,11.67,5.99,3.70,1.78,7.70,-
13,EV/EBIT Ratio,16.34,19.45,43.97,53.84,7.67,12.12,6.19,3.80,1.84,8.24,-
14,EV/FCF Ratio,-40.13,-,7.51,-7.44,-,21.59,-,-5.79,-,-,5.85
15,Debt / Equity Ratio,0.31,0.31,0.11,0.39,0.58,0.17,0.22,0.23,0.25,0.01,0.13
16,Debt / FCF Ratio,-,-,0.28,-1.24,-,3.39,-,-2.68,-,-,1.13
17,Return on Capital Employed (ROCE),13.41%,13.41%,6.81%,4.13%,10.03%,8.66%,10.54%,12.66%,10.92%,5.71%,-
18,Earnings Yield,5.64%,4.22%,1.90%,2.28%,9.52%,10.20%,12.05%,17.46%,24.70%,9.26%,0.34%
19,FCF Yield,-2.60%,-1.94%,13.47%,-14.87%,-12.78%,5.00%,-31.14%,-11.92%,-33.89%,3.95%,10.39%
20,Buyback Yield / Dilution,-0.01%,-,-0.03%,-,0.00%,-,-,-,-,-,-
21,Total Shareholder Return,-0.01%,-,-0.03%,-,0.00%,-,-,-,-,-,-
