,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,60,59.71,30.59,45.09,41.27,39.16,51.17,42.46,38.77,24.65
1,Revenue Growth (YoY),96.18%,32.42%,-25.89%,15.14%,-19.34%,-7.77%,32.00%,72.26%,54.30%,-26.79%
2,Cost of Revenue,11.87,10.41,6.07,7.03,6.85,5.48,9.31,9.19,9.04,9.61
3,Gross Profit,48.13,49.3,24.52,38.06,34.42,33.69,41.86,33.28,29.72,15.04
4,"Selling, General & Admin",20.32,25.95,20.2,23.23,14.43,22.95,18.18,19.21,12.79,14.04
5,Research & Development,5.33,4.17,3.74,4.05,3.25,4.77,3.82,4.21,2.87,3.31
6,Operating Expenses,25.65,30.12,23.94,27.28,17.68,27.72,21.99,23.42,15.66,17.35
7,Operating Income,22.48,19.18,0.58,10.78,16.74,5.97,19.87,9.86,14.06,-2.31
8,Interest Expense,-1.22,-0.48,-1.72,-0.68,-0.42,-0.8,-1.66,-0.65,-0.57,-0.7
9,Interest & Investment Income,-,0.82,-,1.97,-,1.01,-,0.89,-,3.09
10,Currency Exchange Gain (Loss),-,-0.07,-,0.69,-,-0.32,-,-1.03,0.3,0.41
11,Other Non Operating Income (Expenses),7.65,3.21,3.07,3.1,4.15,7.38,0.65,0.82,3.75,-1.16
12,EBT Excluding Unusual Items,28.9,22.67,1.94,15.86,20.47,13.25,18.86,9.9,17.54,-0.67
13,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-0
14,Asset Writedown,-,0.18,-,-0.22,-,-0.07,-,-0.05,-,-
15,Other Unusual Items,-,-,-,0.06,-,-,-,2.83,-,0.99
16,Pretax Income,28.9,22.84,1.94,15.69,20.47,13.18,18.86,12.68,17.54,0.32
17,Income Tax Expense,8.08,7.36,1.07,3.94,4.96,2.66,2.9,0.01,-,0.01
18,Earnings From Continuing Operations,20.82,15.48,0.87,11.76,15.51,10.52,15.95,12.67,17.54,0.31
19,Minority Interest in Earnings,0.49,-,-,-,-,-,-,-,-,-
20,Net Income,21.32,15.48,0.87,11.76,15.51,10.52,15.95,12.67,17.54,0.31
21,Net Income to Common,21.32,15.48,0.87,11.76,15.51,10.52,15.95,12.67,17.54,0.31
22,Net Income Growth,2347.19%,31.67%,-94.38%,11.73%,-2.80%,-16.94%,-9.05%,3935.35%,4897.72%,-
23,Shares Outstanding (Basic),415,415,415,415,415,415,415,415,415,415
24,Shares Outstanding (Diluted),415,415,415,415,415,415,415,415,415,415
25,Shares Change (YoY),-,0.03%,-,-0.00%,-,-,-,-,-,-
26,EPS (Basic),0.05,0.04,0.00,0.03,0.04,0.03,0.04,0.03,0.04,0.00
27,EPS (Diluted),0.05,0.04,0.00,0.03,0.04,0.03,0.04,0.03,0.04,0.00
28,EPS Growth,2348.09%,31.63%,-94.39%,11.73%,-2.80%,-16.94%,-9.05%,3938.62%,4902.25%,-
29,Free Cash Flow,-85.19,68.23,47.46,-129.71,93.12,-80.37,11.93,-31.46,-10,17.61
30,Free Cash Flow Per Share,-0.21,0.16,0.11,-0.31,0.22,-0.19,0.03,-0.08,-0.02,0.04
31,Operating Margin,37.46%,32.12%,1.90%,23.90%,40.56%,15.24%,38.83%,23.23%,36.27%,-9.36%
32,Profit Margin,35.52%,25.93%,2.85%,26.08%,37.57%,26.87%,31.18%,29.84%,45.25%,1.27%
33,Free Cash Flow Margin,-141.98%,114.26%,155.17%,-287.64%,225.62%,-205.21%,23.31%,-74.08%,-25.79%,71.43%
34,EBITDA,23.22,19.95,1.33,11.4,17.17,6.41,20.3,10.26,14.47,-1.89
35,D&A For EBITDA,0.75,0.77,0.75,0.63,0.43,0.44,0.43,0.39,0.41,0.42
36,EBIT,22.48,19.18,0.58,10.78,16.74,5.97,19.87,9.86,14.06,-2.31
