,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Market Capitalization,5656,5288,4153,4484,-,-,-,-,-
1,Enterprise Value,4818,4320,3153,4541,-,-,-,-,-
2,Last Close Price,35.90,32.72,25.70,27.12,-,-,-,-,-
3,PE Ratio,26.07,26.09,20.48,22.05,-,-,-,-,-
4,PS Ratio,2.79,2.79,2.28,2.44,-,-,-,-,-
5,PB Ratio,3.42,3.20,2.44,2.54,-,-,-,-,-
6,P/TBV Ratio,3.28,3.28,2.49,2.60,-,-,-,-,-
7,P/FCF Ratio,77.85,-480.09,-281.76,-75.35,-,-,-,-,-
8,P/OCF Ratio,23.36,23.36,17.15,21.65,-,-,-,-,-
9,EV/Sales Ratio,2.54,2.28,1.73,2.47,-,-,-,-,-
10,EV/EBITDA Ratio,18.74,16.81,12.37,17.38,-,-,-,-,-
11,EV/EBIT Ratio,21.13,18.31,13.33,18.48,-,-,-,-,-
12,EV/FCF Ratio,66.33,-392.23,-213.92,-76.31,-,-,-,-,-
13,Debt / Equity Ratio,0.03,0.03,0.00,0.00,0.25,-,-,0.22,0.22
14,Debt / EBITDA Ratio,0.20,0.17,0.01,0.03,0.54,-,-,0.39,0.50
15,Debt / FCF Ratio,0.72,-4.77,-0.06,-0.11,-,-,-,-,-
16,Asset Turnover,0.94,0.75,0.82,-,-,-,-,-,
17,Inventory Turnover,-,11.56,9.34,7.72,-,-,-,-,-
18,Quick Ratio,2.31,2.31,2.84,3.05,1.33,-,-,-,1.09
19,Current Ratio,2.52,2.52,3.08,3.33,1.56,-,-,-,1.26
20,Return on Equity (ROE),13.40%,9.69%,16.48%,-,-,-,40.33%,-,
21,Return on Assets (ROA),7.21%,4.03%,7.54%,-,-,-,-,-,
22,Return on Capital (ROIC),10.33%,5.50%,11.21%,-,-,-,27.88%,-,
23,Return on Capital Employed (ROCE),13.77%,14.25%,13.85%,13.91%,34.04%,-,-,-,9.12%
24,Earnings Yield,3.58%,3.83%,4.88%,4.54%,-,-,-,-,-
25,FCF Yield,1.28%,-0.21%,-0.35%,-1.33%,-,-,-,-,-
26,Payout Ratio,52.68%,-,249.81%,2.22%,6.02%,1.66%,2.11%,1.95%,5.20%
27,Buyback Yield / Dilution,-19.73%,-27.14%,-31.77%,-25.44%,0.37%,-,-,-,-
28,Total Shareholder Return,-17.93%,-27.14%,-31.77%,-25.44%,0.37%,-,-,-,-
