,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Cash & Equivalents,381.99,771.63,906.76,78.55,-,-,-,39.43
1,Trading Asset Securities,507.77,197,100,-,-,-,-,-
2,Cash & Short-Term Investments,889.76,968.63,1007,78.55,-,-,39.43,39.43
3,Cash Growth,-,-,2453.52%,99.23%,-,-,-,-
4,Accounts Receivable,1103,894.43,875.87,879.88,-,-,-,1053
5,Other Receivables,0.94,5.34,0.64,7.47,-,-,-,13.58
6,Receivables,1104,899.78,876.51,887.35,-,-,-,1067
7,Inventory,167.35,158.12,167.03,159.2,-,-,-,173.22
8,Other Current Assets,9.56,4.85,7.64,1.53,-,-,-,1
9,Total Current Assets,2171,2031,2058,1127,-,-,-,1280
10,"Property, Plant & Equipment",287.1,274.32,265.42,262.45,-,-,-,169.85
11,Other Intangible Assets,38.08,38.49,38.44,38.93,-,-,-,13.24
12,Long-Term Deferred Tax Assets,14.86,11.93,11.47,11.86,-,-,-,10.19
13,Long-Term Deferred Charges,6.34,7.33,8.33,9.49,-,-,-,5.43
14,Other Long-Term Assets,0.79,3.56,2.14,2.61,-,-,-,1.89
15,Total Assets,2518,2367,2384,1452,-,-,-,1481
16,Accounts Payable,747.19,616.28,569.8,596.67,-,-,-,910.83
17,Accrued Expenses,18.68,19.51,12.4,20.04,-,-,-,18.45
18,Short-Term Debt,52.01,-,6.01,15.91,-,-,-,37.3
19,Current Portion of Long-Term Debt,0.5,-,0.78,60.13,-,-,-,30.06
20,Current Portion of Leases,-,0.82,-,1.44,-,-,-,1.5
21,Current Income Taxes Payable,18.17,10.78,14.73,15.69,-,-,-,7.17
22,Current Unearned Revenue,10.34,9.65,12.96,13.34,-,-,-,6.93
23,Other Current Liabilities,14.71,1.65,0.93,1.08,-,-,-,0.95
24,Total Current Liabilities,861.6,658.69,617.61,724.31,-,-,-,1013
25,Long-Term Debt,-,-,-,85.21,-,-,-,26.78
26,Long-Term Leases,0.05,0.13,-,-,-,-,-,0.73
27,Long-Term Unearned Revenue,-,0.09,0.11,0.13,-,-,-,0.21
28,Other Long-Term Liabilities,3.97,3.97,-,-,-,-,-,-
29,Total Liabilities,865.62,662.89,617.72,809.66,-,-,-,1041
30,Common Stock,161.6,161.6,161.6,121.2,-,-,-,121.2
31,Additional Paid-In Capital,1165,1163,1162,128.47,-,-,-,124.13
32,Retained Earnings,435.48,379.26,442.24,392.63,-,-,-,194.51
33,Treasury Stock,-110,-,-,-,-,-,-,-
34,Shareholders' Equity,1652,1704,1766,642.3,-,-,439.84,439.84
35,Total Liabilities & Equity,2518,2367,2384,1452,-,-,-,1481
36,Total Debt,52.56,0.95,6.79,162.7,-,-,96.38,96.38
37,Net Cash (Debt),837.21,967.68,999.97,-84.16,-,-,-56.96,-56.96
38,Net Cash Per Share,5.36,6.03,6.65,-0.69,-,-,-0.48,-0.47
39,Filing Date Shares Outstanding,157.54,161.6,161.6,121.2,121.2,121.72,119.86,121.66
40,Total Common Shares Outstanding,157.54,161.6,161.6,121.2,121.2,121.72,119.86,121.66
41,Working Capital,1309,1373,1440,402.31,-,-,-,266.98
42,Book Value Per Share,10.49,10.55,10.93,5.30,-,-,3.62,3.62
43,Tangible Book Value,1614,1666,1728,603.37,-,-,426.6,426.6
44,Tangible Book Value Per Share,10.25,10.31,10.69,4.98,-,-,3.51,3.51
45,Buildings,-,177.33,-,176.65,-,-,-,92.94
46,Machinery,-,122.33,-,106.27,-,-,-,86.27
47,Construction In Progress,-,23.2,-,15.93,-,-,-,9.74
