,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Operating Revenue,586.01,436.46,392.43,465.69,507.65,457.23,390.05,510.84
1,Other Revenue,-10.23,10.23,-,14.73,-7.28,7.28,-,11.64
2,Revenue,575.78,446.69,392.43,480.41,500.36,464.52,390.05,522.49
3,Revenue Growth (YoY),15.07%,-3.84%,0.61%,-8.05%,-,-,-,-
4,Cost of Revenue,470.16,379.72,314.99,1503,403.29,389.47,315.32,1314
5,Gross Profit,105.62,66.97,77.43,-1023,97.08,75.05,74.73,-791.15
6,"Selling, General & Admin",10.39,9.95,9.66,37.42,9.22,9.86,9.14,32.1
7,Research & Development,14.44,16.33,12.28,51.45,14.2,12.42,9.84,47.65
8,Other Operating Expenses,1.34,1.16,-0.05,-1179,1.63,1.58,1.15,-930.4
9,Operating Expenses,35.16,28.7,19.61,-1092,26.01,27.6,14.93,-833.8
10,Operating Income,70.46,38.28,57.82,69.37,71.07,47.45,59.8,42.65
11,Interest Expense,-0.21,-0.01,-0.97,-3.56,-0.94,-0.91,-0.9,-2.13
12,Interest & Investment Income,1.77,4.57,4.74,0.62,0.15,0.02,0.02,0.11
13,Currency Exchange Gain (Loss),-0.72,0.72,-,0.57,-1.31,1.31,-,3.49
14,Other Non Operating Income (Expenses),-2.15,-0.27,0.35,-0.29,1.07,0.3,-0.42,-0.61
15,EBT Excluding Unusual Items,69.16,43.29,61.94,66.72,70.04,48.17,58.49,43.51
16,Gain (Loss) on Sale of Investments,0.06,-0.12,-0.39,-3.53,-0.65,-0.95,-1.27,-2.67
17,Gain (Loss) on Sale of Assets,0.41,-0.41,0.02,-0.7,0.02,-0.02,0.11,-0.03
18,Asset Writedown,-6.71,3.43,-3.43,-,-3.52,2.2,-2.2,-
19,Legal Settlements,3.97,-3.97,-,-,-,-,-,-
20,Other Unusual Items,-4.12,4.12,-,1.3,-,-,-,1.19
21,Pretax Income,62.77,46.33,58.14,63.79,65.88,49.41,55.13,41.99
22,Income Tax Expense,6.55,4.28,8.53,9.04,9.48,6.78,10.78,3.55
23,Net Income,56.22,42.05,49.62,54.75,56.4,42.62,44.35,38.44
24,Net Income to Common,56.22,42.05,49.62,54.75,56.4,42.62,44.35,38.44
25,Net Income Growth,-0.32%,-1.34%,11.88%,42.42%,-,-,-,-
26,Shares Outstanding (Basic),156,160,150,121,123,122,120,122
27,Shares Outstanding (Diluted),156,160,150,121,123,122,120,122
28,Shares Change (YoY),27.14%,31.77%,25.44%,-0.37%,-,-,-,-
29,EPS (Basic),0.36,0.26,0.33,0.45,0.46,0.35,0.37,0.32
30,EPS (Diluted),0.36,0.26,0.33,0.45,0.46,0.35,0.37,0.32
31,EPS Growth,-21.60%,-25.12%,-10.81%,42.96%,-,-,-,-
32,Free Cash Flow,19.1,72.79,30.33,-133.22,15.37,28.01,-38.47,-92.73
33,Free Cash Flow Per Share,0.12,0.45,0.20,-1.10,0.13,0.23,-0.32,-0.76
34,Dividend Per Share,-,-,-,0.650,-,-,-,-
35,Gross Margin,18.34%,14.99%,19.73%,-212.94%,19.40%,16.16%,19.16%,-151.42%
36,Operating Margin,12.24%,8.57%,14.73%,14.44%,14.20%,10.21%,15.33%,8.16%
37,Profit Margin,9.76%,9.41%,12.64%,11.40%,11.27%,9.18%,11.37%,7.36%
38,Free Cash Flow Margin,3.32%,16.29%,7.73%,-27.73%,3.07%,6.03%,-9.86%,-17.75%
39,EBITDA,75.15,45.26,62.51,74.06,72.98,51.78,61.72,44.57
40,EBITDA Margin,13.05%,10.13%,15.93%,15.42%,14.59%,11.15%,15.82%,8.53%
41,D&A For EBITDA,4.69,6.98,4.69,4.69,1.92,4.33,1.92,1.92
42,EBIT,70.46,38.28,57.82,69.37,71.07,47.45,59.8,42.65
43,EBIT Margin,12.24%,8.57%,14.73%,14.44%,14.20%,10.21%,15.33%,8.16%
44,Effective Tax Rate,10.43%,9.24%,14.67%,14.17%,14.39%,13.73%,19.56%,8.46%
45,Revenue as Reported,575.78,446.69,392.43,1835,500.36,464.52,390.05,1593
