,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1367,1901,2234,860,1225,2261,3473,4599,7074,10790,6457
1,Market Cap Growth,120.98%,120.98%,82.33%,-61.96%,-64.72%,-50.83%,-50.90%,-57.38%,9.56%,50.40%,-22.46%
2,Enterprise Value,3553,4484,5112,3635,4191,5700,6826,6819,9963,13549,9888
3,Last Close Price,0.20,0.28,0.34,0.32,0.46,0.84,1.29,1.74,2.62,4.09,2.44
4,PE Ratio,-,-,-,-,-,-24.67,-,10.20,13.70,26.70,22.77
5,Forward PE,-,4.15,4.15,4.15,4.15,4.15,5.65,6.69,8.71,15.55,19.27
6,PS Ratio,0.89,1.44,1.49,0.33,0.36,0.46,0.68,1.38,2.09,2.96,2.31
7,PB Ratio,0.80,1.11,1.19,0.31,0.39,0.64,0.98,1.27,2.03,3.65,2.26
8,P/TBV Ratio,1.12,1.12,1.19,0.31,0.40,0.65,1.05,1.35,2.17,3.93,2.44
9,P/FCF Ratio,10.28,14.30,17.36,3.44,8.79,-,-,-,4.65,12.39,18.79
10,P/OCF Ratio,9.54,9.54,9.84,2.07,3.96,-138.89,-,-,3.87,7.32,6.38
11,PEG Ratio,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30
12,EV/Sales Ratio,2.70,3.41,3.41,1.40,1.25,1.17,1.34,2.04,2.94,3.72,3.54
13,EV/EBITDA Ratio,-,-3.43,-,-,9.63,8.88,10.63,10.94,14.03,18.28,15.60
14,EV/EBIT Ratio,-,-,-,-,-,16.39,20.64,22.49,25.08,34.00,27.21
15,EV/FCF Ratio,26.72,33.73,39.72,14.52,30.05,-,-,-,6.55,15.56,28.77
16,Debt / Equity Ratio,1.43,1.43,1.50,1.06,0.96,0.94,1.12,1.09,0.94,1.28,1.41
17,Debt / FCF Ratio,18.34,18.34,21.93,11.94,21.69,-,-,-,2.14,4.33,11.73
18,Return on Capital Employed (ROCE),-,-,-,-,-,7.06%,5.66%,4.77%,6.69%,7.21%,6.67%
19,Earnings Yield,-194.91%,-140.20%,-127.74%,-81.98%,-25.86%,-4.05%,1.32%,9.81%,7.30%,3.75%,4.39%
20,FCF Yield,9.72%,6.99%,5.76%,29.11%,11.38%,-7.62%,-33.33%,0.45%,21.51%,8.07%,5.32%
21,Dividend Yield,0.00%,-,-,-,-,-,-,2.41%,1.89%,0.91%,1.13%
22,Buyback Yield / Dilution,-113.41%,-148.12%,-78.70%,0.16%,-0.33%,-2.34%,-2.21%,-3.11%,-2.78%,-0.02%,-0.03%
23,Total Shareholder Return,-113.41%,-148.12%,-78.70%,0.16%,-0.33%,-2.34%,-2.21%,-0.70%,-0.88%,0.88%,1.10%
