,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Premiums & Annuity Revenue,10433389,9882069,9448665,10431999,9550168,9694082,9667372,10245813,10064080,10160154,9437527,9339478,8864650,9133212,8557143,9225394,8500767,7987963,7729552,9058522,Upgrade
1,Total Interest & Dividend Income,3091550,3097171,3196668,-656237,3484016,3602569,3100545,-820023,2458736,2377409,2171989,-707245,2001197,2151291,2043059,-876038,2916739,2823503,1456412,3937907,Upgrade
2,Gain (Loss) on Sale of Investments,-16894,-25125,52439,3915092,16271,-11371,12998,3443476,5958,29199,175217,2999574,6494,175157,144336,3114503,-628193,-34072,605688,-1875535,Upgrade
3,Non-Insurance Activities Revenue,125026,167628,164956,167765,168143,152887,113549,121121,151610,159186,175184,219858,178224,210367,141849,141067,109284,98629,84308,69180,Upgrade
4,Other Revenue,173680,168415,169964,231206,162785,163751,179118,167150,149713,173967,289843,309670,208628,214823,202534,469067,235491,226777,149033,265961,Upgrade
5,Total Revenue,13806751,13290157,13032693,14089824,13381382,13601917,13073583,13157538,12830098,12899914,12249760,12161335,11259193,11884850,11088922,12073993,11134087,11102800,10024992,11456035,Upgrade
6,Revenue Growth (YoY),3.18%,-2.29%,-0.31%,7.09%,4.30%,5.44%,6.73%,8.19%,13.95%,8.54%,10.47%,0.72%,1.12%,7.04%,10.61%,5.39%,5.71%,9.25%,8.63%,14.69%,Upgrade
7,Policy Benefits,9619926,9407277,9021859,10482303,9563742,9672060,8819984,9732334,9069909,9118102,8134566,8634327,7510377,7883344,7389532,8322365,7552536,7474113,6334455,8002841,Upgrade
8,Policy Acquisition & Underwriting Costs,609907,616467,662197,612278,578074,613037,714025,713790,692797,686972,718209,702363,686967,776522,762963,798847,782303,774985,738715,817943,Upgrade
