,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,33,39,35,72,82,93,115,132,175,68,49,Upgrade
1,Market Cap Growth,-45.95%,-45.95%,-57.14%,-22.92%,-28.81%,-29.41%,-34.44%,94.29%,260.00%,-30.00%,-65.28%,Upgrade
2,Enterprise Value,27,30,25,57,65,74,158,130,166,51,29,Upgrade
3,Last Close Price,0.02,0.02,0.02,0.04,0.04,0.05,0.06,0.07,0.09,0.04,0.03,Upgrade
4,PS Ratio,0.67,0.79,0.71,1.47,1.81,0.89,1.00,2.73,4.71,1.38,0.72,Upgrade
5,PB Ratio,10.75,12.64,5.58,8.20,6.51,3.27,3.34,3.66,3.61,1.35,0.87,Upgrade
6,P/TBV Ratio,12.64,12.64,5.58,8.20,6.51,3.27,3.34,3.66,3.61,1.35,0.87,Upgrade
7,P/FCF Ratio,-,-,-,-,-,-,3.50,-,-,-,-6.28,Upgrade
8,P/OCF Ratio,-,-,-,-,-,-,2.79,-,-,-,-8.49,Upgrade
9,EV/Sales Ratio,0.55,0.61,0.50,1.17,1.43,0.70,1.38,2.68,4.47,1.03,0.43,Upgrade
10,EV/EBITDA Ratio,-,-,-,-,-,-,-26.27,-,-,-,-,Upgrade
11,EV/FCF Ratio,-4.71,-,-,-,-,-,4.83,-,-,-,-3.70,Upgrade
12,Debt / Equity Ratio,12.00,12.00,5.50,1.07,0.86,0.43,0.39,1.56,0.43,0.71,0.73,Upgrade
13,Debt / FCF Ratio,-,-,-,-,-,-,0.40,-,-,-,-5.28,Upgrade
14,Earnings Yield,-18.12%,-15.40%,-17.79%,-27.40%,-26.46%,-7.87%,-12.26%,-10.10%,-5.00%,-31.28%,-47.76%,Upgrade
15,FCF Yield,-17.44%,-14.83%,-21.39%,-10.31%,-6.24%,67.24%,28.59%,-51.42%,-27.26%,-16.38%,-15.92%,Upgrade
