,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,1338114,1539648,1424824,1424824,1711672,1683931,1518981,1684454,2084257,2654516,1663653,2234934,2610172,2337508,1675211,1972515,1885150,2906085,1590852,1855827,Upgrade
1,Revenue Growth (YoY),-21.82%,-8.57%,-6.20%,-15.41%,-17.88%,-36.56%,-8.70%,-24.63%,-20.15%,13.56%,-0.69%,13.30%,38.46%,-19.57%,5.30%,6.29%,32.24%,106.93%,20.00%,23.79%,Upgrade
2,Cost of Revenue,1234266,1459327,1356471,1356471,1641535,1616689,1450653,1605838,1977071,2546550,1552888,2142703,2472406,2192700,1562592,1897988,1786214,2812360,1517396,1781748,Upgrade
3,Gross Profit,103849,80321,68352,68352,70137,67242,68328,78616,107186,107966,110765,92231,137766,144808,112618,74528,98936,93725,73456,74079,Upgrade
4,"Selling, General & Admin",87158,60289,49251,49251,54418,49776,54944,50900,66662,61218,53389,50714,71512,90730,86447,44744,86499,58108,55324,38827,Upgrade
5,Operating Expenses,87158,60289,49251,49251,54418,49776,54944,50900,66662,61218,53389,50714,71512,90730,86447,44744,86499,58108,55324,38827,Upgrade
6,Operating Income,16691,20032,19102,19102,15719,17466,13384,27716,40524,46747,57376,41517,66254,54078,26171,29783,12437,35617,18133,35252,Upgrade
7,Interest Expense,-13648,-11317,-11807,-11807,-14227,-,-38769,-36593,-26563,-14643,-9653,-5918,-13018,-6321,-7224,-6847,-14222,-14922,-14171,-13808,Upgrade
8,Interest & Investment Income,22637,27004,16137,16137,28807,27693,33524,26750,25494,9172,10292,11398,-,11429,9924,8763,-,4611,8436,4156,Upgrade
9,Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,-,17988,-,-,-,8853,-,-,-,Upgrade
10,Other Non Operating Income (Expenses),-3647,-0.77,-170.58,-170.58,-367.16,-28320,370.41,359.72,-22740,-788.61,-25411,-672.19,809.56,-260.3,2000,342.49,7321,69.42,1842,-4989,Upgrade
11,EBT Excluding Unusual Items,22034,35718,23261,23261,29932,16839,8509,18234,16715,40488,32604,46326,72033,58926,30870,32042,14389,25376,14239,20611,Upgrade
12,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,46.32,-,-,-,1799,-,-,-,Upgrade
13,Pretax Income,22034,35718,23261,23261,29932,16839,8509,18234,16715,40488,32604,46326,72080,58926,30870,32042,16187,25376,14239,20611,Upgrade
14,Income Tax Expense,4496,7850,4950,4950,6904,3928,2583,3925,3314,8289,4270,9305,21314,21173,6246,6423,16576,5644,3342,4523,Upgrade
15,Earnings From Continuing Operations,17538,27868,18312,18312,23028,12911,5926,14309,13401,32199,28334,37021,50766,37753,24625,25619,-389.05,19732,10898,16088,Upgrade
16,Minority Interest in Earnings,0.5,27.17,5.64,5.64,-217.99,-195.18,-43.82,-355.33,-121.4,-16.17,-89.13,-136.65,4911,362.36,-535.86,-199.6,4010,2457,2255,1330,Upgrade
17,Net Income,17538,27896,18317,18317,22810,12716,5883,13954,13280,32183,28244,36884,55677,38115,24089,25420,3621,22188,13153,17419,Upgrade
18,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,2927,-,-,-,1143,-,-,-,Upgrade
19,Net Income to Common,17538,27896,18317,18317,22810,12716,5883,13954,13280,32183,28244,36884,52750,38115,24089,25420,2478,22188,13153,17419,Upgrade
20,Net Income Growth,-23.11%,119.37%,211.38%,31.27%,71.77%,-60.49%,-79.17%,-62.17%,-76.15%,-15.56%,17.25%,45.10%,1437.66%,71.78%,83.14%,45.93%,-31.00%,35.96%,-,-,Upgrade
21,Shares Outstanding (Basic),58,52,52,52,51,50,50,50,51,50,50,50,49,49,49,49,50,50,50,50,Upgrade
22,Shares Outstanding (Diluted),58,52,52,52,51,50,50,50,51,50,50,50,49,49,49,49,50,50,50,50,Upgrade
23,Shares Change (YoY),13.56%,3.41%,3.59%,3.98%,-0.18%,0.58%,0.38%,-0.06%,2.93%,0.86%,0.83%,0.92%,-0.69%,-0.61%,-0.57%,-0.67%,-0.15%,20.02%,-,-,Upgrade
24,EPS (Basic),304.00,538.00,353.50,353.50,449.00,253.60,117.60,280.00,260.92,645.54,566.77,739.69,1066.79,771.08,487.38,514.46,49.76,446.15,264.62,350.15,Upgrade
25,EPS (Diluted),304.00,538.00,353.50,353.50,449.00,253.60,117.60,280.00,260.92,645.54,566.77,739.69,1066.79,771.08,487.38,514.46,49.76,446.15,264.62,350.15,Upgrade
26,EPS Growth,-32.29%,112.15%,200.60%,26.25%,72.08%,-60.71%,-79.25%,-62.15%,-75.54%,-16.28%,16.29%,43.78%,2043.77%,72.83%,84.19%,46.92%,-52.71%,13.28%,-,-,Upgrade
27,Free Cash Flow,134733,139466,43803,43803,-157581,26400,257013,257013,-770830,396684,-487644,-531359,115393,29408,-,271577,358823,557694,24887,-524466,Upgrade
28,Free Cash Flow Per Share,2335.38,2689.77,845.35,845.35,-3101.85,526.50,5137.99,5157.38,-15145.32,7956.87,-9785.37,-10656.16,2333.66,594.92,-,5496.36,7206.56,11213.86,500.67,-10542.96,Upgrade
29,Dividend Per Share,1000.000,-,-,-,-,-,-,-,640.000,-,-,-,923.077,-,-,-,615.385,-,-,-,Upgrade
30,Dividend Growth,-,-,-,-,-,-,-,-,-30.67%,-,-,-,50.00%,-,-,-,-,-,-,-,Upgrade
31,Gross Margin,7.76%,5.22%,4.80%,4.80%,4.10%,3.99%,4.50%,4.67%,5.14%,4.07%,6.66%,4.13%,5.28%,6.19%,6.72%,3.78%,5.25%,3.23%,4.62%,3.99%,Upgrade
32,Operating Margin,1.25%,1.30%,1.34%,1.34%,0.92%,1.04%,0.88%,1.65%,1.94%,1.76%,3.45%,1.86%,2.54%,2.31%,1.56%,1.51%,0.66%,1.23%,1.14%,1.90%,Upgrade
33,Profit Margin,1.31%,1.81%,1.29%,1.29%,1.33%,0.76%,0.39%,0.83%,0.64%,1.21%,1.70%,1.65%,2.02%,1.63%,1.44%,1.29%,0.13%,0.76%,0.83%,0.94%,Upgrade
34,Free Cash Flow Margin,10.07%,9.06%,3.07%,3.07%,-9.21%,1.57%,16.92%,15.26%,-36.98%,14.94%,-29.31%,-23.78%,4.42%,1.26%,-,13.77%,19.03%,19.19%,1.56%,-28.26%,Upgrade
35,EBITDA,19730,22543,21656,21656,17408,19129,15020,29352,41660,47865,58379,42187,66777,54756,26852,30466,13112,36303,18898,36065,Upgrade
36,EBITDA Margin,1.47%,1.46%,1.52%,1.52%,1.02%,1.14%,0.99%,1.74%,2.00%,1.80%,3.51%,1.89%,2.56%,2.34%,1.60%,1.54%,0.70%,1.25%,1.19%,1.94%,Upgrade
37,D&A For EBITDA,3039,2510,2554,2554,1689,1662,1636,1636,1136,1117,1003,669.56,523.52,677.54,681.4,682.87,674.67,685.15,765.48,813.34,Upgrade
38,EBIT,16691,20032,19102,19102,15719,17466,13384,27716,40524,46747,57376,41517,66254,54078,26171,29783,12437,35617,18133,35252,Upgrade
39,EBIT Margin,1.25%,1.30%,1.34%,1.34%,0.92%,1.04%,0.88%,1.65%,1.94%,1.76%,3.45%,1.86%,2.54%,2.31%,1.56%,1.51%,0.66%,1.23%,1.14%,1.90%,Upgrade
40,Effective Tax Rate,20.40%,21.98%,21.28%,21.28%,23.06%,23.33%,30.35%,21.52%,19.83%,20.47%,13.10%,20.09%,29.57%,35.93%,20.23%,20.04%,102.40%,22.24%,23.47%,21.94%,Upgrade
41,Revenue as Reported,1338114,1539648,1424824,1424824,1711672,1683931,1518981,1684454,2084257,2654516,1663653,2234934,2610172,2337508,1675211,1972515,1885150,2906085,1590852,1855827,Upgrade
