,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,668580,684128,673763,668580,720408,694494,667545,686063,538480,682075,690359,671949,1304011,1000641,924605,507924,501841,462777,315385,290889,287827,Upgrade
1,Market Cap Growth,-1.49%,-1.49%,0.93%,-2.55%,33.79%,1.82%,-3.30%,2.10%,-58.71%,-31.84%,-25.33%,32.29%,159.85%,116.23%,193.17%,74.61%,74.36%,20.91%,-17.60%,-25.78%,-15.82%,Upgrade
2,Enterprise Value,830830,984624,1128582,1202927,1254755,1089847,1078752,897048,1962472,1301022,1726313,1203807,1271219,1081179,1050559,1052061,1045979,1006915,1538500,1473361,924774,Upgrade
3,Last Close Price,12900.00,12289.66,12103.45,12010.34,12941.38,11831.95,11372.80,12149.82,9536.20,11489.95,11629.51,11319.39,21966.85,16387.31,15142.07,8318.18,8218.56,7062.62,4817.55,4443.37,4396.60,Upgrade
4,PE Ratio,8.33,8.34,7.71,9.27,12.06,12.54,14.56,10.51,6.14,6.17,4.60,4.31,8.59,7.13,10.26,6.85,7.94,8.38,5.44,5.58,7.48,Upgrade
5,PS Ratio,0.12,0.12,0.11,0.11,0.11,0.11,0.10,0.09,0.07,0.08,0.08,0.08,0.15,0.12,0.12,0.06,0.06,0.06,0.04,0.05,0.05,Upgrade
6,PB Ratio,1.16,1.19,1.10,1.15,1.32,1.27,-,1.27,1.05,1.33,1.30,1.35,2.78,2.33,2.11,1.27,1.43,1.32,0.82,0.79,0.81,Upgrade
7,P/TBV Ratio,1.32,1.32,1.22,1.28,1.50,1.44,-,1.45,1.22,1.54,1.49,1.57,3.21,2.73,2.19,1.33,1.51,1.39,0.87,0.85,0.88,Upgrade
8,P/FCF Ratio,1.89,1.89,9.70,-15.34,4.25,-,-2.90,4.90,-0.89,-,-1.36,-,-,2.40,1.40,-,0.41,1.11,-2.70,-0.77,-,Upgrade
9,P/OCF Ratio,1.89,1.89,9.44,-15.12,4.23,-,-2.91,4.75,-0.91,-,-1.39,-,-,2.40,1.40,-,0.41,1.11,-2.72,-0.78,-,Upgrade
10,EV/Sales Ratio,0.15,0.17,0.18,0.19,0.20,0.17,0.15,0.11,0.24,0.15,0.19,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.20,0.23,0.15,Upgrade
11,EV/EBITDA Ratio,9.71,11.50,13.55,15.07,17.14,13.47,10.26,6.70,11.07,6.84,8.02,5.42,6.67,6.05,8.39,9.86,10.59,9.65,14.22,14.72,8.62,Upgrade
12,EV/EBIT Ratio,11.09,13.14,15.26,16.85,19.11,14.67,10.89,6.99,11.39,6.99,8.15,5.49,6.76,6.13,8.58,10.12,10.90,9.93,14.66,15.24,8.91,Upgrade
13,EV/FCF Ratio,2.72,2.72,16.24,-27.61,7.40,-,-4.68,6.41,-3.24,-,-3.41,-,-,2.60,1.59,-,0.86,2.42,-13.15,-3.92,-,Upgrade
14,Debt / Equity Ratio,2.67,2.67,2.27,2.34,2.79,2.79,-,2.84,4.12,4.12,2.17,2.87,1.88,2.34,1.69,1.71,3.87,3.87,3.55,3.85,3.71,Upgrade
15,Debt / EBITDA Ratio,17.97,19.49,15.39,15.79,17.63,21.93,-,25.54,17.94,12.64,6.02,6.10,5.23,3.76,3.39,6.39,11.14,25.88,9.44,18.65,9.14,Upgrade
