,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,7219,7570,6689,4669,6733,8121,9025,10819,11214,11851,9687,7046,-,-,-,-,-
1,Market Cap Growth,-6.79%,-6.79%,-25.88%,-56.85%,-39.96%,-31.47%,-6.83%,53.56%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5496,5847,5051,2967,4797,6134,7330,9016,9326,9975,7791,6756,-,-,-,-,-
3,Last Close Price,37.19,39.00,34.80,25.22,35.75,43.12,49.34,59.23,60.89,64.35,52.60,38.26,-,-,-,-,-
4,PE Ratio,79.13,85.14,66.88,67.13,73.90,75.23,81.74,98.37,100.70,128.13,128.17,156.50,-,-,-,-,-
5,Forward PE,42.50,48.63,40.35,29.20,43.82,42.22,42.51,51.74,61.02,69.04,68.83,-,-,-,-,-,-
6,PS Ratio,9.07,9.76,9.13,7.00,10.12,12.11,13.10,15.91,16.73,18.79,17.02,13.21,-,-,-,-,-
7,PB Ratio,2.31,2.42,2.14,1.65,2.30,2.81,3.17,4.26,4.32,4.62,3.86,2.85,-,-,-,-,-
8,P/TBV Ratio,2.75,2.75,2.43,1.77,2.47,2.85,3.20,4.31,4.37,4.67,3.90,2.87,-,-,-,-,-
9,P/FCF Ratio,-,-,-54.05,-34.97,-,-,-,-,-,-73.76,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,147.77,226.84,-,-,-,139.20,112.11,114.37,144.36,107.98,-,-,-,-,-
11,EV/Sales Ratio,7.08,7.54,6.89,4.45,7.21,9.15,10.64,13.26,13.91,15.82,13.69,12.67,-,-,-,-,-
12,EV/EBITDA Ratio,42.61,43.30,65.04,53.19,75.12,74.27,98.59,143.04,138.91,179.64,126.50,165.26,-,-,-,-,-
13,EV/EBIT Ratio,56.11,59.69,124.47,-,-,111.66,151.05,239.77,211.30,303.02,197.90,321.17,-,-,-,-,-
14,EV/FCF Ratio,-,-,-40.81,-22.23,-,-,-,-,-,-62.08,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.14,0.14,0.14,0.14,0.10,0.03,0.07,0.07,0.05,0.00,0.00,0.01,0.03,0.03,-,0.03,0.03
16,Debt / EBITDA Ratio,3.29,1.31,2.24,13.54,23.02,0.98,1.87,3.60,1.53,0.06,0.03,0.30,0.47,0.24,-,-,-
17,Debt / FCF Ratio,-,-,-3.43,-3.05,-,-,-,-,-,-0.02,-,-,-,0.91,-,2.55,-
18,Asset Turnover,-,0.25,0.18,0.18,0.24,0.21,0.21,0.22,0.31,0.23,0.32,0.50,-,-,-,-,
19,Inventory Turnover,-,-,1.42,1.23,1.31,1.88,1.17,1.48,1.64,2.46,1.69,2.03,1.69,-,-,-,-
20,Quick Ratio,-,-,3.86,3.94,5.18,6.57,6.20,5.76,6.21,9.85,12.75,11.26,2.50,3.16,-,3.08,-
21,Current Ratio,-,-,4.34,4.42,5.80,7.33,6.84,6.41,6.88,10.82,14.08,12.27,3.73,4.16,-,3.89,-
22,Return on Equity (ROE),3.68%,6.05%,0.77%,1.31%,5.56%,3.27%,3.57%,3.59%,6.68%,3.46%,5.98%,2.25%,-,-,-4.76%,-,
23,Return on Assets (ROA),-,2.72%,-0.75%,-0.34%,1.21%,1.59%,0.30%,1.39%,0.85%,0.81%,1.38%,1.28%,-,-,-,-,
24,Return on Capital (ROIC),5.14%,2.93%,-0.80%,-0.37%,1.31%,1.71%,0.32%,1.51%,0.92%,0.88%,1.53%,1.52%,-,-,-2.74%,-,
25,Return on Capital Employed (ROCE),-,-,1.26%,-,-,1.87%,1.68%,1.46%,1.69%,1.27%,1.54%,0.84%,0.41%,-2.30%,-,-,-
26,Earnings Yield,1.23%,1.17%,1.50%,1.49%,1.35%,1.33%,1.22%,1.02%,0.99%,0.78%,0.78%,0.64%,-,-,-,-,-
27,FCF Yield,-,-1.85%,-2.86%,-2.89%,-2.18%,-1.21%,-1.27%,-1.81%,-1.36%,-1.61%,-1.71%,-,-,-,-,-,
28,Dividend Yield,1.30%,-,-,-,-,1.16%,-,-,-,0.74%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,3.66%,7088.05%,20.50%,4.20%,395.79%,-,2.35%,1.20%,-,-,-,-,-,-,-
30,Buyback Yield / Dilution,-5.14%,-5.80%,0.89%,2.34%,-18.08%,-3.95%,0.83%,-1.26%,-40.64%,-2.95%,-38.88%,-28.47%,8.71%,-,-,-,-
31,Total Shareholder Return,-3.84%,-5.80%,0.89%,2.34%,-18.08%,-2.79%,0.83%,-1.26%,-40.64%,-2.22%,-38.88%,-28.47%,8.71%,-,-,-,-
