,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,240.93,233.9,150,150.98,188.77,165.65,150.59,156.52,205.15,157.49,140.18,116.66,145.2,122.35,114.51,92.38
1,Other Revenue,-,-6.15,6.15,-,9.01,-3.89,3.89,-,11.1,-4.64,4.64,-,9.5,-5.25,5.25,-
2,Revenue,240.93,227.75,156.16,150.98,197.78,161.76,154.47,156.52,216.25,152.85,144.82,116.66,154.7,117.1,119.76,92.38
3,Revenue Growth (YoY),21.82%,40.80%,1.09%,-3.54%,-8.54%,5.83%,6.67%,34.17%,39.79%,30.53%,20.92%,26.28%,-,-,-,-
4,Cost of Revenue,-222.3,85.65,68.41,68.24,98.2,61.82,72.15,71.64,105.15,70.57,74.98,53.82,76.85,59.22,59.52,46.39
5,Gross Profit,463.23,142.1,87.74,82.75,99.59,99.94,82.32,84.88,111.1,82.28,69.83,62.84,77.85,57.88,60.24,45.99
6,"Selling, General & Admin",-150.1,47.92,55.62,46.55,39.74,43.71,46.06,39.83,53.19,42.99,38.78,34.53,37.34,38.8,42.95,36.93
7,Research & Development,-148.71,60.77,44.88,43.06,37.78,40.05,34.61,30.41,37.28,32.75,29.6,26,22.47,29.62,24.54,25.59
8,Other Operating Expenses,686.24,-2.43,-3.25,-2.69,3.5,-3.22,-1.69,-1.85,11.17,-2.25,-8.56,-2.53,2.33,-0.95,0.73,-0.07
9,Operating Expenses,390.1,102.38,98.07,87.32,83.84,80.25,78.83,68.89,101.75,73.51,59.8,58.07,62.05,67.45,68,62.35
10,Operating Income,73.13,39.73,-10.33,-4.57,15.75,19.69,3.5,15.99,9.35,8.77,10.03,4.77,15.8,-9.57,-7.76,-16.36
11,Interest Expense,-5.51,-3.12,-3.56,-1.34,-2.03,-1.05,-0.83,-0.64,-0.47,-0.02,-0.04,-0.05,-0.05,-0.1,-0.18,-0.11
12,Interest & Investment Income,8.02,0.61,2.26,2.63,1.47,2.28,7.53,7.51,20.81,5.8,5.84,0.82,7.15,0.32,2.17,0.2
13,Currency Exchange Gain (Loss),-,-4.38,4.38,-,1.16,4.94,-4.94,-,10.28,-2.08,2.08,-,-9.69,3.97,-3.97,-
14,Other Non Operating Income (Expenses),-14.13,6.34,-6.16,-3.13,-0.86,-9.88,10,-0.8,-6.84,6.42,1.07,-1.8,5.63,-5.24,1.7,-3.29
15,EBT Excluding Unusual Items,61.51,39.18,-13.4,-6.42,15.49,15.98,15.25,22.06,33.13,18.88,18.99,3.75,18.84,-10.62,-8.04,-19.56
16,Gain (Loss) on Sale of Investments,-37.17,13.16,12.02,11.99,16.26,14.18,6.42,4.06,-6.39,7.91,8.44,1.19,-3.51,2.37,0.52,1.54
17,Gain (Loss) on Sale of Assets,0.16,-0.1,-0.07,-,-0.03,0.03,-0.03,-,-0.02,0.08,-0.08,-,-0,-0.08,-,-
18,Asset Writedown,7.06,-7.06,-0.61,0.61,7.55,-7.55,1.66,-1.66,3.57,-3.57,0.59,-0.59,2.32,-2.32,0.05,-0.05
19,Other Unusual Items,-,0.35,-0.3,-0.05,4.11,-,-,-,13.1,-,-,-,11.82,-,-,-
20,Pretax Income,31.56,45.53,-2.36,6.14,43.44,22.64,23.31,24.46,43.44,23.3,27.94,4.34,29.8,-10.66,-7.46,-18.07
21,Income Tax Expense,2.78,0.45,-7.89,-3.39,3.55,0.62,0.41,1.31,1.09,1.72,3.67,0.06,4.36,-1.69,0.73,-5.89
22,Earnings From Continuing Operations,28.78,45.07,5.54,9.52,39.89,22.02,22.9,23.15,42.35,21.59,24.27,4.28,25.44,-8.97,-8.19,-12.18
23,Minority Interest in Earnings,-,7.42,-4.2,-3.22,-,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,28.78,52.49,1.34,6.31,39.89,22.02,22.9,23.15,42.35,21.59,24.27,4.28,25.44,-8.97,-8.19,-12.18
25,Net Income to Common,28.78,52.49,1.34,6.31,39.89,22.02,22.9,23.15,42.35,21.59,24.27,4.28,25.44,-8.97,-8.19,-12.18
26,Net Income Growth,-27.86%,138.42%,-94.16%,-72.75%,-5.81%,1.99%,-5.66%,440.92%,66.49%,-,-,-,-,-,-,-
27,Shares Outstanding (Basic),193,181,172,210,182,183,176,178,175,185,174,127,170,133,135,139
28,Shares Outstanding (Diluted),193,181,172,210,182,183,176,178,175,185,174,127,170,133,135,139
29,Shares Change (YoY),5.80%,-0.89%,-2.34%,18.08%,3.95%,-0.83%,1.26%,40.64%,2.95%,38.88%,28.47%,-8.71%,-,-,-,-
30,EPS (Basic),0.15,0.29,0.01,0.03,0.22,0.12,0.13,0.13,0.24,0.12,0.14,0.03,0.15,-0.07,-0.06,-0.09
31,EPS (Diluted),0.15,0.29,0.01,0.03,0.22,0.12,0.13,0.13,0.24,0.12,0.14,0.03,0.15,-0.07,-0.06,-0.09
32,EPS Growth,-31.82%,140.56%,-94.02%,-76.92%,-9.39%,2.84%,-6.84%,284.62%,61.72%,-,-,-,-,-,-,-
33,Free Cash Flow,-,4.11,40.93,-109.7,-59.1,-5.64,-20.34,-92.36,9.3,-33.63,-86.72,-49.62,14.13,1.58,8.78,-0.85
34,Free Cash Flow Per Share,-,0.02,0.24,-0.52,-0.32,-0.03,-0.12,-0.52,0.05,-0.18,-0.50,-0.39,0.08,0.01,0.06,-0.01
35,Dividend Per Share,-,-,-,-,0.501,-,-,-,0.473,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,5.97%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,192.26%,62.39%,56.19%,54.81%,50.35%,61.78%,53.29%,54.23%,51.38%,53.83%,48.22%,53.87%,50.32%,49.43%,50.30%,49.78%
38,Operating Margin,30.35%,17.44%,-6.61%,-3.03%,7.96%,12.17%,2.26%,10.22%,4.32%,5.73%,6.93%,4.09%,10.21%,-8.17%,-6.48%,-17.71%
39,Profit Margin,11.94%,23.05%,0.86%,4.18%,20.17%,13.61%,14.82%,14.79%,19.58%,14.12%,16.76%,3.67%,16.44%,-7.66%,-6.84%,-13.18%
40,Free Cash Flow Margin,-,1.80%,26.21%,-72.66%,-29.88%,-3.48%,-13.17%,-59.01%,4.30%,-22.00%,-59.88%,-42.54%,9.13%,1.35%,7.33%,-0.92%
41,EBITDA,80.89,47.49,3.47,3.19,23.51,25.61,11.55,21.91,15.27,14.3,15.66,10.3,21.33,-6.41,-2.28,-13.21
42,EBITDA Margin,33.57%,20.85%,2.23%,2.11%,11.89%,15.83%,7.48%,14.00%,7.06%,9.35%,10.81%,8.83%,13.79%,-5.48%,-1.91%,-14.30%
43,D&A For EBITDA,7.76,7.76,13.8,7.76,7.76,5.92,8.06,5.92,5.92,5.53,5.63,5.53,5.53,3.16,5.48,3.16
44,EBIT,73.13,39.73,-10.33,-4.57,15.75,19.69,3.5,15.99,9.35,8.77,10.03,4.77,15.8,-9.57,-7.76,-16.36
45,EBIT Margin,30.35%,17.44%,-6.61%,-3.03%,7.96%,12.17%,2.26%,10.22%,4.32%,5.73%,6.93%,4.09%,10.21%,-8.17%,-6.48%,-17.71%
46,Effective Tax Rate,8.82%,1.00%,-,-,8.16%,2.76%,1.74%,5.35%,2.51%,7.37%,13.12%,1.42%,14.63%,-,-,-
47,Revenue as Reported,-,227.75,156.16,150.98,197.78,161.76,154.47,156.52,216.25,152.85,144.82,116.66,-,117.1,119.76,92.38
