,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,404.59,322.77,260.86,271,690.12,384.18,192.71,301.57,234.47,275.38,152.81,137.69,-,206.94,-
1,Trading Asset Securities,-,1743,1764,1771,1764,1489,1487,1744,1590,1643,1640,156.35,221.7,-,130.84,-
2,Cash & Short-Term Investments,2148,2148,2087,2032,2035,2179,1872,1937,1891,1877,1915,309.16,359.39,-,337.78,314.82
3,Cash Growth,5.51%,-1.46%,11.49%,4.93%,7.62%,16.08%,-2.27%,526.38%,426.25%,-,466.98%,-1.80%,-,-,-,-
4,Accounts Receivable,-,152.83,124.64,152.93,140.84,123.91,98.76,91.5,95.57,71.34,66.07,56.59,62.32,-,49.83,-
5,Other Receivables,-,11.72,11.03,2.33,0.63,2.86,16.61,2.96,1.43,1.99,27.19,3.4,15.45,-,16.75,-
6,Receivables,-,164.55,135.67,155.26,141.47,126.78,115.37,94.46,96.99,73.33,93.26,59.99,77.76,-,66.58,-
7,Inventory,-,251.64,232.5,211.18,204.69,213.36,208.65,180.11,169.45,172.76,160.44,134.78,119.33,-,90.68,-
8,Other Current Assets,-,38.21,39.34,53.03,45.85,26.77,13.6,38.67,25.67,31.66,19.86,46.41,19.14,-,15.35,-
9,Total Current Assets,-,2602,2494,2451,2427,2546,2209,2250,2183,2155,2189,550.33,575.63,-,510.39,-
10,"Property, Plant & Equipment",-,754.34,750.04,722.83,721.03,455.47,473.59,449.34,422.28,374.79,292.76,269.29,258.21,-,255.85,-
11,Long-Term Investments,-,-,-,9.97,10.1,9.8,9.93,10.04,10.1,-,-,-,-,-,-,-
12,Goodwill,-,322.24,103.95,103.95,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,-,53.8,51.33,51.08,35.5,28.47,27.93,25.81,25.78,24.23,23.12,22.67,22.46,-,21.02,-
14,Long-Term Deferred Tax Assets,-,23.03,21.88,13.88,12.2,14.89,16.36,14.57,14.11,10.21,10.99,12.14,10.37,-,13.56,-
15,Long-Term Deferred Charges,-,3.57,3.73,3.82,1.02,0.76,0.82,0.88,0.94,2.31,2.2,2.63,0.14,-,0.18,-
16,Other Long-Term Assets,-,59.39,59.19,54.8,58.38,204.51,189.65,192.86,132.37,139.44,177.43,84.29,49.99,-,44.16,-
17,Total Assets,-,3818,3484,3412,3266,3260,2928,2943,2789,2706,2695,941.36,916.79,-,845.14,-
18,Accounts Payable,-,87.22,71.18,49.92,58.03,68.15,82.01,70.22,78.1,66.55,83.14,69.58,53.94,-,53.29,-
19,Accrued Expenses,-,45.18,47.51,30.68,40.82,37.36,41.55,28.93,44.22,26.57,31.1,13.39,35.22,-,19.84,-
20,Short-Term Debt,-,365.42,349.29,257.15,68.73,170.3,151.09,131.09,1,-,17.52,17.71,18.05,-,18.31,-
21,Current Portion of Leases,-,6.21,6.19,7.37,5.05,1.17,0.98,1.2,0.95,-,0.6,-,0.84,-,-,-
22,Current Income Taxes Payable,-,15.64,-,9.47,3.2,14.13,3.18,18.07,11.35,12.8,7.59,10.54,5.02,-,5.4,-
23,Current Unearned Revenue,-,37.75,47.06,37.08,31.94,30.8,31.29,27.21,29.22,28.07,22.02,20.63,19.66,-,21.08,-
24,Other Current Liabilities,-,41.68,43.38,30.65,123.5,50.12,34.69,50.5,36.97,19.07,16.38,15.67,5.7,-,13.44,-
25,Total Current Liabilities,-,599.08,564.61,422.33,331.28,372.02,344.8,327.23,201.81,153.05,178.34,147.53,138.42,-,131.36,-
26,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,0.79,-,0.8,-
27,Long-Term Leases,-,53.33,51.81,29.08,26.2,20.3,24.41,1.4,1.66,1.63,1.67,1.74,1.94,-,1.11,-
28,Long-Term Unearned Revenue,-,28.17,29.37,30.38,11.54,12.18,14.03,14.77,15.39,36.47,35.77,16.45,16.65,-,6.36,-
29,Long-Term Deferred Tax Liabilities,-,2.17,2.3,-,-,-,-,-,-,-,0.09,-,-,-,0.24,-
30,Other Long-Term Liabilities,-,7.3,7.35,7.39,7.44,6.98,6.81,6.22,6.44,5.78,4.99,4.92,5.28,-,4.9,-
31,Total Liabilities,-,690.06,655.43,489.19,376.45,411.49,390.05,349.63,225.29,196.93,220.86,170.64,163.08,-,144.77,-
32,Common Stock,-,194.39,185.12,185.12,185.12,185.12,179.82,121.31,121.31,121.31,121.31,90.98,90.98,-,90.98,-
