,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Oct '24 Oct 31, 2024","Apr '24 Apr 30, 2024","Oct '23 Oct 31, 2023","Apr '23 Apr 30, 2023","Oct '22 Oct 31, 2022","Apr '22 Apr 30, 2022","Oct '21 Oct 31, 2021","Apr '21 Apr 30, 2021","Oct '20 Oct 31, 2020","Apr '20 Apr 30, 2020"
0,Market Capitalization,326,291,278,80,131,166,138,198,175,144,198
1,Market Cap Growth,264.00%,264.00%,111.71%,-51.92%,-4.65%,-16.13%,-21.25%,37.78%,-11.94%,-24.50%,-11.43%
2,Enterprise Value,304,258,269,41,86,114,93,150,103,108,130
3,Last Close Price,10.20,9.10,8.68,2.50,4.10,5.20,4.30,6.20,5.46,4.50,6.20
4,PE Ratio,-,-,-,-,-,-,280.24,-,-,42.13,12.52
5,PS Ratio,3.21,2.87,2.26,0.45,0.88,1.06,0.81,1.39,1.44,0.88,0.77
6,PB Ratio,4.06,3.62,3.11,0.83,1.23,1.39,1.09,1.58,1.39,1.15,1.59
7,P/TBV Ratio,3.67,3.67,3.18,0.85,1.27,1.44,1.14,1.66,1.47,1.22,1.62
8,P/FCF Ratio,23.69,-,-105.81,-,-,-,16.79,-,10.47,63.24,-
9,P/OCF Ratio,20.83,-,187.80,-,-,-,14.37,-,9.41,22.61,-
10,EV/Sales Ratio,3.00,2.54,2.19,0.23,0.58,0.73,0.55,1.05,0.85,0.66,0.51
11,EV/EBITDA Ratio,-,-,-,-,-,-,27.70,-738.93,-,17.64,5.19
12,EV/EBIT Ratio,-,-,-,-,-,-,80.73,-,-,-,5.49
13,EV/FCF Ratio,22.09,-,-102.44,-,-,-,11.40,-,6.15,47.38,-
14,Debt / Equity Ratio,0.07,0.07,0.07,0.08,0.06,0.10,0.05,0.06,0.07,0.07,0.02
15,Debt / FCF Ratio,0.42,-,-2.44,-,-,-,0.84,-,0.50,3.66,-
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,0.90%,-,-,-,18.72%
17,Earnings Yield,-4.89%,-5.49%,-6.17%,-27.98%,-12.52%,-1.88%,0.36%,-0.54%,-0.05%,2.37%,7.98%
18,FCF Yield,4.22%,4.73%,-0.95%,-42.92%,-10.11%,3.83%,5.95%,1.61%,9.55%,1.58%,-3.15%
