,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,5841,9230,10267,10029,-,-,-,-
1,Market Cap Growth,-7.97%,-7.97%,-,-,-,-,-,-
2,Enterprise Value,4591,7568,8661,22153,-,-,-,-
3,Last Close Price,2.67,4.17,4.59,4.45,-,-,-,-
4,PE Ratio,14.82,22.32,49.42,-5.75,-,-,-,-
5,Forward PE,15.54,14.03,17.10,11.17,-,-,-,-
6,PS Ratio,1.86,2.89,3.08,3.05,-,-,-,-
7,PB Ratio,4.24,6.76,7.35,7.33,-,-,-,-
8,P/TBV Ratio,6.77,6.77,7.35,7.33,-,-,-,-
9,P/FCF Ratio,13.77,21.76,17.53,44.49,-,-,-,-
10,P/OCF Ratio,19.20,19.20,15.85,39.68,-,-,-,-
11,PEG Ratio,0.57,0.96,-,-,-,-,-,-
12,EV/Sales Ratio,1.44,2.37,2.60,6.74,-,-,-,-
13,EV/EBITDA Ratio,9.54,17.98,33.58,100.73,-,-,-,-
14,EV/EBIT Ratio,11.85,19.54,40.42,132.06,-,-,-,-
15,EV/FCF Ratio,10.83,17.85,14.79,98.27,-,-,-,-
16,Debt / Equity Ratio,0.09,0.09,0.09,0.11,-1.09,-1.11,-1.12,-
17,Debt / FCF Ratio,0.30,0.30,0.22,0.66,-,-15.77,-,-
18,Return on Capital Employed (ROCE),26.93%,26.93%,14.50%,11.48%,15.77%,-47.67%,-,-
19,Earnings Yield,7.08%,4.48%,2.02%,-17.41%,-,-,-,-
20,FCF Yield,7.26%,4.59%,5.70%,2.25%,-,-,-,-
21,Buyback Yield / Dilution,-63.54%,-3.28%,-218.41%,-192.72%,-,-,-,-
22,Total Shareholder Return,-63.54%,-3.28%,-218.41%,-192.72%,-,-,-,-
