,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,1630,1339,1682,1359,1451,1543,1885
1,Revenue Growth (YoY),-3.08%,-1.50%,15.94%,-11.91%,-23.04%,-,-
2,Cost of Revenue,747.27,624.84,826.65,683,761.72,1025,1563
3,Gross Profit,883.2,714.14,855.68,676.39,689.31,518.32,322.54
4,"Selling, General & Admin",517.79,521.28,624.1,542.39,518.06,858.44,965.57
5,Research & Development,108.22,108.26,143.09,111.24,85.35,175.29,111.67
6,Other Operating Expenses,-11.72,-7.04,-14.36,-29.63,-5.07,-19.57,-9.21
7,Operating Expenses,614.3,622.5,752.83,624,598.34,1014,1068
8,Operating Income,268.91,91.64,102.85,52.39,90.97,-495.84,-745.48
9,Interest Expense,-2.56,-2.81,-3.27,-4.28,-7.74,-8.79,-11.22
10,Interest & Investment Income,20.13,32.78,15.18,6.69,2.51,0.91,1.32
11,Currency Exchange Gain (Loss),-2.15,5.8,-33.27,-78.28,-46.99,12.34,-
12,Other Non Operating Income (Expenses),-,-,-4.85,-1648,-383.8,-563.26,-19.7
13,EBT Excluding Unusual Items,284.32,127.4,76.63,-1671,-345.05,-1055,-775.08
14,Merger & Restructuring Charges,-,-,-,-,-,-31.3,-
15,Gain (Loss) on Sale of Investments,5.29,4.35,1.77,3.8,5.06,3.82,15.69
16,Gain (Loss) on Sale of Assets,0,-0.62,-0.47,-1.45,-6.78,-3.67,0.01
17,Asset Writedown,-1.83,1.01,-1.01,0.09,-0.09,-,-
18,Other Unusual Items,-0.49,-2.89,-1.22,-15.24,-14.39,-1.87,-210.9
19,Pretax Income,287.29,129.25,75.7,-1684,-361.25,-1088,-970.28
20,Income Tax Expense,9.55,22.16,-5.78,12.66,30.52,12.81,-24.77
21,Net Income,277.74,107.09,81.48,-1697,-391.77,-1100,-945.51
22,Net Income to Common,277.74,107.09,81.48,-1697,-391.77,-1100,-945.51
23,Net Income Growth,240.88%,-,-,-,-,-,-
24,Shares Outstanding (Basic),2167,2271,2037,729,729,729,729
25,Shares Outstanding (Diluted),2203,2320,2133,729,729,729,729
26,Shares Change (YoY),3.28%,218.41%,192.72%,-,-,-,-
27,EPS (Basic),0.13,0.05,0.04,-2.33,-0.54,-1.51,-1.30
28,EPS (Diluted),0.13,0.04,0.04,-2.33,-0.54,-1.51,-1.30
29,EPS Growth,220.40%,-,-,-,-,-,-
30,Free Cash Flow,228.61,166.09,365.49,-156.87,36.87,-664.33,-469.8
31,Free Cash Flow Per Share,0.10,0.07,0.17,-0.22,0.05,-0.91,-0.64
32,Operating Margin,16.49%,6.84%,6.11%,3.85%,6.27%,-32.13%,-39.54%
33,Profit Margin,17.03%,8.00%,4.84%,-124.83%,-27.00%,-71.31%,-50.15%
34,Free Cash Flow Margin,14.02%,12.40%,21.73%,-11.54%,2.54%,-43.05%,-24.92%
35,EBITDA,281.8,110,124.12,79.42,122.47,-457.72,-705.6
36,D&A For EBITDA,12.89,18.36,21.28,27.02,31.5,38.12,39.88
37,EBIT,268.91,91.64,102.85,52.39,90.97,-495.84,-745.48
38,Advertising Expenses,68.99,-,45.51,-,31.93,-,87.48
