,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,689.44,671.53,1335,1047,1254,1160,-
1,Short-Term Investments,284.68,759.62,266,41.07,-,-,-
2,Trading Asset Securities,307.82,195.25,21.83,20.03,-,10.14,-
3,Cash & Short-Term Investments,1282,1626,1623,1109,1254,1170,-
4,Cash Growth,-21.02%,46.72%,29.49%,-5.26%,-,-,-
5,Accounts Receivable,106.67,73.17,75.83,27.78,78.37,29.18,-
6,Other Receivables,36.71,23.27,27.17,20.9,34.83,45.35,-
7,Receivables,198.59,96.44,103,48.68,113.2,74.52,-
8,Inventory,59.9,60.99,81.4,94.17,88.73,87.2,-
9,Prepaid Expenses,0.55,0.56,0.44,0.57,2.25,3.96,-
10,Restricted Cash,-,5.67,-,-,-,-,-
11,Other Current Assets,30.54,40.01,36.94,38.09,38.8,44.83,-
12,Total Current Assets,1572,1830,1845,1290,1497,1381,-
13,"Property, Plant & Equipment",197.03,240.24,240.12,291.9,433.92,660.79,-
14,Long-Term Investments,200.07,-,-,-,-,-,-
15,Other Intangible Assets,0.34,0.37,0.39,0.87,0.83,0.88,-
16,Long-Term Deferred Tax Assets,40.96,39.92,52.63,37.4,41.49,64.81,-
17,Other Long-Term Assets,11.01,11.93,13.5,13.25,20.54,35.23,-
18,Total Assets,2021,2123,2152,1633,1993,2142,-
19,Accounts Payable,28.15,30.28,31.73,22.01,18.43,28.43,-
20,Accrued Expenses,168.76,294.15,265.86,194.58,120.32,261,-
21,Current Portion of Leases,50.44,46.58,52.5,62.63,106.78,167.78,-
22,Current Income Taxes Payable,25.76,24.7,27.78,25.56,26.78,22.16,-
23,Current Unearned Revenue,212.18,149.49,188.21,117.87,157.62,169.19,-
24,Other Current Liabilities,196.75,236.3,233.39,301.96,714.07,704.22,-
25,Total Current Liabilities,682.03,781.5,799.46,724.6,1144,1353,-
26,Long-Term Debt,-,-,-,11669,9614,8756,-
27,Long-Term Leases,68.18,71.68,84.56,101.65,172.3,267.9,-
28,Long-Term Unearned Revenue,0.9,1.54,1.26,1.41,1,-,-
29,Long-Term Deferred Tax Liabilities,0.01,0.05,-,0.02,-,-,-
30,Total Liabilities,751.11,854.76,885.27,12496,10932,10377,-
31,Common Stock,0.15,0.15,0.15,0.05,0.05,0.05,-
32,Additional Paid-In Capital,15218,15104,14945,2648,2648,2648,-
33,Retained Earnings,-4030,-4308,-4415,-4496,-2800,-2409,-
34,Treasury Stock,-533.38,-177.78,-501.88,-,-,-,-
35,Comprehensive Income & Other,-9385,-9351,-8763,-9015,-8786,-8474,-
36,Shareholders' Equity,1270,1268,1266,-10863,-8938,-8235,-
37,Total Liabilities & Equity,2021,2123,2152,1633,1993,2142,-
38,Total Debt,118.61,118.26,137.05,11833,9894,9192,-
39,Net Cash (Debt),1163,1508,1486,-10725,-8640,-8022,-
40,Net Cash Growth,-21.72%,-,-,-,-,-,-
41,Net Cash Per Share,0.53,0.65,0.70,-14.72,-11.86,-11.01,-
42,Filing Date Shares Outstanding,2167,2237,2210,728.62,728.62,728.62,728.62
43,Total Common Shares Outstanding,2167,2237,2210,728.62,728.62,728.62,728.62
44,Working Capital,889.49,1049,1045,565.42,352.52,27.72,-
45,Book Value Per Share,0.59,0.57,0.57,-14.91,-12.27,-11.30,-
46,Tangible Book Value,1269,1267,1266,-10864,-8939,-8236,-
47,Tangible Book Value Per Share,0.59,0.57,0.57,-14.91,-12.27,-11.30,-
48,Machinery,164.7,161.71,157.74,167.05,161.24,207.23,-
49,Construction In Progress,-,30.89,-,-,10.43,-,-
50,Leasehold Improvements,46.91,50.39,62.34,71.67,96.12,133.39,-
