,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,428.22,303.78,229.33,220.95,247.11,201.85,186.86,217.73,223.32,246.58,246.58
1,Other Revenue,-9.21,9.21,-,31.97,-20.82,20.82,-,11.19,-5.67,2.84,2.84
2,Revenue,419.01,312.99,229.33,252.92,226.29,222.67,186.86,228.91,217.65,249.42,249.42
3,Revenue Growth (YoY),85.17%,40.56%,22.73%,10.49%,3.97%,-10.72%,-25.08%,-,-,-,-
4,Cost of Revenue,348.38,257.82,182.36,206.68,178.68,187.83,153.27,189.9,173.63,214.87,214.87
5,Gross Profit,70.63,55.18,46.97,46.25,47.61,34.84,33.59,39.02,44.02,34.55,34.55
6,"Selling, General & Admin",16.36,13.71,13.22,11.22,13.01,10.25,8.87,9.28,11.24,9.85,9.85
7,Research & Development,15.32,16.07,12.04,14.34,11.17,10.49,8.39,9.89,8.7,10,10
8,Other Operating Expenses,0.01,0.41,1.06,0.77,0.46,-0.25,0.49,4.49,-0.17,-0.05,-0.05
9,Operating Expenses,37.92,34.43,26.28,27.27,24.2,23.15,17.05,22.62,18.46,20.24,20.24
10,Operating Income,32.71,20.74,20.69,18.98,23.41,11.69,16.54,16.4,25.56,14.31,14.31
11,Interest Expense,-0,-0.01,-0.02,-0.19,-0.7,-0.24,-0.56,-1.04,-1.16,-1.98,-1.98
12,Interest & Investment Income,3.16,3.28,3.31,3.48,1.74,0.68,0.87,0.04,0.2,0.09,0.09
13,Currency Exchange Gain (Loss),-0.06,0.06,-,1.24,-10.36,10.36,-,20.11,-10.5,5.25,5.25
14,Other Non Operating Income (Expenses),-2.45,-1.16,-1.29,-5.61,3.94,3.39,-5.26,-25.73,24.01,-0.81,-0.81
15,EBT Excluding Unusual Items,33.36,22.92,22.7,17.89,18.03,25.88,11.59,9.78,38.11,16.86,16.86
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,0.09,-0.22,0.38,-2.84,-1.97,-1.97
17,Gain (Loss) on Sale of Assets,0.13,0.27,-0.29,0.19,0.03,0.09,0,0.14,0.03,0.06,0.06
18,Asset Writedown,-4.76,1.65,-1.67,2.18,-2.37,0.92,-0.93,5.66,-5.68,-0,-0
19,Other Unusual Items,-0.98,-0.23,1.29,0.21,-,-,-,3.56,-,-,-
20,Pretax Income,27.75,24.61,22.03,20.47,15.68,26.98,10.45,19.53,29.62,14.94,14.94
21,Income Tax Expense,2.75,1.48,2.31,2.62,0.89,2.8,0.67,0.76,3.23,0.84,0.84
22,Earnings From Continuing Operations,25,23.13,19.72,17.85,14.79,24.18,9.78,18.77,26.39,14.1,14.1
23,Minority Interest in Earnings,0.01,-0.05,0.12,-0.02,0.16,0.08,0.11,0.03,0.09,0.03,0.03
24,Net Income,25.01,23.08,19.84,17.84,14.95,24.26,9.88,18.81,26.48,14.13,14.13
25,Net Income to Common,25.01,23.08,19.84,17.84,14.95,24.26,9.88,18.81,26.48,14.13,14.13
26,Net Income Growth,67.24%,-4.86%,100.76%,-5.16%,-43.53%,71.66%,-30.06%,-,-,-,-
27,Shares Outstanding (Basic),81,80,79,85,74,58,62,59,60,60,60
28,Shares Outstanding (Diluted),81,80,79,85,74,58,62,59,60,60,60
29,Shares Change (YoY),9.16%,37.19%,28.48%,44.92%,22.36%,-3.29%,2.97%,-,-,-,-
30,EPS (Basic),0.31,0.29,0.25,0.21,0.20,0.42,0.16,0.32,0.44,0.24,0.24
31,EPS (Diluted),0.31,0.29,0.25,0.21,0.20,0.42,0.16,0.32,0.44,0.24,0.24
32,EPS Growth,53.21%,-30.65%,56.25%,-34.55%,-53.85%,77.49%,-32.07%,-,-,-,-
33,Free Cash Flow,-24.25,-33.75,-14.71,28.53,55.82,18.38,13.21,59.53,61.23,1.44,1.44
34,Free Cash Flow Per Share,-0.30,-0.42,-0.19,0.34,0.75,0.32,0.21,1.01,1.01,0.02,0.02
35,Dividend Per Share,-,-,-,0.560,-,-,-,-,-,-,-
36,Gross Margin,16.86%,17.63%,20.48%,18.28%,21.04%,15.65%,17.98%,17.04%,20.23%,13.85%,13.85%
37,Operating Margin,7.81%,6.63%,9.02%,7.50%,10.35%,5.25%,8.85%,7.16%,11.74%,5.74%,5.74%
38,Profit Margin,5.97%,7.37%,8.65%,7.05%,6.61%,10.89%,5.29%,8.22%,12.16%,5.67%,5.67%
39,Free Cash Flow Margin,-5.79%,-10.78%,-6.41%,11.28%,24.67%,8.25%,7.07%,26.00%,28.13%,0.58%,0.58%
40,EBITDA,37.96,26.09,-,24.22,28.73,17.39,21.55,21.71,30.79,19.54,19.54
41,EBITDA Margin,9.06%,8.34%,-,9.57%,12.70%,7.81%,11.53%,9.49%,14.15%,7.83%,7.83%
42,D&A For EBITDA,5.24,5.35,-,5.24,5.32,5.7,5.01,5.32,5.23,5.23,5.23
43,EBIT,32.71,20.74,20.69,18.98,23.41,11.69,16.54,16.4,25.56,14.31,14.31
44,EBIT Margin,7.81%,6.63%,9.02%,7.50%,10.35%,5.25%,8.85%,7.16%,11.74%,5.74%,5.74%
45,Effective Tax Rate,9.92%,6.01%,10.47%,12.80%,5.69%,10.37%,6.42%,3.88%,10.92%,5.61%,5.61%
46,Revenue as Reported,419.01,312.99,229.33,252.92,226.29,222.67,186.86,228.91,217.65,249.42,249.42
