,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,3770,2613,2658,2367,2691,2878,-,-,-,-,-,-
1,Market Cap Growth,-9.23%,-9.23%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3685,2151,2452,1799,2123,2932,-,-,-,-,-,-
3,Last Close Price,47.13,32.66,33.22,29.08,33.06,35.36,-,-,-,-,-,-
4,PE Ratio,44.63,30.46,35.10,30.79,40.21,42.39,-,-,-,-,-,-
5,PS Ratio,3.15,2.15,2.60,2.54,3.03,3.33,-,-,-,-,-,-
6,PB Ratio,3.70,2.57,2.68,2.34,2.71,2.96,-,-,-,-,-,-
7,P/TBV Ratio,2.60,2.60,2.72,2.37,2.75,2.99,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,23.21,19.59,-,-,-,-,-,-
9,P/OCF Ratio,53.98,53.98,-,-,18.23,16.96,-,-,-,-,-,-
10,EV/Sales Ratio,3.03,1.77,2.40,1.93,2.39,3.39,-,-,-,-,-,-
11,EV/EBITDA Ratio,31.02,24.37,31.02,-,23.10,32.80,-,-,-,-,-,-
12,EV/EBIT Ratio,40.37,23.10,29.25,24.06,30.06,43.09,-,-,-,-,-,-
13,EV/FCF Ratio,-83.41,-,-,-,18.31,19.95,-,-,-,-,-,-
14,Debt / Equity Ratio,0.08,0.08,0.09,0.07,0.06,0.09,0.28,0.42,0.42,-,-,0.85
15,Debt / EBITDA Ratio,0.71,0.55,0.72,-,0.47,0.78,1.30,1.80,1.29,-,-,2.87
16,Debt / FCF Ratio,-,-,-,-,0.50,0.61,0.73,1.15,1.26,-,-,173.11
17,Asset Turnover,1.13,0.90,-,0.78,0.90,-,-,-,-,-,-,
18,Inventory Turnover,6.02,7.47,6.08,-,6.08,5.01,-,-,-,-,-,-
19,Quick Ratio,1.36,1.36,2.62,1.96,3.23,3.32,1.09,-,0.84,-,-,-
20,Current Ratio,2.70,2.70,3.21,4.01,3.81,3.91,1.71,-,1.45,-,-,-
21,Return on Equity (ROE),9.96%,9.23%,-,7.26%,8.60%,25.08%,-,-,-,-,-,
22,Return on Assets (ROA),5.50%,3.74%,-,3.64%,5.84%,-,-,-,-,-,-,
23,Return on Capital (ROIC),7.51%,4.80%,-,4.49%,7.42%,5.63%,-,-,-,-,-,
24,Return on Capital Employed (ROCE),8.26%,8.42%,7.73%,6.87%,6.76%,6.67%,15.57%,-,16.53%,-,-,-
25,Earnings Yield,2.27%,3.28%,2.85%,3.25%,2.49%,2.36%,-,-,-,-,-,-
26,FCF Yield,-1.17%,-1.69%,1.35%,3.72%,4.31%,5.10%,-,-,-,-,-,-
27,Dividend Yield,1.19%,-,-,-,1.69%,-,-,-,-,-,-,-
28,Payout Ratio,53.67%,10.72%,182.57%,1.96%,4.61%,2.64%,2.39%,4.48%,2.20%,6.73%,13.59%,13.59%
29,Buyback Yield / Dilution,-28.64%,-9.16%,-37.19%,-28.48%,-44.92%,-22.36%,3.29%,-2.97%,-,-,-,-
30,Total Shareholder Return,-27.45%,-9.16%,-37.19%,-28.48%,-43.22%,-22.36%,3.29%,-2.97%,-,-,-,-
