,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,167.87,214.44,273.22,285.82,656,56.88,-,72.3,-,-,-
1,Short-Term Investments,-,332.8,-,361.77,-,-,-,-,-,-,-
2,Trading Asset Securities,-,-,-,-,-,-,-,0.13,-,-,-
3,Cash & Short-Term Investments,167.87,547.24,273.22,647.59,656,56.88,72.43,72.43,-,-,60.95
4,Cash Growth,-74.41%,862.14%,277.21%,794.07%,-,-,18.83%,-,-,-,-
5,Accounts Receivable,427.35,330.44,237.79,240.02,215.07,229.27,-,192.74,-,-,-
6,Other Receivables,9.26,12.73,5.54,10.34,3.31,7.43,-,6.98,-,-,-
7,Receivables,436.62,343.17,243.33,250.36,218.38,236.7,-,199.72,-,-,-
8,Inventory,199.43,173.64,165.45,140.8,131.1,154.23,-,180.38,-,-,-
9,Other Current Assets,393.9,27.06,372.4,19.11,25.38,13.2,-,14.43,-,-,-
10,Total Current Assets,1198,1091,1054,1058,1031,461.01,-,466.96,-,-,-
11,"Property, Plant & Equipment",280.13,260.82,233.33,213.3,211.45,217.67,-,226.55,-,-,-
12,Other Intangible Assets,14.78,15.1,15.23,14.2,14.46,14.9,-,15.42,-,-,-
13,Long-Term Accounts Receivable,-,0.73,0.72,0.71,-,2.44,-,2.13,-,-,-
14,Long-Term Deferred Tax Assets,23.11,23.86,20.2,16.6,9.57,9.92,-,19.13,-,-,-
15,Long-Term Deferred Charges,14.25,13.31,11.54,12.08,9.94,10.89,-,15.66,-,-,-
16,Other Long-Term Assets,18.67,18.9,15.95,7.75,7.38,3.85,-,3.63,-,-,-
17,Total Assets,1549,1424,1351,1323,1284,720.67,-,749.48,-,-,-
18,Accounts Payable,341.55,253.44,188.44,182.51,146.11,165.4,-,153.43,-,-,-
19,Accrued Expenses,29.68,39.75,18.5,43.21,17.79,26.89,-,33.36,-,-,-
20,Short-Term Debt,-,-,-,10.35,40.99,63.65,-,103.46,-,-,-
21,Current Portion of Leases,11.14,10.31,7.25,5.02,3.87,2.26,-,5.83,-,-,-
22,Current Income Taxes Payable,4.99,-,2.28,0.74,2.71,0.51,-,-,-,-,-
23,Current Unearned Revenue,29.35,28.89,28.87,28.85,30.1,8.66,-,18.51,-,-,-
24,Other Current Liabilities,26.65,7.04,17.85,7.08,21.75,2.55,-,7.88,-,-,-
25,Total Current Liabilities,443.36,339.43,263.18,277.75,263.32,269.93,-,322.47,-,-,-
26,Long-Term Leases,72.79,76.68,62.02,42.49,44.37,45.93,-,46.3,-,-,-
27,Long-Term Unearned Revenue,0.81,0.89,1.02,1.15,1.3,1.46,-,1.79,-,-,-
28,Long-Term Deferred Tax Liabilities,15.08,15.48,12.53,8.62,0.62,0.66,-,10.11,-,-,-
29,Total Liabilities,532.04,432.49,338.76,330.01,309.61,317.97,-,380.67,-,-,-
30,Common Stock,80,80,80,80,80,60,-,60,-,-,-
31,Additional Paid-In Capital,579.95,579.72,579.48,579.25,578.93,42.76,-,42.25,-,-,-
32,Retained Earnings,357.98,332.97,354.69,334.85,316.81,301.85,-,267.92,-,-,-
33,Comprehensive Income & Other,0.35,0.21,0.17,0.01,-0.07,-0.46,-,-0.08,-,-,-
34,Total Common Equity,1018,992.9,1014,994.1,975.67,404.16,369.88,370.09,-,-,295.33
35,Minority Interest,-1.58,-1.57,-1.72,-1.6,-1.62,-1.46,-,-1.28,-,-,-
36,Shareholders' Equity,1017,991.33,1013,992.5,974.06,402.7,368.6,368.82,-,-,294.14
37,Total Liabilities & Equity,1549,1424,1351,1323,1284,720.67,-,749.48,-,-,-
38,Total Debt,83.93,87,69.27,57.86,89.23,111.83,155.59,155.59,-,-,249.22
39,Net Cash (Debt),83.93,460.25,203.95,589.73,566.77,-54.95,-83.16,-83.16,-,-,-188.27
40,Net Cash Growth,-85.19%,-,-,-,-,-,-,-,-,-,-
41,Net Cash Per Share,1.04,5.78,2.57,6.93,7.66,-0.95,-1.35,-1.42,-,-,-3.14
42,Filing Date Shares Outstanding,80,80,79.37,80,80,60,61.78,60,60.47,60,60
43,Total Common Shares Outstanding,80,80,79.37,80,80,60,61.78,60,60.47,60,60
44,Working Capital,754.45,751.68,791.23,780.11,767.54,191.08,-,144.49,-,-,-
45,Book Value Per Share,12.73,12.41,12.78,12.43,12.20,6.74,6.16,6.17,-,-,4.93
46,Tangible Book Value,1004,977.8,999.12,979.9,961.22,389.26,354.45,354.67,-,-,281.57
47,Tangible Book Value Per Share,12.54,12.22,12.59,12.25,12.02,6.49,5.91,5.91,-,-,4.70
48,Buildings,-,129.55,-,129.55,-,129.55,-,129.55,-,-,-
49,Machinery,-,152.81,-,148.76,-,142.19,-,134.77,-,-,-
50,Construction In Progress,-,22.97,-,7.41,-,9.16,-,13.64,-,-,-
