,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,108.11,122.69,76.28,124.01,79.95,99.28,70.59,140.87,89.07,66.66,54.87,159.52,101.62,103.02,60.63,162.48,84.85,41.9
1,Other Revenue,-,-,-,-,-,-,-,-,-,-,-,0.08,-0.35,0.35,-,0.43,-,0.66
2,Revenue,108.11,122.69,76.28,124.01,79.95,99.28,70.59,140.87,89.07,66.66,54.87,159.6,101.28,103.36,60.63,162.91,84.85,42.56
3,Revenue Growth (YoY),35.22%,23.58%,8.06%,-11.97%,-10.24%,48.94%,28.65%,-11.74%,-12.05%,-35.51%,-9.50%,-2.03%,19.36%,142.85%,-,-,-,-
4,Cost of Revenue,76.95,88.63,54.06,99.63,60.6,78.97,61.16,94.33,57.48,43.89,39.21,94.24,61.37,61.62,37.67,93.4,-,21.61
5,Gross Profit,31.15,34.06,22.22,24.38,19.35,20.31,9.43,46.54,31.59,22.77,15.66,65.36,39.91,41.74,22.96,69.52,84.85,20.95
6,"Selling, General & Admin",24.89,23.09,25.18,25.45,25,27.74,22.69,24.18,17.07,21.45,16.71,19.34,15.07,15.07,17.5,21.54,-,10
7,Research & Development,7.08,6.9,9.84,3.4,9.66,11.84,12.34,7.84,7.64,13.63,12.82,7.59,6.07,7.71,10.14,7.58,-,5.75
8,Other Operating Expenses,-0.3,0.49,-0.05,-1.52,-0.57,-0.46,-1.4,5.64,-1.58,-2.94,-0.74,1.63,-0.19,-1.26,0.05,-8.73,72.22,0.03
