,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2205,1594,1105,1811,1990,2324,1870,1962,1850,2114,2482,3403,-,-,-,-,-,-,-
1,Market Cap Growth,-31.42%,-31.42%,-40.92%,-7.71%,7.52%,9.93%,-24.66%,-42.35%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2040,1407,929,1655,1834,2145,1658,1587,1475,1667,1996,3442,-,-,-,-,-,-,-
3,Last Close Price,18.88,13.65,9.35,15.09,16.58,19.37,15.58,16.35,15.42,17.62,20.68,28.09,-,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,-,-103.03,-1810.22,-,-,-,-,-,-,-,-,-
5,PS Ratio,5.29,3.70,2.74,4.77,5.32,5.95,4.68,5.34,5.26,5.71,6.49,8.12,-,-,-,-,-,-,-
6,PB Ratio,2.95,1.97,1.27,2.05,2.18,2.57,2.02,2.07,1.91,2.32,2.71,3.56,-,-,-,-,-,-,-
7,P/TBV Ratio,2.30,2.30,1.57,2.50,2.65,2.94,2.31,2.36,2.17,2.36,2.77,3.64,-,-,-,-,-,-,-
8,P/FCF Ratio,254.81,-,-,-,-36.58,-,-,-,-41.29,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,70.51,-,-,-,-145.85,-,-,-,236.61,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,4.73,3.26,2.31,4.36,4.90,5.49,4.15,4.32,4.20,4.50,5.22,8.21,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-341.85,55.83,-,-,-,-,-,-,-,-,-
12,EV/FCF Ratio,235.70,-,-,-,-33.71,-,-,-,-32.91,-,-,-,-,-,-,-,-,-,-
13,Debt / Equity Ratio,0.10,0.10,0.09,0.10,0.08,0.09,0.11,0.07,0.07,0.08,0.07,0.09,0.21,-,0.17,0.17,0.17,0.20,0.13
14,Debt / EBITDA Ratio,-,-,3.06,-,2.27,-,-,-,0.79,2.26,-,-,0.44,-,0.52,6.59,0.39,0.89,1.00
15,Debt / FCF Ratio,9.53,-,-,-,-1.38,-,-,-,-1.56,-,-,-,1.61,-,1.67,-,3.64,-2.73,-
16,Asset Turnover,0.37,0.41,0.25,0.41,0.26,0.33,0.23,0.48,0.32,0.24,0.24,-,-,-,-,1.12,-,-,
17,Inventory Turnover,2.30,2.07,2.52,1.61,3.23,2.15,2.97,2.38,4.46,3.27,2.48,2.18,-,-,-,-,3.31,-,-
18,Quick Ratio,2.22,2.22,2.59,2.54,2.62,2.86,2.91,3.43,3.47,4.72,5.45,5.63,2.18,-,1.91,-,1.78,1.45,1.98
19,Current Ratio,2.77,2.77,3.11,3.14,3.16,3.42,3.36,3.98,3.94,5.52,5.96,6.17,2.62,-,2.57,-,2.34,2.21,2.74
20,Return on Equity (ROE),-5.71%,-3.25%,-8.02%,-8.47%,-10.11%,-10.94%,-8.37%,6.20%,0.84%,-7.48%,-8.39%,-,-,14.24%,-3.50%,32.01%,-,-,
21,Return on Assets (ROA),-3.03%,-2.21%,-4.10%,-3.98%,-5.79%,-6.55%,-5.59%,-0.70%,-0.46%,-4.15%,-5.18%,-,-,-,-,14.12%,-,-,
22,Return on Capital (ROIC),-3.90%,-2.76%,-5.11%,-4.91%,-7.01%,-7.84%,-6.67%,-0.82%,-0.52%,-4.65%,-6.02%,-,-,9.66%,-2.97%,18.39%,-,-,
23,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,-,-,11.71%,-,13.28%,-,11.98%,4.44%,1.23%
24,Earnings Yield,-2.84%,-3.92%,-6.75%,-4.94%,-4.70%,-2.42%,-1.67%,-1.21%,-0.97%,-0.06%,0.30%,1.15%,-,-,-,-,-,-,-
25,FCF Yield,0.39%,0.54%,0.45%,-0.54%,-2.73%,-3.04%,-3.75%,-3.03%,-2.42%,0.34%,0.72%,1.21%,-,-,-,-,-,-,-
26,Payout Ratio,0.00%,-,-,-,-,-,-,-,2.80%,16.47%,-,-,1.42%,4.04%,7.31%,-,8.29%,-,18.54%
27,Buyback Yield / Dilution,1.42%,-9.15%,6.38%,0.01%,8.13%,-0.20%,-1.81%,-7.96%,-35.40%,-40.01%,-52.20%,-8.03%,-6.94%,3.62%,21.46%,-,-,-,-
28,Total Shareholder Return,1.42%,-9.15%,6.38%,0.01%,8.13%,-0.20%,-1.81%,-7.96%,-35.40%,-40.01%,-52.20%,-8.03%,-6.94%,3.62%,21.46%,-,-,-,-
