,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021"
0,Operating Revenue,131.36,141.11,98.63,108.27,118.75,114.4,83.59,74.26,110.63,108.1,131.5,159.79,152.65
1,Other Revenue,-1.67,1.67,-,4.31,-2.03,2.03,-,4.33,-2.18,2.18,-,-,-
2,Revenue,129.69,142.78,98.63,112.58,116.71,116.43,83.59,78.59,108.46,110.28,131.5,159.79,152.65
3,Revenue Growth (YoY),11.12%,22.63%,17.98%,43.25%,7.61%,5.58%,-36.43%,-50.82%,-28.95%,-,-,-,-
4,Cost of Revenue,107.79,121.53,86.5,104.29,91.07,95.84,69.93,67.5,81.29,96.07,103.41,132.66,120.19
5,Gross Profit,21.91,21.25,12.13,8.29,25.65,20.59,13.67,11.09,27.17,14.21,28.09,27.14,32.46
6,"Selling, General & Admin",9.56,9.17,7.73,9.61,9.79,7.27,8.61,9.64,5.04,4.7,5.65,6.11,5.78
7,Research & Development,3.7,4.83,3.6,5.88,3.76,3.81,3.89,3.73,4.13,3.59,4.48,6.29,4.28
8,Other Operating Expenses,3.19,-1.4,0.86,-0.31,0.26,1.22,-5.79,1.88,-1.76,-1.03,0.07,0.74,1.27
9,Operating Expenses,14.95,15.33,11.71,15.46,14.22,14,7.2,14.68,6.68,6.71,10.14,12.3,12.11
10,Operating Income,6.96,5.92,0.42,-7.17,11.43,6.59,6.47,-3.59,20.49,7.5,17.95,14.84,20.35
11,Interest Expense,-0.22,-0.02,-,-,-,-,-0.25,-0.21,-0.32,-0.34,-0.47,-0.36,-0.44
12,Interest & Investment Income,0.73,1.77,1.86,2.85,2.43,3.38,2.44,0.22,0.13,0.47,0.03,0.21,0.18
13,Currency Exchange Gain (Loss),-1.01,1.01,-,0.99,-1.73,1.73,-,3.19,-1.94,1.94,-,-1.09,-
14,Other Non Operating Income (Expenses),-0.11,-0.53,0.41,-1.67,1.33,1.66,0.28,-5.4,3.4,2.09,-0.2,-1.38,0.26
15,EBT Excluding Unusual Items,6.35,8.15,2.68,-5,13.45,13.35,8.93,-5.79,21.76,11.66,17.31,12.21,20.35
16,Gain (Loss) on Sale of Investments,0,-0.18,0.18,0.02,-0.1,0.12,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,-0.11,0.05,0.07,0.18,0.09,-0.01,-0.01,-,0.09,0.01,-0.1,-0.11
18,Asset Writedown,-3.45,0.02,-0.16,3.02,-3.1,0.13,-0.14,2.78,-2.71,2.36,-2.53,5.17,-1.54
19,Other Unusual Items,3.2,-2.02,2.08,-4.96,-,-,-,4.65,-,-,-,2.5,-
20,Pretax Income,6.1,5.86,4.84,-6.86,10.44,13.69,8.78,1.63,19.04,14.11,14.79,19.78,18.71
21,Income Tax Expense,0.61,0.12,0.25,-1.34,1.04,1.5,0.77,-0.77,2.28,1.59,1.57,2.42,2.19
22,Net Income,5.49,5.74,4.59,-5.52,9.4,12.19,8.02,2.4,16.76,12.51,13.22,17.36,16.52
23,Net Income to Common,5.49,5.74,4.59,-5.52,9.4,12.19,8.02,2.4,16.76,12.51,13.22,17.36,16.52
24,Net Income Growth,-41.60%,-52.89%,-42.74%,-,-43.91%,-2.59%,-39.37%,-86.17%,1.50%,-,-,-,-
25,Shares Outstanding (Basic),136,115,115,127,118,123,115,88,94,89,88,86,92
26,Shares Outstanding (Diluted),136,115,115,127,118,123,115,88,94,89,88,86,92
27,Shares Change (YoY),15.27%,-6.77%,0.21%,43.90%,25.37%,37.90%,29.93%,2.04%,2.22%,-,-,-,-
28,EPS (Basic),0.04,0.05,0.04,-0.04,0.08,0.10,0.07,0.03,0.18,0.14,0.15,0.20,0.18
29,EPS (Diluted),0.04,0.05,0.04,-0.04,0.08,0.10,0.07,0.03,0.18,0.14,0.15,0.20,0.18
30,EPS Growth,-49.34%,-49.47%,-42.86%,-,-55.26%,-29.36%,-53.33%,-86.45%,-0.70%,-,-,-,-
31,Free Cash Flow,-13.24,-139.61,-39.17,-48.9,-26.87,-28.59,-42.73,-22.38,7.95,-17.47,-17.51,0.04,-
32,Free Cash Flow Per Share,-0.10,-1.22,-0.34,-0.39,-0.23,-0.23,-0.37,-0.25,0.08,-0.20,-0.20,0.00,-
33,Dividend Per Share,-,-,-,0.085,-,-,-,0.125,-,-,-,-,-
34,Dividend Growth,-,-,-,-32.00%,-,-,-,-,-,-,-,-,-
35,Gross Margin,16.89%,14.88%,12.30%,7.36%,21.98%,17.69%,16.35%,14.11%,25.05%,12.88%,21.36%,16.98%,21.26%
36,Operating Margin,5.37%,4.15%,0.42%,-6.37%,9.79%,5.66%,7.73%,-4.57%,18.89%,6.80%,13.65%,9.28%,13.33%
37,Profit Margin,4.23%,4.02%,4.65%,-4.90%,8.06%,10.47%,9.59%,3.05%,15.46%,11.35%,10.05%,10.87%,10.82%
38,Free Cash Flow Margin,-10.21%,-97.78%,-39.71%,-43.44%,-23.02%,-24.56%,-51.11%,-28.47%,7.33%,-15.85%,-13.31%,0.03%,-
39,EBITDA,16.24,16.28,9.7,2.12,18.96,15.75,14,3.94,26.67,14.97,24.14,21.02,25.29
40,EBITDA Margin,12.53%,11.40%,9.84%,1.88%,16.24%,13.53%,16.74%,5.01%,24.59%,13.57%,18.35%,13.15%,16.56%
41,D&A For EBITDA,9.28,10.35,9.28,9.28,7.53,9.16,7.53,7.53,6.18,7.47,6.18,6.18,4.94
42,EBIT,6.96,5.92,0.42,-7.17,11.43,6.59,6.47,-3.59,20.49,7.5,17.95,14.84,20.35
43,EBIT Margin,5.37%,4.15%,0.42%,-6.37%,9.79%,5.66%,7.73%,-4.57%,18.89%,6.80%,13.65%,9.28%,13.33%
44,Effective Tax Rate,10.02%,1.98%,5.19%,-,9.92%,10.94%,8.75%,-,11.97%,11.29%,10.58%,12.24%,11.71%
45,Revenue as Reported,129.69,142.78,98.63,112.58,116.71,116.43,83.59,78.59,108.46,110.28,131.5,159.79,152.65
