,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021"
0,Market Capitalization,9967,5417,5534,5944,5662,5331,8310,2878,2390,-,-,-,-,-
1,Market Cap Growth,1.60%,1.60%,-33.40%,106.55%,136.88%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9838,5270,5239,5531,5248,4912,7849,2934,2446,-,-,-,-,-
3,Last Close Price,82.99,45.10,46.08,49.40,47.06,44.31,69.07,23.86,19.82,-,-,-,-,-
4,PE Ratio,967.08,525.55,389.24,287.63,-,166.56,211.07,72.49,53.23,-,-,-,-,-
5,PS Ratio,21.09,11.20,11.76,13.38,13.19,13.49,21.47,7.55,5.57,-,-,-,-,-
6,PB Ratio,10.22,5.55,5.70,6.10,5.83,5.46,8.60,2.97,2.49,-,-,-,-,-
7,P/TBV Ratio,6.25,6.25,6.43,6.50,6.22,5.83,9.18,3.17,2.66,-,-,-,-,-
8,P/OCF Ratio,124.95,124.95,-,-,123.31,347.40,265.75,97.54,-,-,-,-,-,-
9,EV/Sales Ratio,20.34,10.89,11.13,12.45,12.22,12.43,20.28,7.70,5.70,-,-,-,-,-
10,EV/EBITDA Ratio,233.00,118.85,111.35,118.87,103.27,93.31,130.04,49.24,35.09,-,-,-,-,-
11,EV/EBIT Ratio,-,859.68,494.39,490.93,-,235.12,262.04,95.06,-,-,-,-,-,-
12,Debt / Equity Ratio,0.02,0.02,0.03,0.00,0.01,0.00,0.01,0.00,0.12,0.31,0.30,0.20,0.20,-
13,Debt / EBITDA Ratio,0.40,0.26,0.47,0.11,0.61,0.03,0.08,0.06,7.51,1.06,1.75,0.69,0.79,-
14,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-4.18,-,-,1556.60,-
15,Asset Turnover,0.41,0.47,0.32,0.37,0.40,0.40,0.28,0.32,0.65,-,-,-,-,
16,Inventory Turnover,3.31,3.11,3.80,2.84,3.66,3.42,3.54,2.66,3.02,3.57,-,-,-,-
17,Quick Ratio,1.19,1.19,1.39,1.99,2.01,2.56,3.00,3.20,3.22,0.81,0.68,-,0.59,-
18,Current Ratio,1.77,1.77,1.94,2.58,2.52,3.07,3.57,3.86,3.69,1.21,1.09,-,1.03,-
19,Return on Equity (ROE),2.26%,2.36%,1.89%,-2.27%,3.87%,5.04%,3.32%,1.44%,18.60%,14.75%,16.20%,-,-,
20,Return on Assets (ROA),1.39%,1.21%,0.09%,-1.48%,2.42%,1.42%,1.33%,-0.93%,7.62%,-,-,-,-,
21,Return on Capital (ROIC),1.75%,1.50%,0.11%,-1.83%,2.93%,1.70%,1.58%,-1.15%,10.91%,4.41%,11.42%,-,-,
22,Return on Capital Employed (ROCE),-,0.63%,1.09%,1.15%,-,2.14%,3.09%,3.17%,-,13.59%,14.62%,-,9.83%,-
23,Earnings Yield,0.10%,0.19%,0.26%,0.35%,0.43%,0.60%,0.47%,1.38%,1.88%,-,-,-,-,-
24,FCF Yield,-2.42%,-4.45%,-4.60%,-2.41%,-2.60%,-2.26%,-1.03%,-2.59%,-2.07%,-,-,-,-,-
25,Dividend Yield,0.10%,-,-,-,0.18%,-,-,-,0.63%,-,-,-,-,-
26,Payout Ratio,102.10%,4.81%,176.84%,-,-,-,122.31%,4.78%,47.35%,7.47%,6.46%,7.28%,3.28%,-
27,Buyback Yield / Dilution,-10.93%,-15.27%,6.77%,-0.21%,-43.90%,-25.37%,-37.90%,-29.93%,-2.04%,-2.22%,-,-,-,-
28,Total Shareholder Return,-10.84%,-15.27%,6.77%,-0.21%,-43.72%,-25.37%,-37.90%,-29.93%,-1.41%,-2.22%,-,-,-,-
