,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021"
0,Cash & Equivalents,126.69,177.33,268.96,328.56,395.71,423.95,463.62,629.96,34.72,49.66,-,46.39,-
1,Trading Asset Securities,19.23,-,30.28,10.18,20.02,0.22,-,-,21.9,-,-,-,-
2,Cash & Short-Term Investments,145.91,177.33,299.24,338.74,415.72,424.17,463.62,629.96,56.62,49.66,46.39,46.39,-
3,Cash Growth,-64.90%,-58.19%,-35.46%,-46.23%,634.20%,754.13%,899.41%,1257.97%,-,-,-,-,-
4,Accounts Receivable,175.5,198.37,146.47,156.66,152.82,146.26,114.89,102.21,117.97,131.04,-,145.99,-
5,Other Receivables,5.58,0.67,2.86,4.08,2.79,2.32,1.99,2.25,0.42,0.56,-,0.31,-
6,Receivables,181.08,199.04,149.34,160.74,155.61,148.58,116.88,104.46,118.39,131.6,-,146.3,-
7,Inventory,145.49,131.86,124.31,119.34,108.51,104.52,111.86,98.21,80.81,101.45,-,128.4,-
8,Other Current Assets,16.04,17.1,10.33,6.19,6.94,5.85,8.95,10.15,6.15,7.85,-,14.34,-
9,Total Current Assets,488.52,525.33,583.22,625.01,686.79,683.11,701.32,842.79,261.96,290.56,-,335.43,-
10,"Property, Plant & Equipment",563.57,534.51,463.76,449.64,451.98,413.8,388.82,367.61,332.62,320.29,-,276.4,-
11,Long-Term Investments,33.97,33.71,31.06,30.81,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,108.57,109.32,60.28,60.78,61.25,61.67,62.16,62.66,63.15,63.65,-,64.25,-
13,Long-Term Deferred Tax Assets,1.61,1.87,1.49,1.53,1.8,1.73,1.47,1.38,1.42,1.61,-,1.76,-
14,Other Long-Term Assets,59.77,41.69,65.86,55.87,-,-,-,-,4.12,4.56,-,7.04,-
15,Total Assets,1256,1246,1206,1224,1202,1160,1154,1274,663.28,680.67,-,684.87,-
16,Accounts Payable,244.89,228.24,208.2,226.74,207.65,174.26,165.62,176.88,168.31,189.19,-,272.73,-
17,Accrued Expenses,9.1,10.81,7.03,13.1,7.5,8.19,7.79,8.76,6.67,8.45,-,12.51,-
18,Short-Term Debt,16.75,30.35,4.39,5.16,2.62,5.24,3.17,36.11,36.41,44.45,-,37.09,-
19,Current Income Taxes Payable,2.27,-,3.76,-,3.94,1.47,1.66,-,2.28,0.75,-,2.34,-
20,Current Unearned Revenue,2.31,1.45,2.02,2.61,1.54,1.71,3.35,2.4,1.76,1.72,-,1.44,-
21,Other Current Liabilities,0.1,0.31,0.33,0.33,0.15,0.3,0.1,3.98,0.52,21.5,-,0.78,-
22,Total Current Liabilities,275.41,271.16,225.74,247.94,223.39,191.17,181.69,228.13,215.97,266.05,-,326.89,-
23,Long-Term Debt,-,-,-,-,-,-,-,82.18,76.28,60.29,-,29.27,-
24,Long-Term Unearned Revenue,4.86,5.04,5.21,5.39,2.17,2.24,2.31,2.39,2.06,2.12,-,2.24,-
25,Long-Term Deferred Tax Liabilities,-,-,-,-,0.39,0.43,0.48,0.46,-,-,-,-,-
26,Total Liabilities,280.27,276.19,230.95,253.33,225.95,193.84,184.48,313.16,294.3,328.46,-,358.4,-
27,Common Stock,120.1,120.1,120.1,120.1,120.1,120.1,120.1,120.1,90,90,-,90,-
28,Additional Paid-In Capital,664.62,664.62,664.62,664.62,664.62,664.62,664.62,664.62,104.82,104.82,-,104.82,-
29,Retained Earnings,191.25,185.76,190.23,185.64,191.15,181.75,184.57,176.56,174.16,157.39,-,131.66,-
30,Comprehensive Income & Other,-0.24,-0.24,-0.23,-0.05,-,-,-,-,-,-,-,-,-
31,Shareholders' Equity,975.73,970.24,974.72,970.31,975.87,966.47,969.29,961.28,368.98,352.21,326.48,326.48,-
32,Total Liabilities & Equity,1256,1246,1206,1224,1202,1160,1154,1274,663.28,680.67,-,684.87,-
33,Total Debt,16.75,30.35,4.39,5.16,2.62,5.24,3.17,118.29,112.69,104.73,66.36,66.36,-
34,Net Cash (Debt),129.16,146.98,294.84,333.58,413.1,418.93,460.46,511.68,-56.07,-55.07,-19.97,-19.97,-
35,Net Cash Growth,-68.73%,-64.91%,-35.97%,-34.81%,-,-,-,-,-,-,-,-,-
36,Net Cash Per Share,0.95,1.28,2.57,2.64,3.51,3.40,4.02,5.82,-0.60,-0.62,-0.23,-0.23,-
37,Filing Date Shares Outstanding,120.1,120.1,120.1,120.1,120.1,120.1,120.1,120.1,90,90,88.14,90,91.75
38,Total Common Shares Outstanding,120.1,120.1,120.1,120.1,120.1,120.1,120.1,120.1,90,90,88.14,90,91.75
39,Working Capital,213.11,254.17,357.48,377.07,463.4,491.94,519.63,614.66,45.99,24.51,-,8.54,-
40,Book Value Per Share,8.12,8.08,8.12,8.08,8.13,8.05,8.07,8.00,4.10,3.91,3.63,3.63,-
41,Tangible Book Value,867.16,860.92,914.44,909.53,914.62,904.8,907.13,898.62,305.82,288.56,262.23,262.23,-
42,Tangible Book Value Per Share,7.22,7.17,7.61,7.57,7.62,7.53,7.55,7.48,3.40,3.21,2.91,2.91,-
43,Buildings,-,207.82,-,203.68,-,196.83,-,196.77,-,76.93,-,72.28,-
44,Machinery,-,357.62,-,320.33,-,293.41,-,291.56,-,285.32,-,274.59,-
45,Construction In Progress,-,154.29,-,93.46,-,78.23,-,18.37,-,84.9,-,45.55,-
