,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '15 Mar 31, 2015"
0,Cash & Equivalents,830.45,809.59,883.32,1081,929.57,1063,1030,1202,1012,289.87,-,453.18,-,-,-,82.11
1,Short-Term Investments,-,5.57,-,5.72,-,6.7,-,5.69,-,6.01,-,5.37,-,-,-,-
2,Cash & Short-Term Investments,830.45,815.16,883.32,1087,929.57,1069,1030,1207,1012,295.87,458.55,458.55,-,-,362.11,82.11
3,Cash Growth,-10.66%,-23.78%,-14.22%,-9.98%,-8.16%,261.46%,124.56%,163.28%,-,-,26.63%,458.45%,-,-,-,-
4,Accounts Receivable,504.81,552.72,486.69,514.06,464.95,417.14,440.82,425.96,365.61,341.58,-,247.33,-,-,-,60.84
5,Other Receivables,23.71,16.82,21.1,20.36,22.05,13.33,28.87,13.49,19.79,-,-,11.14,-,-,-,4.9
6,Receivables,528.52,569.53,507.78,534.43,487,430.47,469.69,439.45,385.4,341.58,-,258.47,-,-,-,65.74
7,Inventory,282.47,232.27,197.82,159.41,253.47,247.81,210.67,163.47,310.89,207.82,-,178.35,-,-,-,63.38
8,Prepaid Expenses,-,-,-,-,-,0.08,-,-,-,0.27,-,-,-,-,-,-
9,Other Current Assets,25.82,20.35,37.95,21.24,40.63,16.12,15.65,20.58,24.67,40.91,-,25.5,-,-,-,5.03
10,Total Current Assets,1667,1637,1627,1802,1711,1764,1726,1831,1733,886.45,-,920.88,-,-,-,216.27
11,"Property, Plant & Equipment",191.66,192.8,194.81,188.33,197.1,5.3,5.83,6.42,4.38,4.6,-,4.94,-,-,-,2.18
12,Long-Term Investments,0.02,0.13,0.29,0.49,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,3.45,3.06,3.25,3.23,3.43,3.35,3.58,3.71,3.77,3.91,-,2.84,-,-,-,0.92
14,Long-Term Deferred Tax Assets,4.5,4.41,3.99,4.02,3.88,3.68,3.39,3.37,3.13,3.01,-,2.87,-,-,-,0.64
15,Long-Term Deferred Charges,-,-,-,0.01,0.03,0.05,0.07,0.09,0.11,0.14,-,0.21,-,-,-,-
16,Total Assets,1867,1838,1829,1998,1915,1776,1739,1844,1745,898.12,-,931.73,-,-,-,220
17,Accounts Payable,224.51,219.34,182.27,329.99,306.35,197.55,194.34,241.53,205.15,110.05,-,134.6,-,-,-,25.11
18,Accrued Expenses,51.92,51.64,26.84,75.61,52.82,66,32.92,104.81,52.48,59.02,-,89.5,-,-,-,6.69
19,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.17
20,Current Portion of Leases,0.92,1.3,1.75,1.73,1.15,1.27,1.27,1.43,0.47,0.56,-,0.91,-,-,-,-
21,Current Income Taxes Payable,-,0.7,7.82,7.7,15.14,1.14,13.49,12.96,17.36,5.06,-,11.22,-,-,-,2.8
22,Current Unearned Revenue,91.88,82.12,101.11,98.64,117.97,95.3,104.49,119.12,147.5,135.2,-,155.9,-,-,-,-
23,Other Current Liabilities,1.47,0.97,9.04,2.75,6.27,28.1,3.62,2.31,28.98,0.64,-,1.22,-,-,-,35.93
24,Total Current Liabilities,370.7,356.08,328.83,516.42,499.69,389.38,350.14,482.15,451.94,310.53,-,393.35,-,-,-,94.69
25,Long-Term Leases,0.17,0.16,0.27,0.73,0.61,0.82,1.18,1.44,0.1,0.35,-,0.46,-,-,-,-
