,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2015
,Period Ending,"Feb '25 Feb 27, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '15 Mar 31, 2015"
0,Market Capitalization,5549,4752,3283,3365,3904,4137,3689,4167,3395,2527,-,-,-,-,-,-,-
1,Market Cap Growth,14.87%,14.87%,-10.99%,-19.24%,14.98%,63.69%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4719,3938,2402,2437,2976,3070,2661,3155,2384,2232,-,-,-,-,-,-,-
3,Last Close Price,46.24,39.60,27.36,27.68,32.11,34.03,30.13,34.03,27.73,20.48,-,-,-,-,-,-,-
4,PE Ratio,46.36,39.64,24.53,24.20,26.69,27.83,24.72,28.89,23.99,19.49,-,-,-,-,-,-,-
5,PS Ratio,4.42,3.78,2.36,2.46,2.79,2.92,2.71,3.24,2.56,2.10,-,-,-,-,-,-,-
6,PB Ratio,3.71,3.18,2.22,2.24,2.64,2.93,2.66,3.00,2.50,1.96,-,-,-,-,-,-,-
7,P/TBV Ratio,3.19,3.19,2.22,2.25,2.64,2.93,2.67,3.01,2.50,1.96,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-87.37,-,-,-35.70,-,44.00,-,48.16,43.15,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-116.41,-,-,44.65,30.05,43.22,-,47.17,41.71,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.76,3.13,1.73,1.78,2.12,2.17,1.96,2.45,1.80,1.85,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,39.42,33.07,17.63,17.78,20.67,20.93,18.59,21.15,15.85,16.17,-,-,-,-,-,-,-
12,EV/EBIT Ratio,40.44,33.58,17.86,17.93,20.82,21.08,18.71,21.30,15.95,16.26,-,-,-,-,-,-,-
13,EV/FCF Ratio,-86.77,-72.41,-,-,-27.22,-,31.75,-,33.81,38.11,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,0.19
15,Debt / EBITDA Ratio,0.01,0.02,0.02,0.03,0.01,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.01,-,-,-,0.54
16,Debt / FCF Ratio,-,-0.02,-,-,-0.02,-,0.02,-,0.04,0.01,0.01,-,0.01,-,-,-,-
17,Asset Turnover,0.45,0.65,0.37,1.18,0.74,0.62,0.47,1.32,0.86,-,-,-,-,-,-,-,
18,Inventory Turnover,3.49,2.17,4.12,2.54,8.93,4.08,3.44,3.02,7.67,3.19,-,-,-,-,-,-,-
19,Quick Ratio,3.67,3.67,3.89,4.23,3.14,2.83,3.85,4.28,3.42,3.09,2.05,-,1.82,-,-,-,1.56
20,Current Ratio,4.50,4.50,4.60,4.95,3.49,3.42,4.53,4.93,3.80,3.83,2.85,-,2.34,-,-,-,2.28
21,Return on Equity (ROE),3.91%,5.46%,5.17%,18.17%,8.15%,7.37%,7.70%,20.55%,12.38%,14.61%,17.66%,-,-,-,-,-,
22,Return on Assets (ROA),1.83%,2.16%,2.48%,8.81%,4.16%,2.46%,3.62%,9.98%,5.17%,-,-,-,-,-,-,-,
23,Return on Capital (ROIC),2.27%,2.65%,3.18%,11.90%,5.48%,3.12%,4.71%,13.49%,7.27%,10.31%,12.65%,-,-,-,-,-,
24,Return on Capital Employed (ROCE),7.84%,7.84%,9.08%,9.06%,9.65%,10.29%,10.25%,10.67%,10.97%,10.62%,22.94%,-,24.89%,-,-,-,8.67%
25,Earnings Yield,2.16%,2.52%,4.08%,4.13%,3.75%,3.59%,4.05%,3.46%,4.17%,5.13%,-,-,-,-,-,-,-
26,FCF Yield,-0.98%,-1.14%,-6.59%,-4.03%,-2.80%,-1.35%,2.27%,1.80%,2.08%,2.32%,-,-,-,-,-,-,-
27,Dividend Yield,0.68%,-,-,-,1.01%,-,-,-,1.52%,-,-,-,-,-,-,-,-
28,Payout Ratio,32.53%,-,191.74%,-,-,93.52%,-,-,35.22%,-,-,-,-,-,45.29%,45.29%,5.16%
29,Buyback Yield / Dilution,-11.61%,0.02%,-0.48%,0.45%,-67.55%,1.56%,20.89%,-34.23%,20.80%,-34.94%,-65.63%,-1.07%,-65.09%,-,-,-,-
30,Total Shareholder Return,-10.93%,0.02%,-0.48%,0.45%,-66.54%,1.56%,20.89%,-34.23%,22.33%,-34.94%,-65.63%,-1.07%,-65.09%,-,-,-,-
