,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '15 Mar 31, 2015"
0,Operating Revenue,206.81,296.07,175.51,577.94,340.3,272,211.06,592.83,284.22,197.84,249.8,473.97,184.6,262.03,262.03,75.07
1,Other Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.65
2,Revenue,206.81,296.07,175.51,577.94,340.3,272,211.06,592.83,284.22,197.84,249.8,473.97,184.6,262.03,262.03,75.72
3,Revenue Growth (YoY),-39.23%,8.85%,-16.84%,-2.51%,19.73%,37.48%,-15.51%,25.08%,53.96%,-24.50%,-4.66%,525.94%,-,-,-,-
4,Cost of Revenue,139.84,221.32,113.24,460.94,255.36,196.96,141.46,454.53,206.98,128.08,177.78,353.32,119.28,193.55,193.55,49.79
5,Gross Profit,66.97,74.75,62.27,117.01,84.94,75.04,69.61,138.3,77.24,69.76,72.03,120.65,65.32,68.48,68.48,25.93
6,"Selling, General & Admin",38.59,43.27,33.85,37.06,42.6,42.28,35.43,53.96,40.46,36.97,35.85,48.69,30.8,34,34,14.98
7,Research & Development,13.38,13.54,12.12,10.62,12.82,13.04,10.69,12.43,11.08,10.34,9.9,10.3,9.13,9.08,9.08,-
8,Other Operating Expenses,1.18,0.11,-1.58,-0.29,-0.24,-0.19,-2.3,-1.46,-1.74,-0.72,-0.85,2.57,0.68,0.04,0.04,0.15
9,Operating Expenses,53.43,58.91,43.32,48.04,54.22,57.72,43.69,66.66,49.91,46.52,44.75,61.24,40.48,43.59,43.59,15.06
10,Operating Income,13.54,15.84,18.95,68.96,30.72,17.32,25.92,71.65,27.33,23.23,27.28,59.41,24.84,24.89,24.89,10.86
11,Interest Expense,-9.93,-0.02,-0.02,-,-0.19,-0.01,-0.01,-0.14,-0.01,-0.01,-0.01,-0.03,-0.05,-0.01,-0.01,-0.44
12,Interest & Investment Income,-,4.77,5.15,5.19,5.07,5.62,6.02,5.85,5.12,1.56,2,1.58,0.73,1.28,1.28,0.26
13,Earnings From Equity Investments,-0.11,-0.36,-,-0.11,-,-,-,-,-,-,-,-,-,-,-,-
14,Currency Exchange Gain (Loss),-0.3,0.3,-,-0.48,0.31,-0.31,-,-0.18,-0.02,0.02,-,-0.38,0.12,-0.06,-0.06,-0.66
15,Other Non Operating Income (Expenses),13.91,-0.06,-0.06,-3.46,0.26,2.59,0.23,-0.17,0.08,0.07,-0.13,0.12,-0.21,-0.18,-0.18,-0.01
16,EBT Excluding Unusual Items,17.11,20.46,24.02,70.1,36.17,25.21,32.16,77.01,32.49,24.87,29.14,60.69,25.44,25.92,25.92,10.02
17,Gain (Loss) on Sale of Investments,-,0.2,-0.2,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,0,-0.09,-0,-0.06,-,-0,0.01,0.01,-0.01,-,-,-,-0.02,-,-,-
19,Asset Writedown,-1.89,0.7,-0.87,1.84,-3.83,2.27,-0.29,2.08,-2.08,0.38,-0.38,1.84,-1.84,-,-,-0
20,Other Unusual Items,0.08,-0.08,0,4.45,-,-,-,0.16,-,-,-,2.98,-,-,-,0
21,Pretax Income,15.3,21.19,22.95,76.33,32.33,27.48,31.88,79.26,30.4,25.25,28.75,65.52,23.57,25.92,25.92,10.02
22,Income Tax Expense,0.75,0.85,3.7,10.58,3.82,1.95,5.42,11.12,1.31,4.71,5,9.2,0.54,4.4,4.4,1.6
23,Net Income,14.55,20.34,19.24,65.75,28.51,25.53,26.46,68.14,29.09,20.55,23.75,56.32,23.03,21.53,21.53,8.42
24,Net Income to Common,14.55,20.34,19.24,65.75,28.51,25.53,26.46,68.14,29.09,20.55,23.75,56.32,23.03,21.53,21.53,8.42
25,Net Income Growth,-48.96%,-20.33%,-27.28%,-3.50%,-1.99%,24.26%,11.41%,20.99%,26.35%,-4.56%,10.32%,568.64%,-,-,-,-
26,Shares Outstanding (Basic),120,118,122,119,120,118,122,71,122,149,91,89,90,90,90,54
27,Shares Outstanding (Diluted),120,118,122,119,120,118,122,71,122,149,91,89,90,90,90,54
28,Shares Change (YoY),-0.02%,0.48%,-0.45%,67.55%,-1.56%,-20.89%,34.23%,-20.80%,34.94%,65.63%,1.07%,65.09%,-,-,-,-
29,EPS (Basic),0.12,0.17,0.16,0.55,0.24,0.22,0.22,0.96,0.24,0.14,0.26,0.63,0.25,0.24,0.24,0.16
30,EPS (Diluted),0.12,0.17,0.16,0.55,0.24,0.22,0.22,0.96,0.24,0.14,0.26,0.63,0.25,0.24,0.24,0.16
31,EPS Growth,-48.95%,-20.71%,-26.95%,-42.41%,-0.43%,57.07%,-17.00%,52.77%,-6.37%,-42.38%,9.16%,305.01%,-,-,-,-
32,Free Cash Flow,27.38,-55.08,-195,168.31,-134.69,25.82,-168.78,221.64,5.16,17.11,-173.41,209.72,45.28,-64.96,-64.96,-11.37
33,Free Cash Flow Per Share,0.23,-0.46,-1.60,1.42,-1.12,0.22,-1.38,3.13,0.04,0.11,-1.91,2.35,0.50,-0.72,-0.72,-0.21
34,Dividend Per Share,-,-,-,0.325,-,-,-,0.222,-,0.200,-,-,-,-,-,-
35,Dividend Growth,-,-,-,46.26%,-,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,32.38%,25.25%,35.48%,20.25%,24.96%,27.59%,32.98%,23.33%,27.18%,35.26%,28.83%,25.45%,35.39%,26.13%,26.13%,34.24%
37,Operating Margin,6.55%,5.35%,10.80%,11.93%,9.03%,6.37%,12.28%,12.09%,9.62%,11.74%,10.92%,12.53%,13.46%,9.50%,9.50%,14.35%
38,Profit Margin,7.04%,6.87%,10.96%,11.38%,8.38%,9.39%,12.54%,11.49%,10.24%,10.39%,9.51%,11.88%,12.47%,8.22%,8.22%,11.12%
39,Free Cash Flow Margin,13.24%,-18.60%,-111.11%,29.12%,-39.58%,9.49%,-79.97%,37.39%,1.81%,8.65%,-69.42%,44.25%,24.53%,-24.79%,-24.79%,-15.02%
40,EBITDA,13.82,16.78,19.24,69.25,30.98,17.6,26.18,71.91,27.47,23.61,27.42,59.54,25.08,25.12,25.12,11.09
41,EBITDA Margin,6.68%,5.67%,10.96%,11.98%,9.10%,6.47%,12.41%,12.13%,9.67%,11.94%,10.98%,12.56%,13.58%,9.59%,9.59%,14.65%
42,D&A For EBITDA,0.29,0.94,0.29,0.29,0.26,0.28,0.26,0.26,0.14,0.38,0.14,0.14,0.23,0.23,0.23,0.23
43,EBIT,13.54,15.84,18.95,68.96,30.72,17.32,25.92,71.65,27.33,23.23,27.28,59.41,24.84,24.89,24.89,10.86
44,EBIT Margin,6.55%,5.35%,10.80%,11.93%,9.03%,6.37%,12.28%,12.09%,9.62%,11.74%,10.92%,12.53%,13.46%,9.50%,9.50%,14.35%
45,Effective Tax Rate,4.89%,4.01%,16.15%,13.86%,11.82%,7.10%,17.02%,14.03%,4.30%,18.64%,17.40%,14.04%,2.31%,16.95%,16.95%,15.96%
46,Revenue as Reported,206.81,296.07,175.51,577.94,340.3,272,211.06,592.83,284.22,197.84,249.8,473.97,184.6,262.03,262.03,-
