,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,509.98,665.19,890.8,579.98,959.11,1077,1971,1653,1346,2115,Upgrade
1,Short-Term Investments,-,-,-,-,-,-,-,-,98.15,115.56,Upgrade
2,Trading Asset Securities,2.7,2.84,24.39,31.21,94.35,130.86,141.02,103.23,-,-,Upgrade
3,Cash & Short-Term Investments,512.68,668.03,915.18,611.19,1053,1208,2112,1756,1444,2231,Upgrade
4,Cash Growth,-43.98%,9.30%,-13.13%,-49.41%,-50.13%,-31.21%,46.24%,-21.26%,-52.57%,-59.37%,Upgrade
5,Accounts Receivable,61.97,56.61,74.92,69.13,80.78,84.84,101.75,101.31,77.82,83.95,Upgrade
6,Other Receivables,222.03,91.7,196.76,343.26,631.12,628.8,541.17,267.07,231.91,192.71,Upgrade
7,Receivables,574.89,245.31,377.68,518.38,1053,862.61,973.89,472.12,438.35,395.03,Upgrade
8,Inventory,5855,6301,6942,7146,7496,9952,10528,10884,10148,9921,Upgrade
9,Prepaid Expenses,176.41,442.79,217.21,260.93,300.22,498.65,456.28,395.41,307.48,293.3,Upgrade
10,Other Current Assets,2848,2307,2562,2879,3199,3772,3594,3955,3604,3578,Upgrade
11,Total Current Assets,9967,9964,11014,11416,13101,16293,17664,17464,15942,16419,Upgrade
12,"Property, Plant & Equipment",7992,8244,8139,8471,8817,9162,7824,7438,6477,6497,Upgrade
13,Long-Term Investments,128.41,222.75,268.26,262.1,1035,1153,682.17,644,595.24,618.63,Upgrade
14,Goodwill,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,Upgrade
15,Other Intangible Assets,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,Upgrade
16,Long-Term Deferred Tax Assets,117.86,112.66,49.47,83.29,61.61,87.45,73.15,85.54,70.59,75.21,Upgrade
17,Other Long-Term Assets,1112,1251,1305,1353,1383,1427,1386,1305,1198,1152,Upgrade
18,Total Assets,19362,20041,21021,21833,24647,28374,27880,27182,24529,25016,Upgrade
19,Accounts Payable,206.26,235.71,306.32,194.07,272.51,182.55,230.55,221.12,215.38,163.6,Upgrade
20,Accrued Expenses,96.46,76.56,60.98,92.02,120.79,250.55,-,147.73,1039,1092,Upgrade
21,Short-Term Debt,1015,71.93,84.31,88.28,343.82,346.31,346.02,342.36,-,-,Upgrade
22,Current Portion of Long-Term Debt,3215,3306,2864,2569,4744,6197,6283,5967,5399,4448,Upgrade
23,Current Portion of Leases,4.57,6.07,7.89,10.61,11.12,7.58,15.33,21.97,24.8,31.6,Upgrade
24,Current Income Taxes Payable,196.95,206.73,197.59,269.16,311.47,217.57,208,168.26,171.86,716.51,Upgrade
25,Current Unearned Revenue,168.99,146.77,113.9,99.06,218.18,1927,1695,726.23,74.27,85.99,Upgrade
26,Other Current Liabilities,1529,2572,2429,2822,2803,3723,3751,3541,2298,2363,Upgrade
27,Total Current Liabilities,6433,6622,6064,6144,8824,12851,12529,11136,9222,8901,Upgrade
28,Long-Term Debt,4194,3948,4751,5097,4715,3649,3663,4496,4706,5120,Upgrade
29,Long-Term Leases,24.35,28.95,29.05,35.87,39.95,39.2,38.93,40.68,43.88,48.61,Upgrade
30,Long-Term Deferred Tax Liabilities,1303,1318,1224,1274,1299,1465,1397,1356,1192,1106,Upgrade
31,Total Liabilities,11955,11918,12068,12551,14879,18004,17627,17028,15164,15175,Upgrade
32,Common Stock,141.27,141.27,141.27,141.27,141.27,141.27,141.27,141.27,141.27,141.27,Upgrade
33,Additional Paid-In Capital,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,Upgrade
34,Retained Earnings,6607,7146,8017,8009,8201,8186,8279,8244,8306,8548,Upgrade
35,Comprehensive Income & Other,-1298,-1148,-1191,-878.88,-491.2,23.01,-190.09,-262.1,-1157,-957.36,Upgrade
36,Total Common Equity,7403,8092,8920,9224,9803,10303,10182,10075,9243,9684,Upgrade
37,Minority Interest,3.63,30.96,33.16,58.13,-34.46,67.01,70.28,79.31,122.8,155.93,Upgrade
38,Shareholders' Equity,7407,8123,8953,9282,9769,10370,10253,10154,9366,9840,Upgrade
