,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,6179,5420,6109,7864,8490,9054,9422,11789,11664,10441,13595,Upgrade
1,Market Cap Growth,-31.08%,-31.08%,-28.04%,-13.15%,-9.89%,-23.20%,-19.22%,12.91%,-14.20%,-26.74%,16.95%,Upgrade
2,Enterprise Value,15134,15281,15543,16777,17629,20088,25374,28539,25886,25368,24524,Upgrade
3,Last Close Price,1.96,1.69,1.81,2.26,2.31,2.41,2.39,2.93,2.79,2.45,3.07,Upgrade
4,PE Ratio,12.95,11.43,7.62,10.17,6.19,2.47,2.81,7.92,3.57,2.50,4.32,Upgrade
5,Forward PE,11.53,5.97,3.92,4.71,5.31,5.69,3.34,4.04,4.74,3.71,3.54,Upgrade
6,PS Ratio,1.46,1.29,1.00,1.21,0.97,0.47,0.58,2.02,0.99,0.75,1.28,Upgrade
7,PB Ratio,0.15,0.12,0.14,0.17,0.18,0.20,0.21,0.25,0.26,0.25,0.34,Upgrade
8,P/TBV Ratio,0.13,0.13,0.14,0.18,0.19,0.20,0.21,0.26,0.27,0.26,0.35,Upgrade
9,P/FCF Ratio,-,-15.85,-,1.44,1.87,1.42,1.27,13.04,-,7.33,3.98,Upgrade
10,P/OCF Ratio,-,-17.77,-,1.43,1.86,1.42,1.27,12.95,-,7.31,3.98,Upgrade
11,PEG Ratio,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,Upgrade
12,EV/Sales Ratio,3.59,3.62,2.55,2.58,2.00,1.05,1.56,4.89,2.21,1.82,2.30,Upgrade
13,EV/EBITDA Ratio,14.91,17.79,12.77,12.66,9.95,4.30,6.02,13.12,5.16,3.89,5.17,Upgrade
14,EV/EBIT Ratio,15.42,18.41,13.05,12.90,10.10,4.33,6.06,13.28,5.19,3.90,5.20,Upgrade
15,EV/FCF Ratio,-44.25,-44.68,-,3.06,3.87,3.15,3.43,31.57,-,17.82,7.18,Upgrade
16,Debt / Equity Ratio,0.32,0.32,0.34,0.33,0.32,0.33,0.42,0.46,0.56,0.47,0.51,Upgrade
17,Debt / FCF Ratio,-,-41.00,-,2.75,3.28,2.34,2.57,23.66,-,13.68,5.99,Upgrade
18,Return on Capital Employed (ROCE),1.41%,1.41%,1.98%,2.22%,2.83%,8.14%,6.49%,3.39%,7.43%,10.51%,8.02%,Upgrade
19,Earnings Yield,7.67%,8.75%,13.13%,9.83%,16.16%,40.42%,35.61%,12.63%,28.02%,40.04%,23.17%,Upgrade
20,FCF Yield,-5.53%,-6.31%,11.08%,69.65%,53.61%,70.42%,78.58%,7.67%,-1.66%,13.64%,25.12%,Upgrade
21,Dividend Yield,6.63%,7.69%,8.84%,9.29%,9.08%,8.73%,8.79%,7.17%,7.51%,8.56%,6.51%,Upgrade
22,Buyback Yield / Dilution,0.00%,-,0.00%,-0.01%,-0.13%,-0.01%,-0.04%,-0.13%,0.05%,0.03%,1.89%,Upgrade
23,Total Shareholder Return,6.63%,7.69%,8.84%,9.28%,8.95%,8.72%,8.75%,7.03%,7.56%,8.58%,8.40%,Upgrade
