,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,1213,3003,3100,3402,5392,13707,2511,3326,8407,5528,Upgrade
1,Revenue Growth (YoY),-60.87%,-11.74%,-42.50%,-75.18%,114.73%,312.14%,-70.13%,-39.84%,64.07%,-45.47%,Upgrade
2,Cost of Revenue,528.93,2069,2015,2439,3686,9377,1279,1429,4310,2155,Upgrade
3,Gross Profit,684.08,933.27,1085,962.62,1705,4330,1231,1897,4097,3374,Upgrade
4,"Selling, General & Admin",294.57,285.54,323.11,236.92,336.77,334.44,324.13,256.46,269.26,234.65,Upgrade
5,Other Operating Expenses,-109.12,316.24,-98.2,285.33,63.55,656.55,58.86,340.29,136.95,325.84,Upgrade
6,Operating Expenses,185.45,601.77,224.91,522.25,400.32,990.99,382.99,596.74,406.22,560.49,Upgrade
7,Operating Income,498.63,331.5,859.98,440.38,1305,3339,848.43,1300,3690,2813,Upgrade
8,Interest Expense,-211.68,-277.68,-71.79,-30.89,-30.14,-18.01,-18.11,-16.65,-14.93,-3.93,Upgrade
9,Interest & Investment Income,-,344.95,-,378.02,-,187.32,-,186.08,-,276,Upgrade
10,Earnings From Equity Investments,22.69,128.37,-4.68,-60.89,1.99,-32.31,42.34,40.95,19.68,154.97,Upgrade
11,Currency Exchange Gain (Loss),-,-18.78,-,10.27,-,17.77,-,46.19,-,-,Upgrade
12,Other Non Operating Income (Expenses),73.95,56.37,90.13,2.07,126.32,-34.27,30.98,-34.76,-77.66,3.83,Upgrade
13,EBT Excluding Unusual Items,383.59,564.72,873.64,738.96,1403,3459,903.64,1522,3617,3244,Upgrade
14,Gain (Loss) on Sale of Investments,-,16.26,-,10.55,-,23.34,-,31.18,-,-,Upgrade
15,Asset Writedown,29.73,82.42,-48.11,-110.1,25.33,183.26,520.68,-97.22,-212.79,-32.04,Upgrade
16,Pretax Income,413.32,663.4,825.54,639.4,1429,3666,1424,1456,3405,3212,Upgrade
17,Income Tax Expense,235.46,331.77,314.94,322.65,318.92,1038,612.82,723.67,841.14,1550,Upgrade
18,Earnings From Continuing Operations,177.85,331.63,510.6,316.76,1110,2628,811.49,732.04,2563,1662,Upgrade
19,Minority Interest in Earnings,-24.07,-11.38,-28.7,-25.46,-28.64,-49.2,-35.21,-19.5,-7.58,-37.89,Upgrade
20,Net Income,153.79,320.25,481.91,291.3,1081,2579,776.28,712.54,2556,1624,Upgrade
21,Net Income to Common,153.79,320.25,481.91,291.3,1081,2579,776.28,712.54,2556,1624,Upgrade
22,Net Income Growth,-68.09%,9.94%,-55.42%,-88.70%,39.27%,261.89%,-69.63%,-56.13%,67.54%,-53.18%,Upgrade
23,Shares Outstanding (Basic),3133,3133,3133,3133,3132,3129,3127,3127,3126,3125,Upgrade
24,Shares Outstanding (Diluted),3133,3133,3133,3133,3132,3129,3132,3127,3128,3129,Upgrade
25,Shares Change (YoY),-,-0.00%,0.01%,0.13%,0.01%,0.04%,0.13%,-0.05%,-0.03%,-1.89%,Upgrade
26,EPS (Basic),0.05,0.10,0.15,0.09,0.35,0.82,0.25,0.23,0.82,0.52,Upgrade
27,EPS (Diluted),0.05,0.10,0.15,0.09,0.35,0.82,0.25,0.23,0.82,0.52,Upgrade
28,EPS Growth,-68.08%,9.91%,-55.43%,-88.72%,39.27%,261.75%,-69.67%,-56.11%,67.58%,-52.28%,Upgrade
29,Free Cash Flow,679.7,-1022,1699,3778,773.55,5603,1801,-897.48,703.63,719.99,Upgrade
30,Free Cash Flow Per Share,0.22,-0.33,0.54,1.21,0.25,1.79,0.58,-0.29,0.22,0.23,Upgrade
31,Dividend Per Share,0.040,0.090,0.070,0.140,0.070,0.140,0.070,0.140,0.070,0.140,Upgrade
32,Dividend Growth,-42.86%,-35.71%,0%,0%,0%,0%,0%,0%,16.67%,0%,Upgrade
33,Operating Margin,41.11%,11.04%,27.74%,12.94%,24.21%,24.36%,33.79%,39.09%,43.90%,50.89%,Upgrade
34,Profit Margin,12.68%,10.67%,15.54%,8.56%,20.05%,18.81%,30.92%,21.42%,30.40%,29.38%,Upgrade
35,Free Cash Flow Margin,56.03%,-34.03%,54.79%,111.06%,14.35%,40.88%,71.74%,-26.99%,8.37%,13.02%,Upgrade
36,EBITDA,513.67,345.36,872.27,452.88,1318,3352,862.02,1313,3704,2826,Upgrade
37,D&A For EBITDA,15.04,13.86,12.28,12.51,13.04,13.36,13.6,13.05,13.45,12.48,Upgrade
38,EBIT,498.63,331.5,859.98,440.38,1305,3339,848.43,1300,3690,2813,Upgrade
