,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,254.14,249.49,293.99,339.76,245.3,325.34,377.41,250.76,416.26,420.62,213.54,376.38,307.65,495.31,160.87,248.66,225.93,-,217.14
1,Short-Term Investments,-,-,281.12,225.74,298.15,295.58,156.62,155.22,11.66,11.29,11.36,10.98,10.19,-,-,-,-,-,-,-
2,Trading Asset Securities,-,49.09,32.1,44,11,10,35.28,35.13,143.58,-,-,20,20,20,-,-,-,-,-,-
3,Cash & Short-Term Investments,303.22,303.22,562.71,563.73,648.92,550.88,517.25,567.76,406,427.55,431.98,244.52,406.57,327.65,495.31,160.87,248.66,225.93,-,217.14
4,Cash Growth,-53.27%,-44.96%,8.79%,-0.71%,59.83%,28.85%,19.74%,132.19%,-0.14%,30.49%,-12.79%,51.99%,63.51%,45.02%,-,-25.91%,-,-,-,-
5,Accounts Receivable,-,355.19,308.19,299.8,233.61,275.03,275.38,244.16,258.79,199.54,167.46,159.86,110.18,108.4,98.94,94.15,64.45,52.82,-,39.29
6,Other Receivables,-,5.42,5.21,6.76,6.07,5.33,4.97,9.55,4.6,7.82,4.39,4.51,0.83,2.62,0.39,-,-,0.19,-,0
7,Receivables,-,360.61,313.39,306.56,239.68,280.36,280.35,253.71,263.39,207.36,171.84,164.37,111.01,111.03,99.33,94.15,64.45,53.01,-,39.29
8,Inventory,-,339.28,332,329.54,272.18,271.45,266.41,247.16,220.88,202.99,179.85,135.44,125.24,88.99,69.57,58.32,52.8,49.39,-,42.26
9,Other Current Assets,-,166.65,22.6,38.79,17.7,24.11,17.08,20.42,12.54,21.67,16.54,15.16,12.17,12.86,15.15,13.67,11.2,9.04,-,11.85
10,Total Current Assets,-,1170,1231,1239,1178,1127,1081,1089,902.8,859.57,800.21,559.49,654.99,540.53,679.36,327.02,377.1,337.36,-,310.55
