,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,232.89,211.19,184.46,154.1,133.75,161.99,157.05,132.11,227.98,179.73,149.59,140.87,161.56,117.19,98.43,66.54,75.47,49.71,52.88,25.22
1,Other Revenue,-,-1.21,1.21,-,1.96,-5.99,5.99,-,7.68,-3.37,3.37,-,2.62,-0.65,0.65,-,1.71,-0.16,-0.09,0.24
2,Revenue,232.89,209.98,185.68,154.1,135.71,155.99,163.05,132.11,235.66,176.35,152.96,140.87,164.18,116.54,99.08,66.54,77.18,49.56,52.8,25.46
3,Revenue Growth (YoY),71.61%,34.61%,13.88%,16.64%,-42.41%,-11.54%,6.59%,-6.21%,43.53%,51.32%,54.39%,111.70%,112.73%,135.17%,87.66%,161.37%,-,-,-,-
4,Cost of Revenue,-159.09,53.16,72.92,33.01,46.5,29.65,39.25,25.82,56.65,43.16,32.13,22.92,22.86,17.9,19.62,14.65,14.44,6.56,10.89,5.46
5,Gross Profit,391.99,156.82,112.75,121.09,89.21,126.34,123.79,106.29,179.01,133.19,120.84,117.94,141.33,98.65,79.46,51.89,62.74,42.99,41.91,20
6,"Selling, General & Admin",-188.52,73.6,62.11,52.81,42.38,65.85,69.29,56.99,75.35,45.74,40.59,34.75,46.97,26.15,24.05,16.71,19.6,14.54,13.85,11.43
7,Research & Development,-128.69,53.37,33.54,41.78,28.61,47.78,43.03,38.09,42.14,34.67,22.77,16.08,30.26,15.71,10.19,9.49,9.49,9.07,7.62,6.85
8,Other Operating Expenses,691.97,-1.21,-0.34,-2.28,1.74,-1.02,-2.13,-2.29,9.75,0.48,-1.64,-0.44,9.41,0.02,-2.69,-0.35,7.35,-0.72,-1.69,-1.38
9,Operating Expenses,366.24,128.9,97.39,95.62,69.79,113.34,111.46,92.93,130.57,82.25,61.27,53.1,87.39,41.9,31.56,27.33,36.98,23.01,19.87,16.85
10,Operating Income,25.75,27.92,15.37,25.47,19.43,13.01,12.33,13.36,48.44,50.94,59.57,64.85,53.94,56.75,47.9,24.56,25.76,19.98,22.04,3.14
11,Interest Expense,-4.4,-1.26,-1.65,-1.62,-2.83,-1.36,-1.65,-1.92,-2.35,-1.38,-0.89,-0.48,-0.48,-0.35,-0.28,-0.08,-0.03,-0.02,-0.07,-0.02
12,Interest & Investment Income,4.53,1.57,1.88,0.95,2.95,3.61,4.37,3.9,4.8,5.14,56.2,4.51,10.57,2.92,1.22,2.44,1.57,0.68,0.9,0.4
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.38,0.38,-,-
14,Currency Exchange Gain (Loss),-,0.04,-0.04,-,0.1,-0.98,0.98,-,1.56,-1.07,1.07,-,-0.63,0.26,-0.26,-,-1.42,-0.29,-0.02,0.31
15,Other Non Operating Income (Expenses),-0.56,-0.06,0.1,-0.42,0.17,0.76,-0.29,-0.47,-1.26,1.86,-0.16,0.18,0.19,-0.25,-0.13,0.11,0.33,-0.52,-0.04,0.08
16,EBT Excluding Unusual Items,25.31,28.21,15.65,24.39,19.82,15.04,15.75,14.87,51.2,55.49,115.79,69.06,63.58,59.33,48.45,27.04,25.84,20.21,22.81,3.91
17,Impairment of Goodwill,-,-,-,-,-26.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Gain (Loss) on Sale of Investments,-,-,0.08,-0.08,-0.11,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,-0.01
19,Gain (Loss) on Sale of Assets,-1,1.43,-0.63,0.2,18.77,-0,-0,-0.36,-0.18,0.05,-0.05,-0,-0.33,0.11,-0.11,-,-0.04,0.02,-0.02,-
20,Asset Writedown,36.49,-36.49,5.64,-5.64,11.63,-11.63,1.1,-1.1,0.69,-0.69,-1.24,1.24,3.8,-3.8,1.07,-1.07,1.94,-1.94,0,-0
21,Other Unusual Items,-12.78,4.82,7.96,-,8.03,-,-,-,15.84,-0.01,0.01,-,14.77,-0.01,0.01,-,11.88,-0.01,0.01,0
22,Pretax Income,48.02,-2.02,28.7,18.87,31.68,3.41,16.85,13.42,67.54,54.84,114.5,70.3,81.82,55.63,49.43,25.96,39.61,18.27,22.82,3.9
23,Income Tax Expense,8.19,0.37,-0.33,4.23,1.32,0.41,0.64,4.58,4.2,9.29,8.38,8.46,9.7,5.76,6.26,3.79,5.54,2.45,3.08,0.63
24,Earnings From Continuing Operations,39.83,-2.39,29.03,14.64,30.36,3,16.2,8.84,63.35,45.55,106.13,61.84,72.12,49.87,43.17,22.17,34.07,15.82,19.74,3.28
25,Minority Interest in Earnings,-0.72,-0.66,-0.87,2.25,-0.78,4.16,3.27,3.51,-0.19,1.35,-1.98,-0.91,0.7,0.34,-0.17,-0.12,-0.89,-0.15,0.42,0.41
26,Net Income,39.1,-3.05,28.16,16.89,29.58,7.16,19.47,12.36,63.16,46.9,104.15,60.92,72.83,50.21,43,22.05,33.18,15.66,20.16,3.69
27,Net Income to Common,39.1,-3.05,28.16,16.89,29.58,7.16,19.47,12.36,63.16,46.9,104.15,60.92,72.83,50.21,43,22.05,33.18,15.66,20.16,3.69
