,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,8514,7058,7820,7014,8226,11073,12999,15688,20146,20872,28657,32336,31612,31940,31808,47017,-,-,-,-,-
1,Market Cap Growth,-36.26%,-36.26%,-39.84%,-55.29%,-59.17%,-46.95%,-54.64%,-51.48%,-36.27%,-34.65%,-9.90%,-31.23%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,8484,7029,7603,6812,7897,10744,12727,15398,19910,20635,28411,32146,31254,31652,31344,46865,-,-,-,-,-
3,Last Close Price,21.23,17.60,19.50,17.37,20.31,27.35,32.10,38.74,49.72,51.51,70.72,80.40,78.52,79.34,79.01,116.79,-,-,-,-,-
4,PE Ratio,105.10,87.02,-,85.76,112.53,161.49,127.26,110.57,88.92,75.86,100.62,112.24,139.28,169.81,214.28,412.79,-,-,-,-,-
5,Forward PE,-,47.93,47.93,47.93,47.93,47.93,47.93,47.93,47.93,50.94,76.64,110.70,108.22,175.51,193.88,-,-,-,-,-,-
6,PS Ratio,10.89,9.02,11.41,11.11,13.51,18.87,18.93,22.18,28.90,29.57,45.17,56.28,60.71,71.56,88.52,160.82,-,-,-,-,-
7,PB Ratio,4.97,3.81,4.22,3.82,4.49,6.40,7.69,9.49,12.41,13.21,19.36,22.80,29.09,30.56,32.78,51.28,-,-,-,-,-
8,P/TBV Ratio,4.95,4.95,5.49,5.07,5.96,7.25,8.89,11.02,14.48,15.53,22.52,26.71,30.09,31.11,33.38,52.23,-,-,-,-,-
9,P/FCF Ratio,-,-,-728.04,-,-,11296.82,-,-,-,-,-,476.52,-,289.44,559.89,1548.64,-,-,-,-,-
10,P/OCF Ratio,-,-,62.48,47.38,51.58,88.21,137.96,208.63,-,186.55,199.59,199.06,-,202.71,349.00,719.54,-,-,-,-,-
11,EV/Sales Ratio,10.84,8.98,11.09,10.79,12.97,18.31,18.53,21.77,28.56,29.24,44.79,55.95,60.03,70.91,87.23,160.30,-,-,-,-,-
12,EV/EBITDA Ratio,61.77,49.69,56.27,58.16,72.21,114.08,105.97,98.86,99.73,82.93,112.72,124.73,127.79,155.15,180.50,347.73,-,-,-,-,-
