,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3550,3266,3266,2906,3341,2746,3279,3569,3645,3275,-,-,-,-,-,-
1,Market Cap Growth,18.93%,18.93%,-0.39%,-18.59%,-8.34%,-16.13%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3580,3165,3108,2536,2971,2289,2724,2801,2876,3318,-,-,-,-,-,-
3,Last Close Price,42.06,38.70,38.70,34.43,39.59,32.54,38.70,42.13,43.03,38.65,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,-,56.37,39.80,-,-,-,-,-,-
5,Forward PE,-,26.68,26.68,26.68,26.68,26.68,28.57,35.39,35.99,-,-,-,-,-,-,-
6,PS Ratio,8.56,7.82,8.20,8.28,11.48,8.71,10.90,11.76,11.98,12.47,-,-,-,-,-,-
7,PB Ratio,3.26,2.94,2.84,2.51,2.80,2.24,2.64,2.87,2.92,2.69,-,-,-,-,-,-
8,P/TBV Ratio,3.05,3.05,2.93,2.58,2.89,2.30,2.71,2.95,3.00,2.74,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-,-,-,-,201.21,-,-,-,-,-,-,-
10,EV/Sales Ratio,8.57,7.57,7.80,7.22,10.21,7.26,9.06,9.22,9.46,12.64,-,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,37.64,32.28,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,48.31,38.27,-,-,-,-,-,-
13,Debt / Equity Ratio,0.28,0.28,0.22,0.20,0.15,0.12,0.12,0.09,0.04,0.05,0.22,0.23,0.23,-,-,0.17
14,Debt / EBITDA Ratio,-,-,5.84,-,-,-,4.80,-,0.63,0.51,0.89,1.41,0.45,-,-,0.85
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-15.00,-,6.91,-,-,-
16,Asset Turnover,0.23,0.29,0.29,0.28,0.19,0.18,0.14,0.37,0.23,-,-,-,-,-,-,
17,Inventory Turnover,10.66,5.78,6.66,6.69,11.49,21.84,18.97,16.03,17.01,5.60,-,-,-,-,-,-
18,Quick Ratio,2.40,2.40,2.54,2.79,3.43,5.63,6.01,9.71,8.38,8.20,2.30,-,2.14,-,-,-
19,Current Ratio,2.63,2.63,2.74,3.13,3.70,5.85,6.21,9.90,8.50,8.57,2.50,-,2.28,-,-,-
20,Return on Equity (ROE),-15.81%,-4.03%,-12.30%,-11.41%,-2.88%,-0.02%,-1.68%,6.13%,11.88%,16.28%,8.92%,-,-,-,-,
21,Return on Assets (ROA),-5.09%,-2.14%,-5.98%,-6.81%,-1.18%,-1.39%,-1.20%,1.17%,6.03%,-,-,-,-,-,-,
22,Return on Capital (ROIC),-5.80%,-2.41%,-6.65%,-7.47%,-1.27%,-1.49%,-1.28%,1.27%,6.70%,10.33%,6.18%,-,-,-,-,
23,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,4.67%,7.00%,19.56%,-,19.10%,-,-,-
24,Earnings Yield,-3.68%,-3.99%,-2.90%,-2.82%,-1.55%,0.09%,1.09%,1.42%,1.77%,2.51%,-,-,-,-,-,-
25,FCF Yield,-11.15%,-12.12%,-10.45%,-13.32%,-10.87%,-9.75%,-6.72%,-3.49%,-1.35%,-0.24%,-,-,-,-,-,-
26,Dividend Yield,0.00%,-,-,-,-,-,-,-,0.35%,-,-,-,-,-,-,-
27,Payout Ratio,0.00%,-,-,-,-,-,-,-,4.30%,1.56%,2.38%,6.91%,4.72%,-,-,-
28,Buyback Yield / Dilution,-1.30%,-13.92%,9.33%,0.29%,-3.76%,4.86%,-44.98%,-37.55%,-32.22%,-23.09%,-2.93%,-,-,-,-,-
29,Total Shareholder Return,-1.30%,-13.92%,9.33%,0.29%,-3.76%,4.86%,-44.98%,-37.55%,-31.87%,-23.09%,-2.93%,-,-,-,-,-
