,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,243.84,358.53,322.15,251.07,296.96,350.15,449.81,615.43,688.91,31.25,-,51.23,-,-,-
1,Trading Asset Securities,55.84,15.05,83.08,193.29,241.96,268.04,239.88,165.32,140.18,10.12,-,-,-,-,-
2,Cash & Short-Term Investments,299.68,373.58,405.23,444.35,538.92,618.19,689.69,780.75,829.09,41.37,51.23,51.23,-,-,55.12
3,Cash Growth,-44.39%,-39.57%,-41.24%,-43.09%,-35.00%,1394.36%,1246.16%,1423.89%,-,-,-7.05%,-,-,-,-
4,Accounts Receivable,560.42,501.68,465.85,436.4,388.32,368.97,365.51,352.84,305.16,295.57,-,272.49,-,-,-
5,Other Receivables,38.02,36.31,1.21,28.12,16.52,13.85,4.39,7.86,7.09,3.07,-,2.39,-,-,-
6,Receivables,598.44,537.99,467.06,464.51,404.84,382.82,369.9,360.7,312.25,298.64,-,274.88,-,-,-
7,Inventory,61.57,53.36,65.13,55.59,8.85,8.04,7.17,7,22.63,17.81,-,13.84,-,-,-
8,Other Current Assets,24.41,20.27,40.15,17.27,28.74,25.91,12.87,9.85,28.35,11.26,-,7.32,-,-,-
9,Total Current Assets,984.09,985.21,977.57,981.73,981.35,1035,1080,1158,1192,369.08,-,347.27,-,-,-
10,"Property, Plant & Equipment",551.26,517.96,450.03,453.71,426.84,414.59,260.22,189.26,148.28,142.39,-,152.27,-,-,-
11,Long-Term Investments,21.45,22.18,23.11,22.19,16.17,12.24,11.24,10.9,11.17,9.58,-,8.79,-,-,-
12,Goodwill,-,-,-,-,-,-,-,-,2.9,2.9,-,2.9,-,-,-
13,Other Intangible Assets,15.07,15.18,15.19,15.24,13.7,13.84,13.84,13.96,13.74,13.78,-,13.96,-,-,-
14,Long-Term Deferred Tax Assets,9.78,8.77,10.11,8.07,6.48,8.07,4.92,5.06,6.03,5.5,-,7.84,-,-,-
15,Long-Term Deferred Charges,31.91,29.38,26.84,26.55,29.47,10.7,6.76,6.83,4,4.37,-,5.64,-,-,-
16,Other Long-Term Assets,4.24,17.03,34.89,21.98,8.87,11.51,66.27,27.63,-,6.23,-,-,-,-,-
17,Total Assets,1618,1596,1538,1529,1483,1506,1443,1412,1378,553.84,-,538.67,-,-,-
18,Accounts Payable,161.12,143.52,101.4,97.02,54.27,77.05,42.25,60.63,57.75,47.79,-,53.39,-,-,-
19,Accrued Expenses,14.37,12.59,8.42,22.58,19.63,12.41,7.97,17.87,11.51,9.4,-,16.73,-,-,-
20,Short-Term Debt,149.04,147.77,146.04,89.65,48.36,38.34,20.02,20.02,19.96,46.17,-,40.32,-,-,-
21,Current Portion of Long-Term Debt,30.47,6.44,21.94,3.37,-,-,14.49,3.06,24.75,15,-,21.03,-,-,-
22,Current Portion of Leases,-,17.34,-,19.38,20.36,16.34,-,8.87,-,8.65,-,8.64,-,-,-
23,Current Income Taxes Payable,1.91,1.2,2.24,1.56,2.2,1.57,3.64,9.57,5.63,4.35,-,4.35,-,-,-
24,Current Unearned Revenue,4.86,14.85,6.59,8.23,8.71,9.53,10.71,6.9,17.26,13.7,-,7.08,-,-,-
25,Other Current Liabilities,12.38,15.81,25.95,23.59,14.18,11.39,9.99,9.37,2.26,2.44,-,1.07,-,-,-
26,Total Current Liabilities,374.14,359.53,312.57,265.36,167.72,166.64,109.07,136.29,139.12,147.51,-,152.6,-,-,-
27,Long-Term Debt,72.33,16.63,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Long-Term Leases,55.6,62.81,58.97,64.06,81.35,88.68,82.8,18.86,11.23,13.25,-,13.84,-,-,-
29,Long-Term Unearned Revenue,6.08,6.43,6.8,7.16,7.54,7.66,8.22,8.58,8.64,8.99,-,8.4,-,-,-
30,Long-Term Deferred Tax Liabilities,0.09,0.01,0.01,0.15,0.53,0.64,0.7,0.79,1.53,1.55,-,4.43,-,-,-
31,Total Liabilities,508.24,445.4,378.35,336.74,257.14,263.62,200.79,164.51,160.52,171.31,-,179.28,-,-,-
32,Common Stock,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,63.3,-,63.3,-,-,-
33,Additional Paid-In Capital,978.16,974.19,971.55,968.75,967.23,962.18,962.18,962.18,963.41,175.69,-,175.69,-,-,-
34,Retained Earnings,24.82,70.47,83.62,119.61,155.3,177.72,178.09,183.96,165.53,141.94,-,119.3,-,-,-
35,Comprehensive Income & Other,0.06,0.14,0.21,0.21,0.24,0.26,0.04,0.13,0.18,0.09,-,-0.02,-,-,-
36,Total Common Equity,1087,1129,1140,1173,1207,1225,1225,1231,1214,381.02,358.27,358.27,-,-,291.24
37,Minority Interest,22.12,21.12,19.59,19.76,18.57,17.72,17.39,16.76,4.42,1.5,-,1.12,-,-,-
38,Shareholders' Equity,1110,1150,1159,1193,1226,1242,1242,1247,1218,382.53,359.39,359.39,-,-,291.83
39,Total Liabilities & Equity,1618,1596,1538,1529,1483,1506,1443,1412,1378,553.84,-,538.67,-,-,-
40,Total Debt,307.44,251,226.95,176.45,150.08,143.36,117.31,50.82,55.94,83.08,83.83,83.83,-,-,48.53
41,Net Cash (Debt),-7.75,122.58,178.28,267.9,388.85,474.82,572.39,729.93,773.16,-41.71,-32.59,-32.59,-,-,6.59
42,Net Cash Growth,-,-74.18%,-68.85%,-63.30%,-49.71%,-,-,-,-,-,-,-,-,-,-
43,Net Cash Per Share,-0.09,1.43,2.13,3.10,5.24,5.02,6.82,8.77,9.92,-0.64,-0.53,-0.52,-,-,-
44,Filing Date Shares Outstanding,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,63.3,63.3,63.3,63.31,63.38,-
45,Total Common Shares Outstanding,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,63.3,63.3,63.3,63.31,63.38,-
46,Working Capital,609.95,625.68,665,716.37,813.64,868.32,970.57,1022,1053,221.57,-,194.66,-,-,-
47,Book Value Per Share,12.88,13.38,13.50,13.90,14.30,14.51,14.51,14.58,14.38,6.02,5.66,5.66,-,-,4.60
48,Tangible Book Value,1072,1114,1125,1158,1193,1211,1211,1217,1197,364.34,341.4,341.4,-,-,288.13
49,Tangible Book Value Per Share,12.71,13.20,13.32,13.72,14.14,14.34,14.35,14.42,14.18,5.76,5.39,5.39,-,-,4.55
50,Machinery,-,433.32,-,374.9,-,244.55,-,211.08,-,178.62,-,185.6,-,-,-
51,Construction In Progress,-,124.25,-,98.68,-,158.41,-,31.26,-,3.49,-,1.93,-,-,-
