,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,91.58,111.56,109.48,102.37,70.69,65.52,49.57,128.18,57.4,67.22,50.12,85.75,59.59,55.17,42.99
1,Other Revenue,-1.13,1.13,-,2.94,-,-,-,1.24,-1.21,1.21,-,2.03,-0.34,0.34,-
2,Revenue,90.44,112.69,109.48,105.31,70.69,65.52,49.57,129.41,56.19,68.43,50.12,87.79,59.25,55.51,42.99
3,Revenue Growth (YoY),27.93%,71.99%,120.88%,-18.62%,25.81%,-4.25%,-1.11%,47.42%,-5.17%,23.28%,16.60%,-,-,-,-
4,Cost of Revenue,82.99,98.72,100.9,92.6,46.13,36.08,28.4,63.01,28.32,29.91,23.23,32.49,22.28,45.28,-
5,Gross Profit,7.45,13.97,8.59,12.71,24.56,29.44,21.17,66.4,27.88,38.52,26.89,55.29,36.97,10.22,42.99
6,"Selling, General & Admin",32.76,28.32,23.09,35.1,32.8,23.84,22.08,24.87,18.64,16.88,12.52,16.48,15.68,24.4,-
7,Research & Development,5.6,6.06,4.17,4.22,5.86,5.45,3.74,5.84,4.82,4.39,1.81,3.4,2.83,4.38,-
8,Other Operating Expenses,0.21,0.2,0.09,-0.34,-0.67,-2.53,-0.39,21.35,-20.1,-2.28,-0.51,4.28,0.21,-35.16,31.79
9,Operating Expenses,40.14,27.41,45.24,53.73,31.59,37.65,27.99,59.89,4.58,19.75,15.93,21.62,20.92,-2.59,31.79
10,Operating Income,-32.69,-13.44,-36.66,-41.01,-7.03,-8.2,-6.83,6.51,23.3,18.77,10.96,33.68,16.05,12.81,11.2
11,Interest Expense,-3.65,-3.33,-2.44,-5.06,-0.82,-2.87,-,-3.16,-,-0.86,-0.93,-0.05,-0.62,-1.77,-
12,Interest & Investment Income,-,0.77,2.3,9.41,2.03,5.9,2.02,6.39,2.81,0.92,-,1.2,-,1.35,-
13,Currency Exchange Gain (Loss),-0.15,0.15,-,-0.13,0,-0,-,0,-0,0,-,0.13,-0.18,0.18,-
14,Other Non Operating Income (Expenses),0.09,-0.67,-,-1.98,2.22,-0.33,-0,0.03,0.03,-0.09,-0.01,-0.29,0.09,-0.12,0.01
15,EBT Excluding Unusual Items,-36.4,-16.52,-36.8,-38.77,-3.6,-5.5,-4.8,9.77,26.13,18.75,10.02,34.67,15.34,12.46,11.2
16,Impairment of Goodwill,-,-,-,-,-,-,-,-2.9,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,1.07,-1.02,-0.16,1.47,-0.48,-0.94,1.19,0.14,0.06,0.42,-0.3,-0.19,0.19,-0.19,-
18,Gain (Loss) on Sale of Assets,0.1,-0.18,0.18,0.01,-,0.21,-,0.02,-,-,-,0,-0,-0.45,-
19,Asset Writedown,-4.76,1.58,-1.59,-,-,-,-,-,-,0.03,-0.03,0.04,-0.04,-,-
20,Other Unusual Items,-3.62,5.51,0.27,2.06,-3.28,3.28,-,19.48,-,-,-,6.3,-,-,-
21,Pretax Income,-43.61,-10.64,-38.1,-35.24,-7.35,-2.96,-3.61,26.5,26.19,19.2,9.69,40.83,15.48,11.82,11.2
22,Income Tax Expense,1.03,0.99,-1.94,-0.73,1.55,-2.91,1.62,7.6,2.42,4.1,1.68,4.43,3.33,1.93,2.06
