,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,599.95,570.71,466.78,460.97,369.66,507.93,433.6,414.07,387.96,382.61,356.81,285.17
1,Other Revenue,-,-45.09,45.09,-,110.16,-48.17,48.17,-,127.19,-25.4,25.4,-
2,Revenue,599.95,525.62,511.87,460.97,479.82,459.76,481.76,414.07,515.16,357.21,382.22,285.17
3,Revenue Growth (YoY),25.04%,14.32%,6.25%,11.33%,-6.86%,28.71%,26.04%,45.20%,-,-,-,-
4,Cost of Revenue,750.29,396.2,364.41,319.26,332.86,313.39,304.63,241.45,319.43,218.99,159.19,253.11
5,Gross Profit,-150.34,129.42,147.46,141.72,146.96,146.37,177.13,172.62,195.73,138.22,223.03,32.06
6,"Selling, General & Admin",-142.04,48.95,49.43,43.66,68.91,44.93,38.75,45.9,49.03,43.71,85.06,-
7,Research & Development,-75.51,24.78,25.67,25.07,18.68,20.66,26.31,23.11,24.21,16.98,30.52,-
8,Other Operating Expenses,0.69,-3.05,1.43,0.94,-1.17,-0.47,-1.84,0.93,6.88,-1.37,4.29,-
9,Operating Expenses,-222.45,70.5,80.3,71.65,86.97,64.21,66.44,70.68,84.64,58.26,121.37,-
10,Operating Income,72.11,58.92,67.16,70.07,59.99,82.16,110.68,101.93,111.09,79.96,101.66,32.06
11,Interest Expense,-25.96,-6.74,-6.5,-5.8,-7.08,-8.08,-8.16,-7.6,-6.87,-5.79,-8.57,-
12,Interest & Investment Income,19.04,1.5,10.61,13.86,15.84,7.29,0.14,0.55,0.16,0.3,0.47,-
13,Currency Exchange Gain (Loss),-,2.35,-2.35,-,-4.84,1.47,-1.47,-,-2.29,1.81,-1.81,-
14,Other Non Operating Income (Expenses),4.86,-3.88,2.1,-2.54,2.7,-2.68,-1.67,1.37,1.32,-1.52,-1.57,1.29
15,EBT Excluding Unusual Items,70.05,52.15,71.02,75.58,66.62,80.16,99.53,96.26,103.41,74.76,90.17,33.35
16,Gain (Loss) on Sale of Investments,-8.03,6.55,1.48,-,-,-,-,-,-1.7,-,-0.11,-
17,Gain (Loss) on Sale of Assets,-1.23,-1.15,2.36,0.01,0.35,0.05,-1.02,-1.37,0.34,-0.1,0.11,-
18,Asset Writedown,2.24,-2.24,0.02,-0.02,0.23,-0.23,0.23,-0.23,0.09,-0.09,-12.63,-
19,Other Unusual Items,-0.18,-1.44,-0.59,2.22,5.34,-,-,-,15.77,-2.76,2.76,-
20,Pretax Income,62.85,53.87,74.29,77.79,72.54,79.98,98.73,94.66,117.91,71.8,80.31,33.35
21,Income Tax Expense,5.86,6.36,5.68,10.41,-20.91,12.01,14.14,20.99,0.01,20.75,40.43,4.1
22,Earnings From Continuing Operations,56.99,47.51,68.6,67.38,93.45,67.97,84.59,73.67,117.9,51.06,39.88,29.25
23,Minority Interest in Earnings,2.2,-1.99,0.02,-0.23,-0.72,0.31,-0.76,1.09,-0.54,-2.08,0.01,-
24,Net Income,59.18,45.53,68.62,67.15,92.72,68.28,83.83,74.76,117.36,48.98,39.89,29.25
