,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,13577,13286,11848,12046,13194,17231,14395,-,-,-,-,-,-
1,Market Cap Growth,-22.89%,-22.89%,-17.69%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,12952,12662,10888,12393,11565,17578,15372,-,-,-,-,-,-
3,Last Close Price,10.29,10.07,8.94,9.09,9.88,12.90,10.78,-,-,-,-,-,-
4,PE Ratio,57.17,55.25,43.24,40.59,42.29,53.92,41.82,-,-,-,-,-,-
5,Forward PE,35.71,35.41,29.20,29.29,34.09,45.43,-,-,-,-,-,-,-
6,PS Ratio,6.55,6.33,5.99,6.30,7.01,9.39,7.69,-,-,-,-,-,-
7,PB Ratio,2.33,2.27,2.02,2.07,2.26,2.99,2.54,-,-,-,-,-,-
8,P/TBV Ratio,2.73,2.73,2.44,2.51,2.72,3.61,3.08,-,-,-,-,-,-
9,P/OCF Ratio,-,-,21.07,21.86,24.76,32.00,26.21,-,-,-,-,-,-
10,EV/Sales Ratio,6.17,6.03,5.50,6.48,6.14,9.58,8.22,-,-,-,-,-,-
11,EV/EBITDA Ratio,28.30,26.81,23.66,26.17,23.24,33.83,27.41,-,-,-,-,-,-
12,EV/EBIT Ratio,48.28,47.20,42.51,44.36,35.82,49.55,37.87,-,-,-,-,-,-
13,Debt / Equity Ratio,0.20,0.20,0.20,0.16,0.13,0.14,0.17,0.43,0.34,0.34,-,0.18,0.20
14,Debt / EBITDA Ratio,2.54,2.43,2.73,1.77,1.67,1.80,2.03,1.74,1.45,1.35,-,0.75,1.84
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,4.59
16,Asset Turnover,-,0.27,0.27,0.25,0.26,0.32,-,-,-,-,-,-,
17,Inventory Turnover,-,-,6.81,6.89,6.93,7.66,8.10,-,-,-,-,-,-
18,Quick Ratio,-,-,1.74,2.00,1.02,3.92,1.33,0.59,-,0.55,-,0.51,-
19,Current Ratio,-,-,2.14,2.35,3.34,4.23,4.56,0.87,-,0.74,-,0.86,-
20,Return on Equity (ROE),3.89%,3.26%,4.71%,4.65%,6.54%,6.64%,13.89%,12.52%,-,-,7.15%,-,
21,Return on Assets (ROA),-,1.88%,2.22%,2.39%,2.07%,3.56%,-,-,-,-,-,-,
22,Return on Capital (ROIC),2.57%,2.14%,2.51%,2.66%,2.27%,4.01%,8.19%,8.06%,-,-,9.57%,-,
23,Return on Capital Employed (ROCE),-,-,3.85%,4.31%,4.92%,5.45%,6.27%,11.54%,-,10.77%,-,5.10%,-
24,Earnings Yield,1.77%,1.81%,2.31%,2.46%,2.36%,1.85%,2.39%,-,-,-,-,-,-
25,FCF Yield,-,-8.61%,-7.86%,-5.97%,-3.28%,-2.74%,-,-,-,-,-,-,
26,Dividend Yield,0.73%,-,-,-,-,0.59%,-,-,-,-,-,-,-
27,Payout Ratio,0.00%,-,43.85%,152.79%,8.59%,8.50%,11.05%,9.07%,9.66%,5.42%,183.55%,21.19%,-
28,Buyback Yield / Dilution,-21.23%,-10.99%,-5.24%,-30.97%,-43.72%,-35.28%,-13.69%,-5.89%,-,-,-,-,-
29,Total Shareholder Return,-20.49%,-10.99%,-5.24%,-30.97%,-43.72%,-34.70%,-13.69%,-5.89%,-,-,-,-,-
