,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3758,4191,3879,3924,6797,6729,10384,10782,8430,6276,6589,8165,10326,9401,7851,-,-,-,-,-
1,Market Cap Growth,-37.71%,-37.71%,-62.65%,-63.61%,-19.38%,7.20%,57.59%,32.05%,-18.36%,-33.24%,-16.07%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2468,2793,2628,2562,5434,5294,8954,10537,8185,5971,6095,7499,9659,8576,7401,-,-,-,-,-
3,Last Close Price,18.30,20.41,18.47,18.57,32.16,32.02,49.14,51.03,40.01,36.30,38.11,46.64,58.98,53.70,44.84,-,-,-,-,-
4,PE Ratio,-,-,97.25,116.22,-,26.49,36.24,34.81,32.95,20.76,23.44,28.75,34.29,32.14,27.51,-,-,-,-,-
5,Forward PE,13.39,16.87,16.84,10.39,17.45,13.45,20.12,20.31,14.97,14.57,15.74,19.67,26.77,24.08,-,-,-,-,-,-
6,PS Ratio,1.85,2.03,1.70,1.50,2.52,2.47,3.87,4.26,3.58,2.90,3.26,4.23,5.56,5.68,5.00,-,-,-,-,-
7,PB Ratio,1.59,1.36,1.23,1.25,2.17,2.09,3.30,3.44,2.77,3.91,4.40,5.45,7.09,7.00,6.20,-,-,-,-,-
8,P/TBV Ratio,1.40,1.40,1.26,1.28,2.24,2.15,3.39,3.53,2.84,4.00,4.51,5.60,7.29,7.22,6.41,-,-,-,-,-
9,P/FCF Ratio,78.01,-,82.84,-,-24.49,-,-40.31,-,-20.13,-,-,-,-64.93,-,-,-,-,-,-,-
10,P/OCF Ratio,16.82,-,15.28,-,-69.11,-,-154.68,-,-38.47,-,-,-,221.71,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.20,1.36,1.15,0.98,2.02,1.94,3.34,4.16,3.47,2.76,3.01,3.89,5.20,5.18,4.71,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,28.56,31.41,-,18.62,27.05,29.33,28.15,17.42,19.23,23.77,28.52,28.59,24.76,-,-,-,-,-
13,EV/EBIT Ratio,-,-,38.78,40.00,-,19.70,28.32,30.42,29.37,18.01,19.92,24.69,29.53,29.71,25.73,-,-,-,-,-
14,EV/FCF Ratio,51.23,-,56.12,-,-19.58,-,-34.76,-,-19.54,-,-,-,-60.74,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.05,0.05,0.05,0.04,0.06,0.05,0.07,0.12,0.01,0.00,0.00,0.00,0.00,0.01,0.01,-,0.00,0.00
16,Debt / EBITDA Ratio,-,-,0.75,0.63,-,0.56,1.09,0.36,0.72,0.42,0.05,0.02,0.01,0.01,0.02,0.01,0.01,-,0.00,0.01
17,Debt / FCF Ratio,0.68,-,3.45,-,-0.55,-,-0.75,-,-0.48,-,-,-,-0.03,-,-,-,0.02,-,0.01,-
18,Asset Turnover,0.36,0.26,0.41,0.69,0.55,0.55,0.50,0.87,0.86,0.79,0.68,1.19,0.91,0.89,0.89,-,-,-,-,
19,Inventory Turnover,5.81,3.99,3.50,8.44,13.77,10.05,11.46,8.93,10.63,7.15,9.13,13.44,23.66,17.20,16.06,15.88,-,-,-,-
20,Quick Ratio,1.98,1.98,1.92,2.23,2.13,2.44,2.29,2.57,2.23,1.42,1.66,2.14,2.11,2.49,2.12,1.66,1.67,-,1.65,-
21,Current Ratio,2.43,2.43,2.28,2.48,2.33,2.71,2.57,2.83,2.42,1.73,1.99,2.37,2.25,2.72,2.40,1.97,1.79,-,1.85,-
22,Return on Equity (ROE),-5.90%,6.09%,6.52%,-15.84%,8.31%,5.46%,12.46%,8.68%,25.02%,17.41%,11.39%,27.79%,23.38%,26.76%,31.84%,-,-,41.61%,-,
23,Return on Assets (ROA),-2.87%,2.14%,3.10%,-4.85%,3.17%,2.04%,6.00%,3.84%,9.44%,6.85%,4.49%,12.69%,9.93%,9.25%,11.16%,-,-,-,-,
24,Return on Capital (ROIC),-4.23%,3.11%,4.51%,-6.99%,4.47%,2.83%,8.46%,5.99%,16.25%,11.23%,7.29%,20.20%,15.61%,15.95%,22.21%,-,-,30.68%,-,
25,Return on Capital Employed (ROCE),-,-,2.13%,2.02%,-,8.28%,9.98%,10.97%,9.08%,20.35%,20.11%,19.97%,22.12%,21.14%,22.32%,35.87%,33.89%,-,16.19%,-
26,Earnings Yield,-1.88%,-1.69%,1.03%,0.86%,1.15%,3.77%,2.76%,2.87%,3.03%,4.82%,4.27%,3.48%,2.92%,3.11%,3.63%,-,-,-,-,-
27,FCF Yield,1.28%,1.15%,1.21%,-1.91%,-4.08%,-3.47%,-2.48%,-3.51%,-4.97%,-6.40%,-7.53%,-5.42%,-1.54%,-0.60%,1.14%,-,-,-,-,-
28,Dividend Yield,1.63%,-,1.90%,-,0.62%,-,-,-,0.73%,-,-,-,0.85%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,2.69%,-,100.21%,-,-,3.58%,0.83%,128.79%,-,-,5.30%,97.97%,-,0.29%,-,-,-
30,Buyback Yield / Dilution,-6.07%,-29.39%,15.35%,10.76%,-23.98%,-21.94%,-22.43%,-21.94%,0.61%,-1.42%,-8.15%,-32.78%,-36.97%,-29.84%,-20.28%,-2.62%,-,-,-,-
31,Total Shareholder Return,-4.45%,-29.39%,17.25%,10.76%,-23.36%,-21.94%,-22.43%,-21.94%,1.34%,-1.42%,-8.15%,-32.78%,-36.13%,-29.84%,-20.28%,-2.62%,-,-,-,-
