,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,430.04,310.82,497,821.72,652.19,638.8,580.76,854.35,609.45,485.81,406.72,660.69,467.78,393.47,333.07,459.7,383.09,345.97,179.14
1,Other Revenue,-2.12,2.12,-,0.89,-0.42,0.42,-,0.92,-0.5,0.5,-,0.9,-0.78,0.78,-,0.92,-0.42,0.42,-
2,Revenue,427.92,312.94,497,822.61,651.77,639.21,580.76,855.27,608.95,486.3,406.72,661.59,467.01,394.25,333.07,460.62,382.68,346.39,179.14
3,Revenue Growth (YoY),-34.35%,-51.04%,-14.42%,-3.82%,7.03%,31.44%,42.79%,29.27%,30.39%,23.35%,22.11%,43.63%,22.04%,13.82%,85.93%,-,-,-,-
4,Cost of Revenue,369.73,249.04,410.67,703.33,527.63,528.63,412.67,641.4,425.46,349.11,313.46,475.13,335.6,275.63,238.58,302.6,278.53,251.48,128.7
5,Gross Profit,58.18,63.9,86.33,119.28,124.14,110.59,168.09,213.87,183.49,137.2,93.26,186.46,131.41,118.62,94.5,158.02,104.14,94.91,50.44
6,"Selling, General & Admin",44.11,36.49,32.06,54.78,40.5,37.47,41.85,52.65,41.4,47.82,26.6,38.64,26.51,23.73,21.23,28.92,20.64,20.39,12.02
7,Research & Development,19.69,22.68,21.44,36.76,25.48,18.86,16.93,27.01,19.96,17.6,19.99,20.7,17.82,12.84,13.5,17.63,12.56,9.41,8.06
8,Other Operating Expenses,0.03,1.41,1.39,1.79,-0.26,-2.47,-0.35,14.25,-2.99,0.24,-2.04,1.12,0.2,0.17,0.38,27.25,-17.78,-1.26,0.2
9,Operating Expenses,112.68,22.64,26.83,212.16,64.26,73.03,57.24,153.43,76.1,69.53,50.1,73.1,49.68,53.17,27.92,83.16,23.44,31.17,20.29
10,Operating Income,-54.5,41.27,59.5,-92.88,59.88,37.55,110.84,60.43,107.39,67.67,43.16,113.36,81.73,65.45,66.58,74.86,80.7,63.74,30.15
11,Interest Expense,-0.36,-1.11,-1.38,-,-1.46,-2.85,-1.95,-1.78,-0.84,-,-1.25,-0.31,-0.23,-0.06,-0.65,-,-0.58,-0.07,-0.11
12,Interest & Investment Income,13.88,8.24,0.91,12.98,4.29,2.08,3.47,1.75,0.92,2.63,10.92,2.67,3.16,2.19,2.21,1.53,0.87,0.58,0.62
13,Currency Exchange Gain (Loss),-0.17,0.03,-,-0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Non Operating Income (Expenses),-2.03,-3.59,3.09,-5.77,0.87,-5.45,2.99,-1.67,-2.37,3.97,-2.42,-17.34,0.07,12.21,0.04,-1.95,0.69,-0.36,-0.25
15,EBT Excluding Unusual Items,-43.2,44.84,62.11,-85.74,63.58,31.33,115.35,58.74,105.11,74.27,50.41,98.37,84.73,79.78,68.18,74.45,81.68,63.88,30.42
16,Gain (Loss) on Sale of Investments,-2.35,-0.68,2.91,-21.28,7.48,16.96,-,-0.37,-,1.21,-0.85,-0.41,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-1.61,-3.15,-0.38,-1.82,0.11,0.05,0.09,0,0,-0,0.01,0.13,0.24,-,0.02,0.04,0,-,0
18,Asset Writedown,7.68,0.52,-0.52,-33.22,-3.2,2.13,-2.13,-0.88,-0.69,1.81,-1.81,1.16,-1.16,-,-,-0.23,0,-0.4,-0.02
19,Legal Settlements,0.13,-0.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,Other Unusual Items,-6.72,6.29,0.42,-1.2,0.33,-0.33,-,5.67,3.24,-3.24,-,19.68,-0.38,0.38,-,27.34,-0.18,0.18,-
