,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,511.53,630.64,626.35,749.85,466.95,641.08,455.07,1931,431.8,313.59,329.81,559.42,368.75,825.51,454.04,501.39,-,313.6,-
1,Trading Asset Securities,818.06,938,798.58,798.17,1044,986.96,1139,-,-,5,168.26,271.5,300.2,4.54,-,-,-,-,-
2,Cash & Short-Term Investments,1330,1569,1425,1548,1511,1628,1594,1931,431.8,318.59,498.07,830.93,668.95,830.05,454.04,501.39,-,313.6,276.09
3,Cash Growth,-12.03%,-3.65%,-10.61%,-19.84%,250.02%,411.01%,220.05%,132.42%,-35.45%,-61.62%,9.70%,65.72%,-,164.68%,64.46%,-,-,-,-
4,Accounts Receivable,1556,1732,2040,2077,2020,1897,1812,1778,1573,1364,1251,1115,919.27,817.12,634.99,785.55,-,590.24,-
5,Other Receivables,33.1,33.76,31.7,31.27,36.42,31.63,28.93,32.71,118.08,41.01,92.8,50.08,83.12,20.39,18.56,18.09,-,13.7,-
6,Receivables,1589,1766,2072,2108,2056,1929,1840,1811,1691,1405,1344,1166,1002,837.51,653.55,803.64,-,603.94,-
7,Inventory,374.75,366.95,202.46,187,221.62,198.54,170.39,199.39,283.22,192.95,112.87,73.72,86.94,69.17,68.15,52.06,-,60.57,-
8,Other Current Assets,281.68,256.3,178.21,169.79,171.7,238.45,181.95,116.04,181.46,158.31,84.73,60.07,70.93,155.25,134.61,41.37,-,46.72,-
9,Total Current Assets,3575,3958,3878,4013,3961,3994,3787,4058,2588,2074,2040,2130,1829,1892,1310,1398,-,1025,-
10,"Property, Plant & Equipment",694.89,670.92,560.56,552.99,434.85,414.7,389.12,339.97,329.14,265.3,218.8,186.47,105.35,85.08,81.35,78.7,-,80.12,-
11,Long-Term Investments,52.51,45.65,25.66,25.68,8.56,8.55,8.62,8.68,8.64,8.66,8.76,7.48,7.5,7.5,7.5,7.5,-,-,-
12,Other Intangible Assets,78.8,79.73,80.4,81.24,82.05,82.65,83.59,82.66,37.78,38.69,39.44,40.26,41.82,42.74,42.33,14.2,-,11.3,-
13,Long-Term Deferred Tax Assets,57.42,56.89,54.29,58.12,36.55,35.96,32.23,32.07,19.74,19.74,18.41,16.59,11.83,10.9,10.54,9.48,-,6.69,-
14,Long-Term Deferred Charges,0.26,0.36,0.46,0.53,0.39,0.44,0.39,0.43,0.36,0.22,0.14,0.15,0.16,0.16,0.16,0.01,-,0.05,-
15,Other Long-Term Assets,124.08,107.9,137.48,138.11,184.34,187.85,194.34,226.72,143.42,155.37,54.25,45.78,41.78,37.8,10.64,10.81,-,11.74,-
16,Total Assets,4583,4920,4736,4870,4708,4724,4495,4748,3127,2562,2379,2427,2038,2076,1463,1519,-,1135,-
17,Accounts Payable,886.92,972.38,971.49,1230,983.94,1022,853.62,1116,919.31,793.93,618.33,735.07,418.26,455.43,410.53,444.02,-,206.47,-
18,Accrued Expenses,20.45,98.46,11.21,19.72,24.5,39.19,6.83,3.4,26.83,27.8,10.1,11.37,29.19,26.69,10.33,4.08,-,124.36,-
19,Short-Term Debt,25.94,159.12,159.12,149.43,136.18,187.33,160.69,199.75,182.4,9.58,-,-,-,2.48,2.35,3.98,-,0.28,-
20,Current Portion of Leases,0.52,0.4,1.1,1.78,1.65,1.89,1.87,1.88,1.77,1.99,2.15,2.15,1.05,1.28,-,-,-,-,-
21,Current Income Taxes Payable,32.56,10.25,52.34,9.07,34.19,9.41,49.21,23.32,51.31,11.7,22.31,25.75,20.64,12.27,10.29,15.69,-,10.14,-
22,Current Unearned Revenue,380.37,389.54,305.68,242.47,230.17,181.51,210.15,278.75,277.58,156.17,178.36,137,175.45,262.56,206.57,289.35,-,187.08,-
23,Other Current Liabilities,125,104.78,63.85,68.13,50.41,114.79,54.3,56.95,38.27,39.7,27.6,36.88,27.82,26.88,25.77,26,-,26.32,-
24,Total Current Liabilities,1472,1735,1565,1721,1461,1556,1337,1680,1497,1041,858.85,948.21,672.41,787.58,665.83,783.13,-,554.66,-
25,Long-Term Leases,6.41,2.06,1.7,1.08,3.9,2.96,1.02,0.78,2.89,2,1.71,1.86,1.35,1.31,1.64,-,-,-,-
26,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.61,-
27,Long-Term Deferred Tax Liabilities,0.53,-,-,-,0.63,-,-,-,-,0,0.1,0.23,-,-,-,-,-,-,-
28,Other Long-Term Liabilities,21.43,21.16,21.01,20.98,21.25,21.25,21.11,21.11,21.01,21.01,20.79,20.77,20.43,20.1,20.27,20.27,-,20.41,-
29,Total Liabilities,1500,1758,1588,1743,1487,1580,1359,1702,1521,1064,881.45,971.07,694.19,809,687.74,803.39,-,576.68,-
30,Common Stock,206.97,206.97,206.97,206.97,205.77,171.47,171.47,171.47,140.32,140.32,140.32,140.32,140.32,140.32,105.24,105.24,-,105.24,-
31,Additional Paid-In Capital,2043,2039,2031,2031,2000,2028,2003,2011,652.42,642.47,622.8,622.8,607.54,607.54,148.71,148.71,-,148.71,-
32,Retained Earnings,866.5,941.52,934.01,882.86,1008,942.73,961.85,864.47,813.68,716.2,735.02,692.81,595.6,519.31,521.16,461.82,-,304.11,-
33,Treasury Stock,-40.06,-35.06,-35.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,-0.2,-0.13,-0.11,-0.09,-0.19,-0.2,-0.15,-0.09,-0.15,-0.13,-0.02,-0.02,-0,-0,-0,-,-,-,-
