,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,191.01,303.84,165.28,295.97,175.47,132.66,117.12,130.47,178.5,169.25,182.69
1,Other Revenue,-33.35,33.35,-,57.13,-27.62,27.62,-,51.51,-19.61,19.61,-
2,Revenue,157.66,337.19,165.28,353.1,147.84,160.28,117.12,181.98,158.9,188.86,182.69
3,Revenue Growth (YoY),6.64%,110.37%,41.12%,94.03%,-6.96%,-15.13%,-35.89%,-,-,-,-
4,Cost of Revenue,117.13,260.35,126.76,270.11,111.74,118.78,82.74,127.72,112.45,137.44,139.26
5,Gross Profit,40.53,76.84,38.52,82.99,36.1,41.5,34.38,54.26,46.45,51.41,43.43
6,"Selling, General & Admin",28.16,24.69,21.55,40.04,25.7,24.97,18.62,19.86,15.42,16.73,15.34
7,Research & Development,17.98,15.38,12.51,15.42,10.52,10.54,9.41,12.35,7.25,8.35,8.53
8,Other Operating Expenses,0.97,1.02,-2.4,13.63,-1.21,-0.35,-8.14,5.07,-0.01,-0.12,1.53
9,Operating Expenses,47.61,50.33,31.93,79.84,34.8,35.83,19.31,39.47,23.3,26.72,25.45
10,Operating Income,-7.08,26.51,6.59,3.16,1.31,5.67,15.07,14.8,23.16,24.69,17.98
11,Interest Expense,-0.59,-22.26,-0.09,-0.09,-,-,-,-1.08,-,-0.18,-0.18
12,Interest & Investment Income,1.19,-,28.11,9.98,6.9,7.25,4.33,-,0.46,0.88,0.81
13,Currency Exchange Gain (Loss),-1.71,1.71,-,0.09,-1.2,1.2,-,1.88,-1.1,1.1,-
14,Other Non Operating Income (Expenses),1.6,21.41,-22.12,-1.32,0.52,1.19,-1.37,-2.04,1.33,0.75,-0.3
15,EBT Excluding Unusual Items,-6.59,27.36,12.5,11.82,7.53,15.3,18.03,13.57,23.85,27.25,18.31
16,Gain (Loss) on Sale of Investments,-,0.83,0.1,4.83,-3.18,-1.22,0.88,1.52,-3.09,-0.85,-0.31
17,Gain (Loss) on Sale of Assets,0.03,0.22,0.01,-0.18,-0.02,-0.01,0.01,-0.81,-0.04,-0.2,-0.01
18,Asset Writedown,-1.33,0.31,-0.31,0,0.17,-0.17,-,1.07,-0.76,-0.3,-0
19,Other Unusual Items,0.2,-0.17,-,12.06,-0.06,0.06,-,5.19,-,-,-
20,Pretax Income,-7.68,28.55,12.3,28.53,4.45,13.95,18.92,20.53,19.96,25.91,17.99
21,Income Tax Expense,-3.33,3.41,0.5,3.28,-1.1,1.39,1.1,1.51,1.81,2.78,1.36
22,Earnings From Continuing Operations,-4.35,25.14,11.8,25.25,5.55,12.56,17.82,19.02,18.15,23.12,16.63
23,Minority Interest in Earnings,1.28,0.98,0.84,0.73,-,-,-,-,-,-,-
24,Net Income,-3.07,26.12,12.64,25.98,5.55,12.56,17.82,19.02,18.15,23.12,16.63
25,Net Income to Common,-3.07,26.12,12.64,25.98,5.55,12.56,17.82,19.02,18.15,23.12,16.63
26,Net Income Growth,-,107.94%,-29.08%,36.56%,-69.45%,-45.67%,7.17%,-,-,-,-
27,Shares Outstanding (Basic),155,152,158,150,165,155,148,111,128,115,119
28,Shares Outstanding (Diluted),155,152,158,150,165,155,148,111,128,115,119
29,Shares Change (YoY),-5.70%,-2.07%,6.38%,34.92%,28.68%,35.00%,25.03%,-,-,-,-
30,EPS (Basic),-0.02,0.17,0.08,0.17,0.03,0.08,0.12,0.17,0.14,0.20,0.14
31,EPS (Diluted),-0.02,0.17,0.08,0.17,0.03,0.08,0.12,0.17,0.14,0.20,0.14
32,EPS Growth,-,112.33%,-33.33%,1.22%,-76.26%,-59.75%,-14.29%,-,-,-,-
33,Free Cash Flow,-68.25,-162.24,-294.47,-95.56,-6.04,-120.12,20.87,26.38,16.75,13.13,3.06
34,Free Cash Flow Per Share,-0.44,-1.07,-1.86,-0.64,-0.04,-0.77,0.14,0.24,0.13,0.11,0.03
35,Dividend Per Share,-,-,-,0.300,-,-,-,0.300,-,-,-
36,Gross Margin,25.71%,22.79%,23.31%,23.50%,24.42%,25.89%,29.35%,29.82%,29.23%,27.22%,23.77%
37,Operating Margin,-4.49%,7.86%,3.99%,0.89%,0.88%,3.53%,12.87%,8.13%,14.57%,13.08%,9.84%
38,Profit Margin,-1.95%,7.75%,7.65%,7.36%,3.75%,7.84%,15.21%,10.45%,11.43%,12.24%,9.10%
