,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,3073,2915,2371,2870,3090,3508,4241,4052,-,-,-,-
1,Market Cap Growth,-16.92%,-16.92%,-44.08%,-29.17%,-,-,-,-,-,-,-,-
2,Enterprise Value,2779,2499,1896,2062,2282,2576,3420,3884,-,-,-,-
3,Last Close Price,20.14,19.10,15.54,17.95,19.33,21.95,26.53,25.03,-,-,-,-
4,PE Ratio,50.29,-,33.74,50.60,49.92,63.85,62.77,51.87,-,-,-,-
5,PS Ratio,3.06,2.88,2.36,3.47,3.97,5.78,6.86,6.26,-,-,-,-
6,PB Ratio,2.99,2.85,2.31,2.74,2.77,3.21,3.90,3.61,-,-,-,-
7,P/TBV Ratio,3.15,3.15,2.55,3.03,3.05,3.58,4.31,3.73,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-,52.54,-,-,-,-
9,P/OCF Ratio,-,-25.16,-,-,233.93,-,-,45.53,-,-,-,-
10,EV/Sales Ratio,2.74,2.47,1.89,2.50,2.93,4.24,5.53,6.01,-,-,-,-
11,EV/EBITDA Ratio,42.47,39.83,26.82,40.07,38.35,36.43,37.02,35.42,-,-,-,-
12,EV/EBIT Ratio,95.24,-,50.46,123.36,90.57,69.93,58.27,49.98,-,-,-,-
13,EV/FCF Ratio,-4.48,-,-,-,-,-,-,50.36,-,-,-,-
14,Debt / Equity Ratio,0.10,0.10,0.05,0.04,0.00,-,-,-,-,-,-,-
15,Debt / EBITDA Ratio,1.61,18.22,0.35,0.63,0.10,-,-,-,-,-,-,-
16,Asset Turnover,0.28,0.63,0.30,0.68,0.34,0.41,0.42,-,-,-,-,
17,Inventory Turnover,2.71,1.81,4.04,1.76,3.71,1.98,2.87,2.14,-,-,-,-
18,Quick Ratio,1.02,1.02,1.28,1.24,1.49,1.57,2.86,2.87,1.06,-,1.03,-
19,Current Ratio,1.55,1.55,1.73,1.77,1.89,2.44,3.36,3.64,1.58,-,1.65,-
20,Return on Equity (ROE),-1.70%,9.68%,4.36%,9.14%,2.04%,4.55%,9.34%,-,-,26.59%,-,
21,Return on Assets (ROA),-0.77%,3.07%,0.76%,0.38%,0.19%,0.91%,3.39%,-,-,-,-,
22,Return on Capital (ROIC),-1.60%,6.12%,1.49%,0.71%,0.30%,1.28%,4.94%,-,-,17.75%,-,
23,Return on Capital Employed (ROCE),1.98%,-,2.54%,1.23%,1.76%,2.92%,4.75%,6.88%,19.49%,-,11.30%,-
24,Earnings Yield,2.01%,2.12%,2.96%,1.98%,2.00%,1.57%,1.59%,1.93%,-,-,-,-
25,FCF Yield,-20.19%,-21.29%,-23.54%,-17.98%,-6.50%,-2.25%,-1.32%,1.90%,-,-,-,-
26,Dividend Yield,1.49%,-,-,-,1.55%,-,-,-,-,-,-,-
27,Payout Ratio,76.13%,-,173.65%,0.01%,3.88%,-,375.35%,-,-,-,-,1.05%
28,Buyback Yield / Dilution,-6.17%,5.70%,2.07%,-6.38%,-34.92%,-28.68%,-35.00%,-25.03%,-,-,-,-
29,Total Shareholder Return,-4.68%,5.70%,2.07%,-6.38%,-33.36%,-28.68%,-35.00%,-25.03%,-,-,-,-
