,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,345.81,392,512.58,844.02,807.89,861.22,821.34,96.82,-,43.97,-
1,Short-Term Investments,-,40.65,-,50.68,-,70.8,-,70.8,-,60.69,-
2,Trading Asset Securities,50,30,-,-,-,-,-,0.29,-,-,-
3,Cash & Short-Term Investments,395.81,462.65,512.58,894.7,807.89,932.02,821.34,167.91,-,104.66,101.44
4,Cash Growth,-51.01%,-50.36%,-37.59%,432.85%,-,790.55%,709.72%,-,-,-,-
5,Accounts Receivable,478.44,500.64,356.43,354.41,158.45,176.01,157.88,182.39,-,123.47,-
6,Other Receivables,13.78,13.85,11.11,8.76,15.09,3.46,10.25,2.01,-,1.34,-
7,Receivables,492.22,514.49,367.53,363.18,173.54,179.47,168.13,184.4,-,124.81,-
8,Inventory,283.52,233.53,282.2,295.36,287.67,163.79,167.17,142.44,-,122.79,-
9,Other Current Assets,175.8,107.85,94.68,44.31,252.36,31.39,95.5,29.63,-,15.89,-
10,Total Current Assets,1347,1319,1257,1598,1521,1307,1252,524.38,-,368.14,-
11,"Property, Plant & Equipment",774.33,730.67,658.93,542.96,245.31,186.82,177.51,181.34,-,192.57,-
12,Long-Term Investments,-,-,-,-,-,-,2.75,-,-,-,-
13,Goodwill,-,-,-,-,-,2.75,-,-,-,-,-
14,Other Intangible Assets,102.12,102.79,103.71,103.16,111.42,100.32,33.9,31.16,-,31.7,-
15,Long-Term Deferred Tax Assets,13.27,12.94,11.62,11.97,6.46,6.13,6.85,6.74,-,6.36,-
16,Long-Term Deferred Charges,0.27,0.29,1.4,1.6,1.58,1.24,0.93,1.16,-,1.68,-
17,Other Long-Term Assets,106.25,77.27,39.85,17.18,-,20.57,-,0.8,-,0.87,-
18,Total Assets,2344,2242,2073,2274,1886,1624,1474,745.59,-,601.32,-
19,Accounts Payable,665.16,624.12,575.6,740.63,572.84,340.29,305.74,266.8,-,186.8,-
20,Accrued Expenses,17.18,25.77,13.46,28.3,10.8,14.98,10.84,34.83,-,19.83,-
21,Short-Term Debt,104.3,48.1,34.2,0.5,-,-,-,-,-,-,-
22,Current Portion of Leases,0.6,0.59,1.89,1.89,-,-,-,-,-,-,-
23,Current Income Taxes Payable,3.11,2.95,2.38,8.3,1.13,0.29,1.15,1.49,-,0.15,-
24,Current Unearned Revenue,45.62,36.57,63.16,46.45,19.45,17.49,17.55,11.55,-,10.84,-
25,Other Current Liabilities,31.31,23.51,19.31,17.11,19.89,16.2,9.09,17.21,-,6.14,-
26,Total Current Liabilities,867.28,761.61,710,843.17,624.11,389.25,344.37,331.87,-,223.76,-
27,Long-Term Leases,0.42,0.57,2.24,2.7,-,-,-,-,-,-,-
28,Long-Term Unearned Revenue,24.48,24.64,24.79,24.93,-,3.74,-,4,-,4.62,-
29,Long-Term Deferred Tax Liabilities,-,-,-,-,0.22,0.22,0.24,0.24,-,-,-
30,Other Long-Term Liabilities,427.19,427.08,286.27,286.4,169.94,144.87,8.47,4.6,-,5.23,-
31,Total Liabilities,1319,1214,1023,1157,794.27,538.08,353.07,340.71,-,233.62,-
32,Common Stock,157.19,157.19,157.19,157.19,157.19,157.19,157.19,117.89,-,117.89,-
33,Additional Paid-In Capital,715.83,715.83,715.83,715.83,715.83,715.83,715.83,56.82,-,56.82,-
34,Retained Earnings,234.83,237.9,257.56,244.92,218.94,213.39,247.99,230.17,-,192.99,-
35,Treasury Stock,-79.8,-79.8,-79.8,-,-,-,-,-,-,-,-
36,Total Common Equity,1028,1031,1051,1118,1092,1086,1121,404.88,-,367.7,327.95
37,Minority Interest,-3.83,-2.55,-1.57,-0.73,-,-,-,-,-,-,-
38,Shareholders' Equity,1024,1029,1049,1117,1092,1086,1121,404.88,-,367.7,327.95
39,Total Liabilities & Equity,2344,2242,2073,2274,1886,1624,1474,745.59,-,601.32,-
40,Total Debt,105.32,49.26,38.33,5.09,-,-,-,-,-,-,-
41,Net Cash (Debt),290.49,413.39,474.26,889.61,807.89,932.02,821.34,167.91,-,104.66,101.44
42,Net Cash Growth,-64.04%,-55.65%,-42.26%,429.82%,-,790.55%,709.72%,-,-,-,-
43,Net Cash Per Share,1.87,2.72,3.00,5.91,4.90,6.00,5.53,1.51,-,0.91,0.85
44,Filing Date Shares Outstanding,152.6,152.6,152.6,152.6,157.19,157.19,157.19,117.89,128.08,117.89,118.77
45,Total Common Shares Outstanding,152.6,152.6,152.6,157.19,157.19,157.19,157.19,117.89,128.08,117.89,118.77
46,Working Capital,480.07,556.91,546.99,754.37,897.36,917.41,907.77,192.5,-,144.38,-
47,Book Value Per Share,6.74,6.76,6.89,7.11,6.95,6.91,7.13,3.43,-,3.12,2.78
48,Tangible Book Value,925.93,928.33,947.07,1015,980.54,983.34,1087,373.72,-,336,296.21
